accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,29943000000,29943000000,83276000000,15408095000,68960000000,None,20879000000,66243000000,None,2024-09-30,None,None,None,7286000000,None,85750000000,None,91479000000,14287000000,50071000000,None,36634000000,55914000000,USD,-19154000000,119059000000,22511000000,35228000000,364980000000,152987000000,176392000000,308030000000,211993000000,131638000000,56950000000,None
None,12842000000,29965000000,29965000000,73812000000,15812547000,62611000000,None,15807000000,29508000000,None,2023-09-30,None,None,None,6331000000,None,95281000000,None,100544000000,14695000000,58829000000,None,49848000000,43715000000,USD,-214000000,111947000000,15807000000,31590000000,352583000000,143566000000,145308000000,290437000000,209017000000,145129000000,62146000000,None
72340000000,12411000000,23646000000,23646000000,64849000000,16325819000,64115000000,None,21110000000,28184000000,None,2022-09-30,None,None,None,4946000000,None,98959000000,None,120805000000,21223000000,60845000000,None,49142000000,42117000000,USD,-3068000000,120881000000,21110000000,24658000000,352755000000,135405000000,153982000000,302083000000,217350000000,148101000000,50672000000,None
70283000000,11803000000,34940000000,34940000000,57365000000,16864919000,54763000000,None,15613000000,26278000000,None,2021-09-30,None,None,None,6580000000,None,109106000000,None,127877000000,14111000000,47493000000,None,28636000000,39440000000,USD,5562000000,124719000000,15613000000,27699000000,351002000000,134836000000,125481000000,287912000000,216166000000,162431000000,63090000000,None
66760000000,9842000000,38016000000,38016000000,50779000000,17528214000,42296000000,None,13769000000,16120000000,None,2020-09-30,None,None,None,4061000000,None,98667000000,None,100887000000,11264000000,42684000000,None,26320000000,36766000000,USD,14966000000,112436000000,13769000000,52927000000,323888000000,143713000000,105392000000,258549000000,180175000000,153157000000,65339000000,None
58579000000,None,48844000000,48844000000,45174000000,18595652000,46236000000,None,16240000000,22926000000,None,2019-09-30,None,None,None,4106000000,None,91807000000,None,105341000000,12352000000,37720000000,None,20958000000,37378000000,USD,45898000000,108047000000,16240000000,51713000000,338516000000,162819000000,105718000000,248028000000,175697000000,142310000000,90488000000,None
49099000000,None,25913000000,25913000000,40201000000,20000436000,55888000000,None,20748000000,23186000000,None,2018-09-30,None,None,None,3956000000,None,93735000000,None,170799000000,12087000000,32687000000,None,11165000000,41304000000,USD,70400000000,114483000000,20748000000,40388000000,365725000000,131339000000,116866000000,258578000000,234386000000,141712000000,107147000000,None
41293000000,None,20289000000,20289000000,35867000000,21006768000,49049000000,None,18473000000,2093000000,None,2017-09-30,5717000000,2298000000,2298000000,4855000000,None,97207000000,None,194714000000,13936000000,25744000000,None,40415000000,33783000000,USD,98330000000,115680000000,18473000000,53892000000,375319000000,128645000000,100814000000,241272000000,246674000000,140458000000,134047000000,0
34235000000,None,20484000000,20484000000,31251000000,22001124000,37294000000,None,11605000000,527000000,None,2016-09-30,5414000000,3206000000,3206000000,2132000000,None,75427000000,None,170430000000,8283000000,22027000000,None,36074000000,27010000000,USD,96364000000,87032000000,11605000000,46671000000,321686000000,106869000000,79006000000,193437000000,214817000000,114431000000,128249000000,None
26786000000,None,21120000000,21120000000,27416000000,23172276000,35490000000,None,2513000000,417000000,None,2015-09-30,5116000000,3893000000,3893000000,2349000000,None,53463000000,None,164065000000,9539000000,25181000000,None,33427000000,22471000000,USD,92284000000,64462000000,10999000000,20481000000,290479000000,89378000000,80610000000,171124000000,201101000000,90514000000,119355000000,0
