capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
9447000000,-121983000000,2935000000,None,None,-1046000000,None,None,None,11445000000,15234000000,15234000000,None,2024-09-30,93736000000,118254000000,None,None,None,None,None,None,None,None,None,-94949000000,None,None,USD
10959000000,-108488000000,3705000000,5760000000,None,-1618000000,None,None,-417000000,11519000000,15025000000,15025000000,None,2023-09-30,96995000000,110543000000,None,None,None,None,None,None,None,None,None,-77550000000,None,None,USD
10708000000,-110749000000,-22354000000,-10952000000,None,1484000000,None,None,-9343000000,11104000000,14841000000,14841000000,None,2022-09-30,99803000000,122151000000,None,None,None,None,None,None,None,None,None,-89402000000,None,None,USD
11085000000,-93353000000,-14545000000,-3860000000,None,-2642000000,None,None,-14028000000,11284000000,14467000000,14467000000,None,2021-09-30,94680000000,104038000000,None,None,None,None,None,None,None,None,None,-85971000000,None,None,USD
7309000000,-86820000000,-4289000000,-10435000000,None,-127000000,None,None,8470000000,11056000000,14081000000,14081000000,None,2020-09-30,57411000000,80674000000,None,None,None,None,None,None,None,None,None,-72358000000,None,None,USD
10495000000,-90976000000,45896000000,24311000000,None,-289000000,None,None,3176000000,12547000000,14119000000,14119000000,None,2019-09-30,55256000000,69391000000,None,None,None,None,None,None,None,None,None,-66897000000,None,None,USD
13313000000,-87876000000,16066000000,5624000000,None,828000000,None,None,-13332000000,10903000000,13712000000,13712000000,None,2018-09-30,59531000000,77434000000,None,None,None,None,None,None,None,None,None,-72738000000,None,None,USD
12451000000,-17347000000,-46446000000,-195000000,None,-2723000000,None,None,-6347000000,10157000000,12769000000,12769000000,None,2017-09-30,48351000000,63598000000,None,None,None,None,None,None,None,None,None,-32900000000,None,None,USD
12734000000,-20483000000,-45977000000,-636000000,None,217000000,None,None,1044000000,10505000000,12150000000,12150000000,None,2016-09-30,45687000000,65824000000,None,None,None,None,None,None,None,None,None,-29722000000,None,None,USD
11247000000,-17716000000,-56274000000,7276000000,None,-238000000,None,None,611000000,11257000000,11561000000,11561000000,None,2015-09-30,53394000000,81266000000,None,None,None,None,None,None,None,None,None,-35253000000,None,None,USD
9571000000,-37549000000,-22579000000,-415000000,None,-76000000,None,None,-6452000000,7946000000,11126000000,11126000000,None,2014-09-30,39510000000,59713000000,None,None,None,None,None,None,None,None,None,-45000000000,None,None,USD
8165000000,-16379000000,-33774000000,3513000000,None,-973000000,None,None,-1949000000,6757000000,10564000000,10564000000,None,2013-09-30,37037000000,53666000000,None,None,None,None,None,None,None,None,None,-22860000000,None,None,USD
8295000000,-1698000000,-48227000000,931000000,None,-15000000,None,None,-6965000000,3277000000,2488000000,2488000000,None,2012-09-30,41733000000,50856000000,None,None,None,None,None,None,None,None,None,665000000,None,None,USD
4260000000,1444000000,-40419000000,-1446000000,None,275000000,None,None,-1791000000,1814000000,None,None,None,2011-09-30,25922000000,37529000000,None,None,None,None,None,None,None,None,None,831000000,None,None,USD
2005000000,1257000000,-13854000000,5998000000,None,-596000000,None,None,-4860000000,1027000000,None,None,None,2010-09-30,14013000000,18595000000,None,None,None,None,None,None,None,None,None,912000000,None,None,USD
1144000000,663000000,-17434000000,-6612000000,None,54000000,None,None,-939000000,703000000,None,None,None,2009-09-30,5704000000,10159000000,None,None,None,None,None,None,None,None,None,475000000,None,None,USD
1091000000,1116000000,-8189000000,2523000000,None,-163000000,None,None,None,473000000,None,None,None,2008-09-30,4834000000,9596000000,None,None,None,None,None,None,None,None,None,-124000000,None,None,USD
735000000,739000000,-3249000000,2960000000,None,-76000000,None,None,None,317000000,None,None,None,2007-09-30,3496000000,5470000000,None,None,None,None,None,None,None,None,None,-3000000,None,None,USD
657000000,324000000,357000000,2901000000,None,-105000000,None,None,None,225000000,None,None,None,2006-09-30,1989000000,2220000000,None,None,None,None,None,None,None,None,None,-355000000,None,None,USD
260000000,543000000,-2556000000,522000000,None,-64000000,None,None,None,179000000,None,None,None,2005-09-30,1335000000,2535000000,None,None,None,None,None,None,None,None,None,543000000,None,None,USD
