accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,896000000,7616000000,7616000000,25153000000,1748000000,4195000000,None,1500000000,6925000000,None,2024-12-31,23108000000,6647000000,6647000000,6194000000,None,12625000000,None,886000000,2570000000,7614000000,None,3443000000,11733000000,USD,47261000000,15275000000,1754000000,351000000,81414000000,23656000000,14157000000,33513000000,57758000000,19356000000,47664000000,None
None,949000000,6896000000,6896000000,24869000000,1749000000,4295000000,None,1080000000,6565000000,None,2023-12-31,23679000000,8815000000,8815000000,6570000000,None,13599000000,None,799000000,2256000000,7729000000,None,3466000000,11276000000,USD,37554000000,15873000000,1325000000,383000000,73214000000,22670000000,13841000000,34387000000,50544000000,20546000000,38603000000,None
-11050000000,943000000,9882000000,9882000000,24709000000,1764000000,4607000000,None,2251000000,6218000000,None,2022-12-31,22799000000,10454000000,10454000000,6173000000,None,14522000000,None,766000000,2663000000,8058000000,None,3804000000,9162000000,USD,35257000000,17946000000,2481000000,288000000,74438000000,25224000000,15489000000,37533000000,49214000000,22044000000,36686000000,None
-10405000000,956000000,9799000000,9799000000,24470000000,1789000000,4408000000,None,754000000,6487000000,None,2021-12-31,23231000000,12739000000,12739000000,5157000000,None,17296000000,None,816000000,2346000000,7392000000,None,3685000000,8959000000,USD,31528000000,19251000000,999000000,450000000,75196000000,24239000000,13105000000,39172000000,50957000000,26067000000,35802000000,-11822000000
-9764000000,902000000,6838000000,6838000000,24145000000,1786000000,3946000000,None,220000000,6414000000,None,2020-12-31,23744000000,14784000000,14784000000,5012000000,None,18527000000,None,821000000,1867000000,7138000000,None,3684000000,9029000000,USD,27627000000,19890000000,461000000,310000000,72548000000,20441000000,11907000000,39545000000,52107000000,27638000000,32784000000,-10042000000
-8761000000,755000000,3860000000,3860000000,23853000000,1781000000,3252000000,None,1478000000,5425000000,None,2019-12-31,23195000000,17025000000,17025000000,4316000000,None,16661000000,None,883000000,1786000000,5702000000,None,3944000000,8038000000,USD,25847000000,19099000000,1683000000,280000000,67887000000,15667000000,10863000000,36586000000,52220000000,25723000000,31088000000,-10147000000
-8143000000,None,3844000000,3844000000,23512000000,1770000000,2975000000,None,207000000,5182000000,None,2018-12-31,23254000000,18942000000,18942000000,3796000000,None,19359000000,None,897000000,1568000000,5525000000,None,3984000000,7563000000,USD,24560000000,19566000000,207000000,242000000,67173000000,14632000000,9012000000,36451000000,52541000000,27439000000,30524000000,-9962000000
-7658000000,None,9407000000,9407000000,23206000000,1749000000,2402000000,None,714000000,5249000000,None,2017-12-31,24020000000,21473000000,21473000000,3601000000,None,27210000000,None,883000000,1687000000,5487000000,None,9030000000,7607000000,USD,23978000000,27924000000,714000000,203000000,76250000000,20147000000,8912000000,45152000000,56103000000,36240000000,30897000000,-10225000000
-6661000000,None,18620000000,18620000000,13027000000,1483000000,1178000000,None,1325000000,3248000000,None,2016-12-31,7683000000,4539000000,4539000000,2434000000,None,20681000000,None,2947000000,2319000000,3969000000,None,4608000000,5705000000,USD,25565000000,22006000000,1325000000,155000000,55011000000,26776000000,6660000000,31949000000,28235000000,27634000000,20538000000,-10791000000
-6653000000,None,5001000000,5001000000,12734000000,1506000000,1081000000,None,442000000,3418000000,None,2015-12-31,9638000000,5562000000,5562000000,2599000000,None,5871000000,None,4041000000,2013000000,4545000000,None,4864000000,5730000000,USD,25757000000,9001000000,3130000000,1124000000,44001000000,14155000000,9186000000,19921000000,29846000000,13489000000,21211000000,-10622000000
