capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
2207000000,-5404000000,-2338000000,None,None,-58000000,None,None,None,3218000000,3836000000,3836000000,None,2024-12-31,13402000000,8558000000,None,None,None,None,None,None,None,None,None,-1295000000,None,None,USD
2202000000,-7091000000,-3133000000,None,None,-232000000,None,None,None,3243000000,3556000000,3556000000,None,2023-12-31,5723000000,7261000000,None,None,None,None,None,None,None,None,None,-1227000000,None,None,USD
1777000000,-7636000000,-1740000000,205000000,None,-1413000000,None,None,-68000000,3267000000,3309000000,3309000000,None,2022-12-31,6933000000,9581000000,None,None,None,None,None,None,None,None,None,-3795000000,None,None,USD
1885000000,-5494000000,-2008000000,3031000000,None,-456000000,None,None,-383000000,3538000000,3202000000,3202000000,None,2021-12-31,7071000000,10533000000,None,None,None,None,None,None,None,None,None,-2299000000,None,None,USD
2177000000,-2779000000,-2215000000,2907000000,None,-493000000,None,None,-924000000,3327000000,2560000000,2560000000,None,2020-12-31,4495000000,7901000000,None,None,None,None,None,None,None,None,None,-403000000,None,None,USD
1638000000,-4289000000,-1815000000,32000000,None,-593000000,None,None,-275000000,3014000000,2270000000,2270000000,None,2019-12-31,3687000000,6136000000,None,None,None,None,None,None,None,None,None,-718000000,None,None,USD
1394000000,-10391000000,-1356000000,-5447000000,None,-514000000,None,None,-190000000,3278000000,1974000000,1974000000,None,2018-12-31,2368000000,6300000000,None,None,None,None,None,None,None,None,None,-238000000,None,None,USD
1135000000,-5281000000,-9618000000,-9213000000,116000000,249000000,None,None,-207000000,3021000000,1849000000,1849000000,None,2017-12-31,477000000,5570000000,None,None,None,None,None,None,None,None,None,-827000000,None,None,USD
1121000000,11147000000,-248000000,13619000000,-483000000,-98000000,None,None,-177000000,1353000000,1539000000,1539000000,None,2016-12-31,1375000000,3203000000,None,None,None,None,None,None,None,None,None,-522000000,None,None,USD
1110000000,-2236000000,406000000,938000000,-198000000,-257000000,None,None,-171000000,1472000000,1443000000,1443000000,None,2015-12-31,1583000000,2966000000,None,None,None,None,None,None,None,None,None,-2237000000,None,None,USD
1077000000,-2742000000,-202000000,588000000,-143000000,-297000000,None,None,-195000000,1548000000,1342000000,1342000000,None,2014-12-31,2284000000,3675000000,None,None,None,None,None,None,None,None,None,-2195000000,None,None,USD
1145000000,-6696000000,-3929000000,-7327000000,-26000000,-154000000,None,None,-113000000,1719000000,882000000,882000000,None,2013-12-31,2576000000,3324000000,None,None,None,None,None,None,None,None,None,-1605000000,None,None,USD
1795289000,716093000,-6081288000,3989343000,40137000,-417053000,None,None,35996000,2783207000,3183000000,3183000000,None,2012-12-31,5962920000,9314401000,None,None,None,None,None,None,None,None,None,-2364000000,None,None,USD
1491500000,-6023455000,260832000,3164449000,-43005000,-129621000,None,None,-670152000,3043894000,2938000000,2938000000,None,2011-12-31,4728449000,8970077000,None,None,None,None,None,None,None,None,None,-77007000,None,None,USD
1015075000,-1087741000,-12188315000,-5160968000,-620893000,139857000,None,None,-394665000,2624305000,2671475000,2671475000,None,2010-12-31,4626172000,8735981000,None,None,None,None,None,None,None,None,None,-866825000,None,None,USD
1089048000,1002019000,-3698710000,4697317000,118848000,230555000,None,None,-387749000,2089510000,2414460000,2414460000,None,2009-12-31,5745838000,7275160000,None,None,None,None,None,None,None,None,None,-826345000,None,None,USD
1287724000,-3485902000,-2087491000,None,None,-257476000,None,None,None,1838829000,2174252000,2174252000,None,2008-12-31,4734216000,7344191000,None,None,None,None,None,None,None,None,None,-1081806000,None,None,USD
1656207000,-2312632000,-1136277000,None,None,131324000,None,None,None,1854886000,1959150000,1959150000,None,2007-12-31,3606314000,5183843000,None,None,None,None,None,None,None,None,None,-1058793000,None,None,USD
1337818000,3621927000,-11397629000,None,None,104653000,None,None,None,1558750000,1777170000,1777170000,None,2006-12-31,1716755000,5329241000,None,None,None,None,None,None,None,None,None,-754502000,None,None,USD
1207493000,-2592316000,-720087000,None,None,-88257000,None,None,None,1358939000,1686472000,1686472000,None,2005-12-31,3372065000,5174416000,None,None,None,None,None,None,None,None,None,-1302314000,None,None,USD
