comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,20625000000,20625000000,None,3218000000,7616000000,10834000000,2024-12-31,21325000000,7013000000,-6389000000,None,603000000,344000000,None,13402000000,13402000000,-215000000,None,14474000000,6825000000,None,USD,2823000000,11697000000,41950000000
None,20072000000,20072000000,None,3243000000,7362000000,10605000000,2023-12-31,20037000000,6664000000,941000000,None,698000000,384000000,None,5723000000,5162000000,-248000000,None,13602000000,6435000000,None,USD,2719000000,11198000000,40109000000
None,21330000000,21330000000,None,3267000000,8621000000,11888000000,2022-12-31,22323000000,8306000000,1373000000,None,315000000,377000000,None,6933000000,6933000000,-375000000,None,13961000000,8362000000,502000000,USD,2852000000,11012000000,43653000000
None,19861000000,19861000000,None,3538000000,8621000000,12159000000,2021-12-31,23214000000,8211000000,1140000000,None,410000000,491000000,None,7071000000,7071000000,-490000000,None,14014000000,9200000000,319000000,USD,2738000000,11324000000,43075000000
None,17231000000,17231000000,None,3327000000,5676000000,9003000000,2020-12-31,17377000000,4968000000,497000000,None,708000000,492000000,None,4495000000,4471000000,-500000000,None,12086000000,5291000000,157000000,USD,2418000000,9696000000,34608000000
None,15211000000,15211000000,None,3014000000,4895000000,7909000000,2019-12-31,16693000000,4077000000,390000000,None,818000000,94000000,None,3687000000,3687000000,-576000000,None,12102000000,4591000000,215000000,USD,2408000000,9765000000,31904000000
None,14755000000,14755000000,None,3278000000,3602000000,6880000000,2018-12-31,15823000000,2873000000,539000000,None,729000000,105000000,None,2368000000,2334000000,-721000000,None,11979000000,3844000000,49000000,USD,2288000000,9744000000,30578000000
None,14324000000,14324000000,None,3021000000,3111000000,6132000000,2017-12-31,13066000000,2231000000,1878000000,None,880000000,124000000,None,477000000,353000000,-780000000,None,11094000000,1972000000,1409000000,USD,2130000000,9117000000,27390000000
None,9609000000,9609000000,None,1353000000,1717000000,3070000000,2016-12-31,11244000000,1413000000,350000000,None,304000000,99000000,None,1400000000,1063000000,-332000000,None,7995000000,3249000000,-1341000000,USD,1358000000,6672000000,20853000000
None,9445000000,9445000000,None,1472000000,3361000000,4833000000,2015-12-31,10960000000,3183000000,577000000,None,178000000,35000000,None,4423000000,2606000000,None,None,8011000000,2949000000,479000000,USD,1369000000,6785000000,20405000000
None,9757000000,9757000000,None,1473000000,2682000000,4155000000,2014-12-31,10490000000,2518000000,797000000,None,164000000,None,None,2284000000,1721000000,None,None,7574000000,2916000000,69000000,USD,1286000000,6530000000,20247000000
None,9800000000,9800000000,None,1516000000,2088000000,3604000000,2013-12-31,9857000000,2521000000,138000000,None,47000000,None,None,2576000000,2383000000,None,None,7711000000,2146000000,49000000,USD,1371000000,6936000000,21848000000
None,10640000000,10640000000,None,2783207000,712793000,3496000000,2012-12-31,10854000000,6263000000,300000000,None,409000000,None,None,5963000000,5962920000,None,None,8847000000,2007000000,-1229498000,USD,1544000000,12059495000,39874000000
None,15410580000,15410580000,None,3043894000,6216783000,9260677000,2011-12-31,23440679000,5199000000,470000000,None,1018141000,None,None,4728000000,4728449000,None,None,16599231000,6841448000,-23165000,USD,4060414000,12756817000,38851000000
None,14573192000,14573192000,None,2624305000,6513969000,9138274000,2010-12-31,20593529000,5713000000,1087000000,None,801135000,None,None,4626172000,4626172000,None,None,13542748000,7050781000,178388000,USD,3572424000,10376324000,35167000000
None,13145329000,13145329000,None,2089510000,7404430000,9493940000,2009-12-31,17619378000,7194000000,1448000000,None,210656000,None,None,5745838000,5745838000,None,None,11048637000,6570741000,1477689000,USD,2743733000,8405904000,30765000000
None,12483022000,12483022000,None,1838829000,6384760000,8223589000,2008-12-31,17044530000,5856286000,1122070000,None,528474000,None,None,4880719000,None,None,None,10955435000,6089095000,None,USD,2688811000,8435624000,29527552000
None,11328046000,11328046000,None,1854886000,5062790000,6917676000,2007-12-31,14586192000,4469648000,863334000,None,593142000,None,None,3606314000,None,None,None,9640647000,4945545000,None,USD,2402649000,7407998000,25914238000
None,9634147000,9634147000,None,1558750000,2692542000,4251292000,2006-12-31,12842175000,2276370000,559615000,None,416172000,None,None,1716755000,None,None,None,8505956000,4336219000,None,USD,2226271000,6349685000,22476322000
None,10467111000,10467111000,None,1358939000,4861275000,6220214000,2005-12-31,11870697000,4619920000,1247855000,None,241355000,None,None,3372065000,None,None,None,7221298000,4649399000,None,USD,1811175000,5496123000,22337808000
