accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,491000000,3680000000,3680000000,17000000,1637000000,2466000000,None,None,6933000000,None,2024-12-31,24839000000,18930000000,18930000000,5734000000,None,1721000000,None,149000000,1250000000,4706000000,None,1816000000,2425000000,USD,2364000000,2321000000,109000000,1452000000,69226000000,19049000000,7281000000,11658000000,50177000000,4377000000,57568000000,None
None,535000000,3728000000,3728000000,17000000,1625000000,2418000000,None,751000000,5385000000,None,2023-12-31,24262000000,21363000000,21363000000,4351000000,None,1717000000,None,99000000,1259000000,3414000000,None,1850000000,2222000000,USD,723000000,3109000000,857000000,2045000000,67885000000,16768000000,6689000000,11993000000,51117000000,5304000000,55892000000,None
None,396000000,2535000000,2535000000,16000000,1612000000,1321000000,None,None,4126000000,None,2022-12-31,24177000000,24480000000,24480000000,3771000000,None,2467000000,None,83000000,312000000,1748000000,None,1664000000,1973000000,USD,-131000000,2779000000,312000000,1020000000,67580000000,15019000000,6369000000,12830000000,3836000000,682000000,54750000000,None
None,348000000,1595000000,1595000000,12000000,1207000000,468000000,None,312000000,2706000000,None,2021-12-31,289000000,328000000,328000000,1955000000,None,1000000,None,69000000,378000000,1637000000,None,333000000,1069000000,USD,-1451000000,531000000,312000000,1073000000,12419000000,8583000000,4240000000,4922000000,2819000000,708000000,7497000000,-2130000000
None,201000000,1466000000,1466000000,12000000,1211000000,988000000,None,None,2066000000,None,2020-12-31,289000000,229000000,229000000,1399000000,None,330000000,None,63000000,233000000,1326000000,None,177000000,849000000,USD,-4605000000,685000000,43000000,695000000,8962000000,6143000000,2417000000,3125000000,1431000000,842000000,5837000000,-131000000
None,242000000,1470000000,1470000000,12000000,1120000000,1201000000,None,None,1859000000,None,2019-12-31,289000000,210000000,210000000,982000000,None,486000000,None,58000000,249000000,1113000000,None,157000000,500000000,USD,-7095000000,728000000,86000000,37000000,6028000000,4597000000,2359000000,3201000000,1431000000,842000000,2827000000,-53000000
None,None,1083000000,1083000000,10000000,1064000000,1061000000,None,136000000,1269000000,None,2018-12-31,289000000,226000000,226000000,845000000,None,1114000000,None,58000000,265000000,776000000,None,192000000,348000000,USD,-7436000000,1250000000,136000000,78000000,4556000000,3540000000,1984000000,3290000000,1016000000,1306000000,1266000000,-50000000
None,None,1185000000,1185000000,9000000,1039000000,384000000,None,70000000,400000000,None,2017-12-31,289000000,239000000,239000000,694000000,None,1325000000,None,58000000,265000000,1010000000,None,118000000,261000000,USD,-7760000000,1395000000,70000000,2000000,3540000000,2622000000,1486000000,2929000000,918000000,1443000000,611000000,-108000000
None,None,1264000000,1264000000,9000000,835000000,440000000,None,1435000000,311000000,None,2016-12-31,289000000,232000000,232000000,691000000,None,1435000000,None,59000000,172000000,613000000,None,124000000,164000000,USD,-7803000000,1665000000,230000000,2000000,3321000000,2530000000,1346000000,2905000000,791000000,1559000000,416000000,-119000000
None,None,785000000,785000000,8000000,783000000,524000000,None,2237000000,533000000,None,2015-12-31,278000000,189000000,189000000,678000000,None,2007000000,None,7000000,323000000,550000000,None,86000000,188000000,USD,-7306000000,2237000000,230000000,1000000,3109000000,2320000000,1403000000,3521000000,789000000,2093000000,-412000000,-123000000
None,None,805000000,805000000,8000000,768000000,633000000,None,42000000,818000000,None,2014-12-31,320000000,284000000,284000000,685000000,None,2035000000,None,3000000,193000000,558000000,None,None,302000000,USD,-6646000000,2212000000,177000000,235000000,3767000000,2736000000,1440000000,3580000000,1031000000,2140000000,187000000,-119000000
None,None,869000000,869000000,7000000,754000000,883000000,None,None,832000000,None,2013-12-31,553000000,78000000,78000000,884000000,None,1998000000,None,90000000,71000000,530000000,None,177000000,346000000,USD,-6243000000,2058000000,60000000,228000000,4337000000,2884000000,1618000000,3793000000,1453000000,2175000000,544000000,-112000000
None,None,549000000,549000000,7000000,741000000,732000000,None,None,630000000,None,2012-12-31,553000000,96000000,96000000,562000000,None,2037000000,None,181000000,71000000,552000000,None,28000000,658000000,USD,-6160000000,2042000000,5000000,453000000,4000000000,2265000000,1397000000,3462000000,1735000000,2065000000,538000000,-109000000
None,None,869000000,869000000,7000000,742000000,540000000,None,None,919000000,None,2011-12-31,323000000,331000000,331000000,476000000,None,1527000000,None,427000000,69000000,622000000,None,63000000,726000000,USD,-4977000000,2016000000,489000000,896000000,4954000000,3229000000,1774000000,3364000000,1725000000,1590000000,1590000000,-107000000
None,None,606000000,606000000,7000000,733000000,581000000,None,None,968000000,None,2010-12-31,323000000,37000000,37000000,632000000,None,2188000000,None,None,205000000,717000000,None,82000000,700000000,USD,-5468000000,2421000000,462000000,1183000000,4964000000,3594000000,1674000000,3951000000,1370000000,2277000000,1013000000,-102000000
None,None,1657000000,1657000000,7000000,678000000,647000000,None,None,745000000,None,2009-12-31,323000000,98000000,98000000,567000000,None,4252000000,None,None,287000000,946000000,None,None,3809000000,USD,-5939000000,4731000000,492000000,1019000000,9078000000,4275000000,2210000000,7354000000,4803000000,5144000000,648000000,-98000000
None,None,933000000,933000000,6000000,607000000,631000000,None,None,320000000,None,2008-12-31,323000000,168000000,168000000,656000000,None,4702000000,None,None,307000000,1150000000,None,None,4296000000,USD,-6198000000,4862000000,372000000,163000000,7675000000,2379000000,2226000000,7588000000,5296000000,5362000000,-82000000,-97000000
None,None,1432000000,1432000000,6000000,558000000,1009000000,None,None,640000000,None,2007-12-31,1907000000,587000000,587000000,821000000,None,5031000000,None,None,466000000,1094000000,None,None,4720000000,USD,-3100000000,5269000000,238000000,457000000,11550000000,3816000000,2625000000,8295000000,7734000000,5670000000,2990000000,-95000000
None,None,1380000000,1380000000,5000000,492000000,1338000000,None,None,1150000000,None,2006-12-31,3217000000,1207000000,1207000000,814000000,None,3672000000,None,None,458000000,1311000000,None,None,3987000000,USD,308000000,3797000000,125000000,161000000,13147000000,3963000000,2852000000,7072000000,9184000000,4220000000,5785000000,-93000000
None,None,633067000,633067000,4355000,440776000,855834000,None,None,948817000,None,2005-12-31,None,None,None,388631000,None,1327065000,None,None,426622000,919577000,None,None,2701000000,USD,473678000,1370289000,43224000,1161699000,7287779000,3558837000,1821961000,3700954000,3728942000,1878993000,3351837000,-90138000
