capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
636000000,-2062000000,-1101000000,None,None,-1458000000,None,None,None,3177000000,None,None,None,2024-12-31,1641000000,3041000000,None,None,None,None,None,None,None,None,None,-1590000000,None,None,USD
546000000,-1146000000,-1423000000,None,None,-580000000,None,None,None,3551000000,None,None,None,2023-12-31,854000000,1667000000,None,None,None,None,None,None,None,None,None,-1412000000,None,None,USD
450000000,-3264000000,1999000000,None,None,-1401000000,None,None,None,4262000000,None,None,None,2022-12-31,1320000000,3565000000,None,None,None,None,None,None,None,None,None,-4108000000,None,None,USD
301000000,-1895000000,-686000000,940000000,None,-417000000,None,None,-640000000,407000000,104000000,104000000,None,2021-12-31,3162000000,3521000000,None,None,None,None,None,None,None,None,None,-1658000000,None,None,USD
294000000,6000000,-952000000,125000000,None,-137000000,None,None,-219000000,312000000,85000000,85000000,None,2020-12-31,2490000000,1071000000,None,None,None,None,None,None,None,None,None,85000000,None,None,USD
217000000,43000000,-149000000,387000000,None,-137000000,None,None,-623000000,258000000,6000000,6000000,None,2019-12-31,341000000,493000000,None,None,None,None,None,None,None,None,None,523000000,None,None,USD
163000000,28000000,-170000000,-108000000,None,-151000000,None,None,-806000000,170000000,None,None,None,2018-12-31,337000000,34000000,None,None,None,None,None,None,None,None,None,70000000,None,None,USD
113000000,-33000000,-114000000,-79000000,None,12000000,None,None,-89000000,144000000,0,0,None,2017-12-31,43000000,68000000,None,None,None,None,None,None,None,None,None,20000000,None,None,USD
77000000,122000000,267000000,479000000,None,-73000000,None,None,222000000,133000000,0,0,None,2016-12-31,-497000000,90000000,None,None,None,None,None,None,None,None,None,687000000,None,None,USD
96000000,70000000,147000000,-20000000,None,-11000000,None,None,280000000,167000000,0,0,None,2015-12-31,-660000000,-237000000,None,None,None,None,None,None,None,None,None,5000000,None,None,USD
95000000,46000000,-12000000,-64000000,None,199000000,None,None,7000000,203000000,0,0,None,2014-12-31,-403000000,-98000000,None,None,None,None,None,None,None,None,None,12000000,None,None,USD
84000000,13000000,455000000,320000000,None,-322000000,None,None,-200000000,236000000,0,0,None,2013-12-31,-83000000,-148000000,None,None,None,None,None,None,None,None,None,14000000,None,None,USD
133000000,37000000,-19000000,-320000000,None,-83000000,None,None,290000000,260000000,0,0,None,2012-12-31,-1183000000,-338000000,None,None,None,None,None,None,None,None,None,37000000,None,None,USD
250000000,-6000000,-113000000,263000000,None,157000000,None,None,-347000000,317000000,0,0,None,2011-12-31,3000000,382000000,None,None,None,None,None,None,None,None,None,18000000,None,None,USD
148000000,484000000,-1123000000,-1051000000,None,-144000000,None,None,-1138000000,383000000,0,0,None,2010-12-31,471000000,-412000000,None,None,None,None,None,None,None,None,None,34000000,None,None,USD
466000000,1524000000,-1273000000,None,None,89000000,None,None,None,1128000000,None,None,None,2009-12-31,293000000,473000000,None,None,None,None,None,None,None,None,None,1273000000,None,None,USD
624000000,220000000,-27000000,None,None,152000000,None,None,None,1223000000,None,None,None,2008-12-31,-3098000000,-692000000,None,None,None,None,None,None,None,None,None,161000000,None,None,USD
1685000000,2037000000,-1675000000,None,None,4000000,None,None,None,1138000000,None,None,None,2007-12-31,-3379000000,-310000000,None,None,None,None,None,None,None,None,None,909000000,None,None,USD
1857000000,3763000000,-4303000000,None,None,6000000,None,None,None,837000000,None,None,None,2006-12-31,-166000000,1287000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
1513173000,494189000,-2269582000,None,None,-27780000,None,None,None,1219344000,None,None,None,2005-12-31,165483000,1482855000,None,None,None,None,None,None,None,None,None,352800000,None,None,USD
