comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,14508000000,14508000000,None,3177000000,2081000000,5258000000,2024-12-31,11277000000,2022000000,381000000,None,92000000,182000000,None,1641000000,1641000000,90000000,None,9053000000,2224000000,None,USD,6456000000,2783000000,25785000000
None,12220000000,12220000000,None,3551000000,401000000,401000000,2023-12-31,10460000000,492000000,-362000000,None,106000000,206000000,None,854000000,208000000,-33000000,None,8224000000,401000000,None,USD,5872000000,2298000000,22680000000
None,12998000000,12998000000,None,55000000,1264000000,1319000000,2022-12-31,10603000000,1184000000,513000000,None,34000000,85000000,None,1320000000,1320000000,-88000000,None,9339000000,1264000000,None,USD,5005000000,2336000000,23601000000
None,8505000000,8505000000,None,354000000,3641000000,3995000000,2021-12-31,7929000000,3669000000,-1210000000,None,47000000,30000000,None,3162000000,3156000000,-34000000,None,4281000000,3641000000,61000000,USD,2845000000,1448000000,16434000000
None,5416000000,5416000000,None,258000000,1315000000,1573000000,2020-12-31,4347000000,1275000000,31000000,None,94000000,39000000,None,2490000000,2485000000,-47000000,None,2978000000,1315000000,-42000000,USD,1983000000,995000000,9763000000
None,3863000000,3863000000,None,258000000,631000000,889000000,2019-12-31,2868000000,372000000,31000000,None,94000000,15000000,None,341000000,341000000,-79000000,None,2237000000,631000000,-165000000,USD,1547000000,750000000,6731000000
None,4028000000,4028000000,None,170000000,451000000,621000000,2018-12-31,2447000000,330000000,-9000000,None,121000000,18000000,None,337000000,339000000,-103000000,None,1996000000,451000000,-2000000,USD,1434000000,562000000,6475000000
None,3506000000,3506000000,None,144000000,204000000,348000000,2017-12-31,1823000000,69000000,19000000,None,126000000,6000000,None,43000000,50000000,-120000000,None,1619000000,204000000,-16000000,USD,1160000000,516000000,5329000000
None,3274000000,3274000000,None,135000000,-372000000,-237000000,2016-12-31,998000000,-448000000,39000000,None,156000000,2000000,None,-487000000,-487000000,-154000000,None,1380000000,-372000000,70000000,USD,1008000000,460000000,4272000000
None,2911000000,2911000000,None,162000000,-481000000,-319000000,2015-12-31,1080000000,-646000000,14000000,None,160000000,163000000,None,-660000000,-660000000,None,None,1432000000,-481000000,-5000000,USD,947000000,475000000,3991000000
None,3667000000,3667000000,None,203000000,-155000000,48000000,2014-12-31,1839000000,-398000000,5000000,None,177000000,None,None,-403000000,-403000000,None,None,1690000000,-155000000,-66000000,USD,1072000000,607000000,5506000000
None,3321000000,3321000000,None,236000000,103000000,339000000,2013-12-31,1978000000,-74000000,9000000,None,177000000,None,None,-83000000,-83000000,None,None,1893000000,103000000,None,USD,1201000000,674000000,5299000000
None,4187000000,4187000000,None,278000000,-1056000000,-778000000,2012-12-31,1235000000,-1217000000,-34000000,None,175000000,None,None,-1183000000,-1183000000,None,None,2191000000,-1056000000,14000000,USD,1354000000,823000000,5422000000
None,3628000000,3628000000,None,317000000,368000000,685000000,2011-12-31,2940000000,-1000000,-4000000,None,180000000,None,None,491000000,3000000,None,None,2474000000,368000000,303000000,USD,1453000000,992000000,6568000000
None,3533000000,3533000000,None,383000000,848000000,1231000000,2010-12-31,2961000000,971000000,38000000,None,199000000,None,None,471000000,933000000,None,None,2117000000,848000000,-140000000,USD,1405000000,934000000,6494000000
None,3131000000,3131000000,None,70000000,664000000,734000000,2009-12-31,2272000000,408000000,112000000,None,438000000,None,None,376000000,None,None,None,1543000000,664000000,None,USD,1721000000,994000000,5403000000
None,3488000000,3488000000,None,1223000000,-1955000000,-732000000,2008-12-31,2320000000,-2260000000,68000000,None,2129000000,None,None,-3098000000,None,None,None,4185000000,-1955000000,None,USD,1848000000,1304000000,5808000000
None,3751000000,3751000000,None,1138000000,-2865000000,-1727000000,2007-12-31,2262000000,-3166000000,23000000,None,2106000000,None,None,-3379000000,None,None,None,5127000000,-2865000000,None,USD,1847000000,1373000000,6013000000
None,2856000000,2856000000,None,837000000,-47000000,790000000,2006-12-31,2793000000,-213000000,23000000,None,941000000,None,None,-166000000,None,None,None,2424000000,-47000000,None,USD,1205000000,1140000000,5649000000
None,3455812000,3455812000,None,1219344000,231655000,1450999000,2005-12-31,2391765000,140266000,-6642000,None,182495000,None,None,165483000,None,None,None,2160110000,231655000,None,USD,1144025000,1016100000,5847577000
