accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,78277000000,78779000000,78779000000,111000000,10721000000,94363000000,None,None,55451000000,None,2024-12-31,23074000000,8602000000,8602000000,34214000000,None,52623000000,None,None,247000000,66965000000,None,28593000000,328806000000,USD,172866000000,130900000000,151000000,22423000000,624894000000,190867000000,179431000000,338924000000,434027000000,159493000000,285970000000,None
None,77297000000,73387000000,73387000000,109000000,10492000000,84981000000,None,None,52253000000,None,2023-12-31,22789000000,7687000000,7687000000,33318000000,None,58314000000,None,None,6897000000,64709000000,None,25451000000,276690000000,USD,113618000000,135611000000,18945000000,13393000000,527854000000,172351000000,164917000000,325979000000,355503000000,161062000000,201875000000,None
None,72968000000,53888000000,53888000000,108000000,10189000000,79600000000,None,None,42360000000,None,2022-12-31,20288000000,6097000000,6097000000,34405000000,None,67150000000,None,None,6158000000,62566000000,None,21121000000,252838000000,USD,83193000000,140118000000,14854000000,16138000000,462675000000,146791000000,155393000000,316632000000,315884000000,161239000000,146043000000,None
None,67651000000,36220000000,36220000000,106000000,10300000000,78664000000,None,None,32891000000,None,2021-12-31,15371000000,5107000000,5107000000,32640000000,None,48744000000,None,None,7391000000,51775000000,None,23643000000,216363000000,USD,85915000000,116395000000,15923000000,59829000000,420549000000,161580000000,142266000000,282304000000,258969000000,140038000000,138245000000,-1837000000
None,52573000000,42122000000,42122000000,5000000,10200000000,72539000000,None,None,24542000000,None,2020-12-31,15017000000,4981000000,4981000000,23795000000,None,31816000000,None,None,4942000000,44138000000,None,17017000000,150667000000,USD,52551000000,84389000000,16115000000,42274000000,321195000000,132733000000,126385000000,227791000000,188462000000,101406000000,93404000000,-1837000000
None,39791000000,36092000000,36092000000,5000000,10080000000,47183000000,None,1307000000,20816000000,None,2019-12-31,14754000000,4049000000,4049000000,20497000000,None,23414000000,None,2169000000,276000000,32439000000,None,12171000000,72705000000,USD,31220000000,63205000000,1307000000,18929000000,225248000000,96334000000,87812000000,163188000000,128914000000,75376000000,62060000000,-1837000000
None,16292000000,31750000000,31750000000,5000000,10000000000,38192000000,None,1371000000,16677000000,None,2018-12-31,14548000000,4110000000,4110000000,17174000000,None,23495000000,None,722000000,-16677000000,23663000000,None,27213000000,61797000000,USD,19625000000,33145000000,9502000000,9500000000,162648000000,75101000000,68391000000,119099000000,87547000000,50708000000,43549000000,-1837000000
None,13183000000,20522000000,20522000000,5000000,9860000000,34616000000,None,100000000,13164000000,None,2017-12-31,13350000000,3371000000,3371000000,16047000000,None,24743000000,None,441000000,-13164000000,18170000000,None,20975000000,48866000000,USD,8636000000,37926000000,6182000000,10464000000,131310000000,60197000000,57883000000,103601000000,71113000000,45718000000,27709000000,-1837000000
None,7519000000,19334000000,19334000000,5000000,9680000000,25309000000,None,1056000000,8339000000,None,2016-12-31,3784000000,854000000,854000000,11461000000,None,7694000000,None,223000000,-8339000000,13739000000,None,12607000000,29114000000,USD,4916000000,15213000000,5197000000,6647000000,83402000000,45781000000,43816000000,64117000000,37621000000,20301000000,19285000000,-1837000000
None,None,15890000000,15890000000,5000000,9540000000,20397000000,None,238000000,5654000000,None,2015-12-31,3759000000,992000000,992000000,10243000000,None,8235000000,None,16000000,-5654000000,10372000000,None,9926000000,21838000000,USD,2545000000,14175000000,238000000,3918000000,64747000000,35705000000,33887000000,51363000000,29042000000,17476000000,13384000000,-1837000000
