capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
82999000000,-11812000000,-94342000000,None,None,-1884000000,None,None,None,52795000000,None,None,None,2024-12-31,59248000000,115877000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
52729000000,-15879000000,-49833000000,None,None,1449000000,None,None,None,48663000000,None,None,None,2023-12-31,30425000000,84946000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
63645000000,9718000000,-37601000000,18869000000,None,-2592000000,None,None,-21897000000,41921000000,None,None,None,2022-12-31,-2722000000,46752000000,None,None,None,None,None,None,None,None,None,-6000000000,None,None,USD
61053000000,6291000000,-58154000000,-5900000000,-364000000,-9487000000,None,None,-18163000000,34296000000,None,None,None,2021-12-31,33364000000,46327000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
40140000000,-1104000000,-59611000000,5967000000,618000000,-2849000000,None,None,-8169000000,25251000000,None,None,None,2020-12-31,21331000000,66064000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
16861000000,-10066000000,-24281000000,4237000000,70000000,-3278000000,None,None,-7681000000,21789000000,None,None,None,2019-12-31,11588000000,38514000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
13427000000,-7686000000,-12369000000,10317000000,-351000000,-1314000000,None,None,-4615000000,15341000000,None,None,None,2018-12-31,10073000000,30723000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
11955000000,9928000000,-27084000000,1188000000,713000000,-3583000000,None,None,-4786000000,11478000000,0,0,None,2017-12-31,3033000000,18365000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
7804000000,-3716000000,-9516000000,3444000000,-212000000,-1426000000,None,None,-3367000000,8116000000,0,0,None,2016-12-31,2371000000,17203000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
5387000000,-3882000000,-6450000000,1333000000,-374000000,-2187000000,None,None,-1755000000,6281000000,0,0,None,2015-12-31,596000000,12039000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
4893000000,4432000000,-5065000000,5899000000,-310000000,-1193000000,None,None,-1039000000,4746000000,0,0,None,2014-12-31,-241000000,6842000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
3444000000,-539000000,-4276000000,574000000,-86000000,-1410000000,None,None,-846000000,3253000000,0,0,None,2013-12-31,274000000,5475000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
3785000000,2259000000,-3595000000,2815000000,-29000000,-999000000,None,None,-861000000,2159000000,0,0,None,2012-12-31,-39000000,4180000000,None,None,None,None,None,None,None,None,None,-960000000,None,None,USD
1811000000,-482000000,-1930000000,1492000000,1000000,-1777000000,None,None,-866000000,1083000000,0,0,None,2011-12-31,631000000,3903000000,None,None,None,None,None,None,None,None,None,-277000000,None,None,USD
979000000,181000000,-3360000000,333000000,17000000,-1019000000,None,None,-295000000,568000000,0,0,None,2010-12-31,1152000000,3495000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
373000000,-280000000,-2337000000,675000000,-1000000,-531000000,None,None,-481000000,378000000,0,0,None,2009-12-31,902000000,3293000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
333000000,-198000000,-1199000000,None,None,-232000000,None,None,None,287000000,None,None,None,2008-12-31,645000000,1697000000,None,None,None,None,None,None,None,None,None,-100000000,None,None,USD
224000000,50000000,42000000,None,None,-303000000,None,None,None,246000000,None,None,None,2007-12-31,476000000,1405000000,None,None,None,None,None,None,None,None,None,-248000000,None,None,USD
216000000,-400000000,-333000000,None,None,-282000000,None,None,None,205000000,None,None,None,2006-12-31,190000000,702000000,None,None,None,None,None,None,None,None,None,-252000000,None,None,USD
204000000,-193000000,-778000000,None,None,-104000000,None,None,None,121000000,None,None,None,2005-12-31,359000000,733000000,None,None,None,None,None,None,None,None,None,66000000,None,None,USD
