comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,326288000000,326288000000,None,52795000000,71020000000,123815000000,2024-12-31,311671000000,68513000000,9265000000,None,2406000000,4677000000,None,59248000000,59248000000,2271000000,None,243078000000,68593000000,None,USD,88544000000,11359000000,637959000000
None,304739000000,304739000000,None,48663000000,36852000000,85515000000,2023-12-31,270046000000,37557000000,7120000000,None,3182000000,2493000000,None,30425000000,20079000000,-670000000,None,232427000000,36852000000,None,USD,85622000000,11816000000,574785000000
None,288831000000,288831000000,None,41921000000,12248000000,54169000000,2022-12-31,225152000000,-5936000000,-3217000000,None,2367000000,989000000,None,-2722000000,-2722000000,-1378000000,None,501735000000,12248000000,-16806000000,USD,73213000000,11891000000,513983000000
None,272344000000,272344000000,None,34433000000,24879000000,59312000000,2021-12-31,197478000000,38151000000,4791000000,None,1809000000,448000000,None,33364000000,33360000000,-1361000000,None,444943000000,24879000000,14633000000,USD,56052000000,8823000000,469822000000
None,233307000000,233307000000,None,25180000000,22899000000,48079000000,2020-12-31,152757000000,24178000000,2863000000,None,1647000000,555000000,None,21331000000,21315000000,-1092000000,None,363165000000,22899000000,2371000000,USD,42740000000,6668000000,386064000000
None,165536000000,165536000000,None,22824000000,14541000000,37365000000,2019-12-31,114986000000,13976000000,2374000000,None,1600000000,832000000,None,11588000000,11602000000,-768000000,None,265981000000,14541000000,1021000000,USD,35931000000,5203000000,280522000000
None,139156000000,139156000000,None,15341000000,12421000000,27762000000,2018-12-31,93731000000,11261000000,1354000000,None,1417000000,440000000,None,10073000000,10064000000,-977000000,None,220466000000,12421000000,266000000,USD,28837000000,4336000000,232887000000
None,111934000000,111934000000,None,11478000000,4106000000,15584000000,2017-12-31,65932000000,3806000000,1558000000,None,848000000,202000000,None,3033000000,3037000000,-646000000,None,173760000000,4106000000,544000000,USD,22620000000,3674000000,177866000000
None,121969000000,121969000000,None,8116000000,4186000000,12302000000,2016-12-31,14018000000,3892000000,1425000000,None,484000000,100000000,None,2371000000,2467000000,-384000000,None,131801000000,4186000000,94000000,USD,16085000000,2432000000,135987000000
None,97601000000,97601000000,None,6281000000,2233000000,8514000000,2015-12-31,9405000000,1568000000,950000000,None,459000000,680000000,None,596000000,618000000,None,None,104773000000,2233000000,-228000000,USD,12540000000,1747000000,107006000000
None,82793000000,82793000000,None,4746000000,178000000,4924000000,2014-12-31,6195000000,-111000000,167000000,None,210000000,None,None,-241000000,-278000000,None,None,88810000000,178000000,-42000000,USD,9275000000,1552000000,88988000000
None,69331000000,69331000000,None,3253000000,745000000,3998000000,2013-12-31,5121000000,506000000,161000000,None,141000000,None,None,274000000,345000000,None,None,73707000000,745000000,-169000000,USD,6565000000,1129000000,74452000000
None,56954000000,56954000000,None,2159000000,676000000,2835000000,2012-12-31,4139000000,544000000,428000000,None,92000000,None,None,-39000000,116000000,None,None,60417000000,676000000,-195000000,USD,4564000000,896000000,61093000000
None,44773000000,44773000000,None,1083000000,862000000,1945000000,2011-12-31,3304000000,934000000,291000000,None,65000000,None,None,631000000,643000000,None,None,47215000000,862000000,125000000,USD,2909000000,658000000,48077000000
None,31193000000,31193000000,None,568000000,1406000000,1974000000,2010-12-31,3011000000,1497000000,352000000,None,39000000,None,None,1152000000,1145000000,None,None,32798000000,1406000000,137000000,USD,1734000000,470000000,34204000000
None,22270000000,22270000000,None,378000000,1129000000,1507000000,2009-12-31,2239000000,1161000000,253000000,None,34000000,None,None,902000000,908000000,None,None,23380000000,1129000000,60000000,USD,1240000000,328000000,24509000000
None,17587000000,17587000000,None,287000000,842000000,1129000000,2008-12-31,1579000000,901000000,247000000,None,71000000,None,None,645000000,None,None,None,18324000000,842000000,None,USD,1033000000,279000000,19166000000
None,13592000000,13592000000,None,246000000,655000000,901000000,2007-12-31,1243000000,660000000,184000000,None,77000000,None,None,476000000,None,None,None,14180000000,655000000,None,USD,818000000,235000000,14835000000
None,9854000000,9854000000,None,205000000,389000000,594000000,2006-12-31,857000000,377000000,187000000,None,78000000,None,None,190000000,None,None,None,10322000000,389000000,None,USD,662000000,195000000,10711000000
None,7647000000,7647000000,None,121000000,432000000,553000000,2005-12-31,843000000,428000000,95000000,None,92000000,None,None,359000000,None,None,None,8058000000,432000000,None,USD,451000000,166000000,8490000000
