accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,12735675000,12735675000,35399000,393600000,3500338000,None,1010300000,5443304000,None,2024-12-31,4588519000,621289000,621289000,11707093000,None,3677300000,None,903000000,845385000,2617949000,None,None,None,EUR,14414046000,4993512000,1078881000,5400000,48588742000,30736857000,20051046000,30112269000,17851885000,10061222000,18476474000,None
None,None,7031274969,7031274969,36136579,394100000,2356205367,None,100000,7284331406,None,2023-12-31,4606008583,744513918,744513918,9578803449,None,4631500000,None,919600000,586617141,2139955541,None,None,None,EUR,12426466299,4877936344,46977553,5420486,40109093837,24486447454,16336444208,26605657087,15622646382,10269212877,13503436749,None
None,None,7208433974,7208433974,36001011,398000000,2544071492,None,746200000,6988956732,None,2022-12-31,4518077379,835461494,835461494,7616346263,None,3514200000,None,923600000,954373926,1810644040,None,275900000,4136900000,EUR,8972186018,4422768915,787261792,106812918,36001408397,22874923817,17835476415,27263179366,13126484579,9427702951,8738229030,None
None,None,4834391172,4834391172,36608219,410400000,2122574643,None,509100000,4570410807,None,2021-12-31,4569106953,954922892,954922892,5483911249,None,4075000000,None,892500000,577005713,1396821671,None,None,3147500000,EUR,8341960062,4759870879,554439003,2778413399,30320632254,18244132342,12334462487,20149966268,12076499912,7815503780,10170665986,None
None,None,4498484631,4498484631,37553123,419100000,1376182139,None,15400000,3328744794,None,2020-12-31,4623328791,1047592311,1047592311,4829171841,None,4662800000,None,820700000,409788469,1097992087,None,None,2815200000,EUR,10718120784,4848447779,61822827,2843949954,27233405084,15910139690,6595267259,13385291408,11323265393,6790024148,13848113676,None
0,0,3532300000,3532300000,38200000,421600000,1062200000,None,0,2850500000,None,2019-12-31,4562700000,2519400000,2519400000,3809200000,None,3108300000,None,833000000,131100000,3900000,None,0,2323200000,EUR,9523800000,4209900000,1101600000,1185800000,24035100000,11971900000,4694100000,10158200000,12063200000,5464100000,13876900000,-1019600000
0,0,3121100000,3121100000,38600000,426400000,964000000,None,999999999999999999.99,2400900000,None,2018-12-31,4562700000,2592700000,2592700000,3439500000,None,3026500000,None,915800000,83700000,911400000,None,0,1727100000,EUR,9197900000,3214400000,187900000,913300000,21675900000,10430500000,3791900000,8733500000,11245400000,4941600000,12942400000,-1621800000
0,0,2259000000,2259000000,38800000,431600000,837300000,None,25200000,1893000000,None,2017-12-31,4541100000,1166000000,1166000000,2958400000,None,3000100000,None,982200000,867300000,949400000,None,0,1714500000,EUR,7211300000,3025300000,25200000,1029300000,18196400000,9007000000,3341900000,7520200000,9189400000,4178300000,10676200000,-557900000
0,0,2906900000,2906900000,39391000,427967032,593197000,None,247672000,1159200000,None,2016-12-31,4873900000,1323000000,1323000000,2780900000,None,3071793000,None,140213507.45,560400000,2439731000,None,0,1687200000,EUR,6282504000,3319465000,247672000,1150000000,17205900000,8557400000,3280600000,7385500000,8648500000,4104900000,9820400000,-796173000
0,0,2458700000,2458700000,38786000,433021390,418894000,None,6467097.95,1103300000,None,2015-12-31,2624600000,738200000,738200000,2573700000,None,1125474000,None,104745468.23,488800000,2684095000,None,0,1620678000,EUR,5284315000,1129685000,4211000,950000000,13295000000,7707600000,3107200000,4906200000,5587400000,1799000000,8388800000,-476922000
None,None,2261359850,2261359850,36849287,439693000,463804172,None,5039000,1395468875,None,2014-12-31,2203457698,676532029,676532029,2447968137,None,1391465000,None,115546000,261385441,2195987261,None,None,1751648000,EUR,4344732575,1078707623,3982519,312978745,11406348225,6679161051,2700066953,4384748437,4727187172,1684681483,7021599786,-471265000
None,None,2419053662,2419053662,41611939,433446000,649597551,None,1073739000,1434022895,None,2013-12-31,2167770144,724082218,724082218,2586928551,None,1474608000,None,30777000,146262460,2307463902,None,None,1678062000,EUR,4542536131,1115308356,4551240,705659292,11950230586,7291926865,2977415695,4765365310,4658303721,1787949614,7184865275,-502523000
None,None,1768206557,1768206557,37482942,426986000,189026270,None,None,1092586267,None,2012-12-31,149219525,9946434,9946434,1927892696,None,996703000,None,None,114844654,1883575119,None,None,1358056000,EUR,3932716958,759752340,3611246,930326239,7413037705,5833856417,2087003637,3344739931,1579181287,1257736293,4068297774,-612587000
None,None,2719002437,2719002437,38174575,330370810,442190662,None,None,1068338709,None,2011-12-31,145360790,8326862,8326862,1682920119,None,951934000,None,None,176191881,965602577,None,None,1366848000,EUR,3255402308,637752503,2574897.70,33658800,7226848146,5680111948,2222595595,3798806259,1546736196,1576210663,3428041886,-540218000
None,None,1971742806,1971742806,39734505,338009980,561637574,None,None,1374929378,None,2010-12-31,142873523,13804385,13804385,1580563257,None,942178000,None,None,72786761,1557204694,None,None,988980000,EUR,2393032925,718038405,None,None,6249801998,5000022205,2180039269,3444725696,1249779792,1264686425,2805076301,-201254000
None,None,1037355908,1037355908,39038609,333113550,206282058,None,None,585854210,None,2009-12-31,131497735,18132927,18132927,1037422926,None,950358000,None,None,88998184,823139779,None,None,886729000,EUR,1450550197,699946215,None,None,3765174213,2749631232,1044453837,1989923776,1015542981,945469937,1775250437,-312729000
None,None,1066485446,1066485446,37390026,334337850,186233813,None,None,553587197,None,2008-12-31,126392655,25664478,25664478,1060489503,None,900629000,None,None,140500810,783292552,None,None,752517000,EUR,1633527938,622141509,-1052470549,37729437,3787745196,2858792397,969526367,1875534783,928952799,906008416,1912210412,-352758000
None,None,1273499279,1273499279,39263446,373945110,283367599,None,None,673419291,None,2007-12-31,128458950,38250965,38250965,1204083716,None,879124000,None,None,173230455,432091199,None,None,556220000,EUR,1528437284,604105878,1207766.90,None,4073712322,3324232744,1011673196,2022061514,749479577,1010388317,1910412158,-290443000
None,None,1685593278,1685593278,10231498,344948362,332867254,None,None,711221973,None,2006-12-31,None,18400612,18400612,902820037,None,503377000,None,None,187928322,862222843,None,None,357494000,EUR,1261951632,395821864,7538998,None,4021988636,3487563613,1202629098,1826807499,534425022,624178400,2195181136,-529200000
None,None,1897067225,1897067225,9654617,371638957,342599996,None,None,335286073,None,2005-12-31,None,24924031,24924031,818348661,None,453025000,None,None,142422798,577372657,None,None,329895000,EUR,660408551,875430732,494387566,None,3741150090,3193124760,1414360223,2036091535,548025330,621731312,1705058554,None
