capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
2159373893,-2958379835,-2725645459,None,None,-1943875229,None,None,None,1030800191,2562271777,2562271777,None,2024-12-31,7909208280,11664087049,None,None,None,None,None,None,None,None,None,-522294381,None,None,EUR
2117679123,-2951056003,-2641990382,None,None,-1617928070,None,None,None,772369329,2306989184,2306989184,None,2023-12-31,7701097910,5347640817,None,None,None,None,None,None,None,None,None,-982408203,None,None,EUR
1281800000,-7193300000,-1028900000,None,None,-2080900000,None,None,None,557300000,2559800000,2559800000,None,2022-12-31,5624200000,8486799999,None,None,None,None,None,None,None,None,None,-4639700000,None,None,EUR
900700000,-9891700000,-72000000,None,None,-483200000,None,None,None,432800000,1368300000,1368300000,None,2021-12-31,5883200000,10845800000,None,None,None,None,None,None,None,None,None,-8560300000,None,None,EUR
962000000,-753000000,-1352200000,None,None,-706700000,None,None,None,551900000,1066400000,1066400000,None,2020-12-31,3553700000,4627600000,None,None,None,None,None,None,None,None,None,-1207500000,None,None,EUR
766600000,-1785400000,-1157500000,0,0,-404700000,None,None,0,521200000,1325700000,1325700000,None,2019-12-31,2592300000,3276400000,None,None,None,None,None,None,None,None,None,-410000000,None,None,EUR
592869027,-1780982697,-507657017,0,0,-532652541,None,None,0,432877021,616728393,616728393,None,2018-12-31,2676793342,3173708482,None,None,None,None,None,None,None,None,None,-1183878888,None,None,EUR
326589477,-1165179523,-1184356657,0,0,-273780086,None,None,0,398672375,497930906,497930906,None,2017-12-31,1991627260,1752250373,None,None,None,None,None,None,None,None,None,-481837533,None,None,EUR
333450414,2069862742,-3360959838,0,0,-46023910,None,None,0,373494443,469984223,469984223,None,2016-12-31,1551516623,1756023770,None,None,None,None,None,None,None,None,None,-421638139,None,None,EUR
378365122,-848740022,-1180489606,0,0,-89334144,None,None,0,299442452,307672914,307672914,None,2015-12-31,1411782167,2061513352,None,None,None,None,None,None,None,None,None,-574907973,None,None,EUR
367075057,-951230329,-16609972,None,None,-300606484,None,None,None,259605097,274539933,274539933,None,2014-12-31,1226015131,1050372767,None,None,None,None,None,None,None,None,None,-717183607,None,None,EUR
210803980,-113110989,-368340966,None,None,-518120954,None,None,None,224614979,216084980,216084980,None,2013-12-31,1015489909,1054172906,None,None,None,None,None,None,None,None,None,-299999972,None,None,EUR
167512345,-531725351,-1091389569,None,None,-343757116,None,None,None,180690894,184094198,184094198,None,2012-12-31,1117199908,685609864,None,None,None,None,None,None,None,None,None,-521774682,None,None,EUR
322987724,-1064354137,-322987724,None,None,-296522735,None,None,None,175307609,185319329,185319329,None,2011-12-31,1574653445,2222436521,None,None,None,None,None,None,None,None,None,-751874049,None,None,EUR
128401337,92466758,-124586045,None,None,-704440859,None,None,None,149636316,86739329,86739329,None,2010-12-31,1019227024,937662529,None,None,None,None,None,None,None,None,None,100000,None,None,EUR
101746097,-72582030,-95079610,None,None,-153186724,None,None,None,135576804,83838575,83838575,None,2009-12-31,-146305032,96157570,None,None,None,None,None,None,None,None,None,None,None,None,EUR
262919473,-186471717,-262954897,None,None,-88868542,None,None,None,120499444,109148473,109148473,None,2008-12-31,326278441,284149788,None,None,None,None,None,None,None,None,None,-88667130,None,None,EUR
167973425,-655250301,-326231404,None,None,-411369492,None,None,None,117182539,None,None,None,2007-12-31,644923544,628470489,None,None,None,None,None,None,None,None,None,-337402004,None,None,EUR
68428193,-627855500,-63490286,None,None,-82569445,None,None,None,80413471,None,None,None,2006-12-31,605309340,462693351,None,None,None,None,None,None,None,None,None,-657339535,None,None,EUR
76211963,3019738,-63775335,None,None,-43420678,None,None,None,94956579,None,None,None,2005-12-31,326689818,746274111,None,None,None,None,None,None,None,None,None,None,None,None,EUR
