comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,13770900000,13770900000,None,918600000,9205000000,10123600000,2024-12-31,14492000000,9252200000,1680600000,None,160553292,182400000,None,7571600000,7571600000,19800000,None,5469400000,9022600000,None,EUR,4303700000,1165700000,28262900000
None,13422400000,13422400000,None,739800000,9236200000,9976000000,2023-12-31,14136100000,9274800000,1435800000,None,149424287,193900000,None,7839000000,7839000000,41200000,None,5093800000,9042300000,None,EUR,3980600000,1113200000,27558500000
None,10473300000,10473300000,None,583600000,6516900000,7100500000,2022-12-31,10700100000,6594100000,969900000,None,59379644,16200000,None,5624200000,5486200000,-44600000,None,4199400000,6500700000,None,EUR,3253500000,945900000,21173400000
None,8802000000,8802000000,None,471000000,6760100000,7231100000,2021-12-31,9809000000,6904600000,1021400000,None,56918309,10000000,None,5883200000,5684100000,-44600000,None,3058900000,6750100000,None,EUR,2547000000,725600000,18611000000
None,7181300000,7181300000,None,490800000,4059900000,4550700000,2020-12-31,6797200000,4105200000,551500000,None,40292062,8400000,None,3553700000,3465100000,-34900000,None,2745700000,4051500000,None,EUR,2200800000,544900000,13978500000
None,6540200000,6540200000,None,448500000,2802400000,3250900000,2019-12-31,5279800000,2784000000,191700000,None,36080243,11600000,None,2592300000,2574100000,-25000000,None,2489000000,2790800000,0,EUR,1968500000,520500000,11820000000
None,5914800000,5914800000,None,422700000,2965300000,3388000000,2018-12-31,5029200000,2943200000,351600000,None,43174085,13500000,None,2591600000,2585400000,-28300000,None,2063900000,2965300000,0,EUR,1575900000,488000000,10944000000
None,4942500000,4942500000,None,417500000,2343900000,2761400000,2017-12-31,4020200000,2372700000,306000000,None,55411315,50300000,None,2066700000,2135200000,-50300000,None,1580500000,2439700000,0,EUR,1259700000,416000000,8962700000
None,3729800000,3729800000,None,356900000,1664700000,2021600000,2016-12-31,3145300000,1792200000,234400000,None,40055623,33700000,None,1557800000,1471894000,33644000,None,1386800000,1758500000,0,EUR,1105800000,374760000,6875100000
None,3391700000,3391700000,None,296900000,1481900000,1778800000,2015-12-31,2895700000,1548600000,161400000,None,27901335,16500000,None,1387200000,2074364256.55,None,None,1330600000,1565100000,0,EUR,1068100000,345732000,6287400000
None,3259903000,3259903000,None,254644000,1201229000,1455873000,2014-12-31,2596374000,1273635000,76995000,None,23667058,None,None,1196640000,1418320000,None,None,1314139000,1282235000,None,EUR,1074035000,321110000,5856277000
None,3068064000,3068064000,None,228775000,983492000,1212267000,2013-12-31,2177262000,1023477000,7987000,None,33670996,None,None,1015490000,None,None,None,1129314000,1047948000,None,EUR,882029000,311741000,5245326000
None,2726298000,2726298000,None,186620000,1156774000,1343394000,2012-12-31,2005257000,1150578000,4262000,None,22202369,None,None,1146316000,None,None,None,848483000,1156774000,None,EUR,589182000,259301000,4731555000
None,3201645000,3201645000,None,165185000,1641216000,1806401000,2011-12-31,2449390000,1648635000,181675000,None,36213723,None,None,1466960000,None,None,None,808174000,1641216000,None,EUR,590270000,217904000,5651035000
None,2552768000,2552768000,None,151444000,1265824000,1417268000,2010-12-31,1955170000,1242523000,220703000,None,23241870,None,None,1021820000,None,None,None,704471000,1250699000,None,EUR,523426000,181045000,4507938000
None,1137671000,1137671000,None,141631000,-120359000,21272000,2009-12-31,458392000,-171550000,-20625000,None,49623991,None,None,-150925000,None,None,None,621517000,-163125000,None,EUR,466761000,156644000,1596063000
None,1938164000,1938164000,None,119190000,359542000,478732000,2008-12-31,1015514000,309644000,-12726000,None,50502967,None,None,322370000,None,None,None,728469000,287045000,None,EUR,516128000,212341000,2953678000
None,2222022641,2222022641,None,126543015,815985711,942528726,2007-12-31,1552101176,849489774,177431139,None,41923973,None,None,672058635,None,None,None,736115464,815985711,None,EUR,511307854,225668000,3774123817
None,2127795065,2127795065,None,87091919,862613396,949705315,2006-12-31,1453978317,861758721,243210913,None,48921715,None,None,618547808,None,None,None,591365679,862612638,None,EUR,413707832,204799000,3581773383
None,1553592034,1553592034,None,90461906,448775250,539237156,2005-12-31,973454813,434693002,123465139,None,55090569,None,None,311227863,None,None,None,524678718,448776094,None,EUR,323628244,621797000,2527046847
