accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,1452000000,5488000000,5488000000,388000000,3126000000,3640000000,None,2156000000,8302000000,None,2024-12-31,21025000000,37177000000,37177000000,5288000000,None,26506000000,None,None,6712000000,20325000000,None,None,None,USD,3160000000,30114000000,2495000000,37000000,104035000000,25827000000,27866000000,63164000000,78208000000,35298000000,40786000000,None
None,1128000000,5840000000,5840000000,388000000,1562000000,3267000000,None,5129000000,8407000000,None,2023-12-31,20048000000,38089000000,38089000000,5424000000,None,22365000000,None,None,5363000000,19799000000,None,None,None,USD,4516000000,28622000000,5400000000,20000000,101119000000,25054000000,30542000000,61953000000,76065000000,31411000000,39143000000,0
None,953000000,6166000000,6166000000,387000000,3120000000,2550000000,None,5314000000,7212000000,None,2022-12-31,19820000000,39307000000,39307000000,4699000000,None,22965000000,None,None,4438000000,16345000000,None,None,9449000000,USD,-574000000,29232000000,6502000000,239000000,96483000000,22593000000,26293000000,59425000000,73890000000,33132000000,37037000000,0
None,987000000,6329000000,6329000000,387000000,2854000000,2824000000,None,1660000000,6031000000,None,2021-12-31,19997000000,42387000000,42387000000,8983000000,None,28134000000,None,None,4832000000,15962000000,None,None,10171000000,USD,1710000000,30781000000,2892000000,69000000,105363000000,26244000000,22594000000,66076000000,79119000000,43482000000,39268000000,0
None,681000000,7832000000,7832000000,328000000,2626000000,2350000000,None,2194000000,3806000000,None,2020-12-31,11845000000,20947000000,20947000000,4024000000,None,17505000000,None,None,3679000000,14411000000,None,None,8917000000,USD,5299000000,20380000000,2419000000,160000000,66729000000,19544000000,20307000000,51091000000,47185000000,30784000000,15622000000,0
None,675000000,5369000000,5369000000,328000000,2602000000,1774000000,None,1822000000,3585000000,None,2019-12-31,11668000000,20833000000,20833000000,3193000000,None,15730000000,None,1512000000,2567000000,12936000000,None,None,8335000000,USD,2812000000,18227000000,2046000000,849000000,61377000000,15563000000,18117000000,46781000000,45814000000,28664000000,13127000000,0
None,0,4831000000,4831000000,317000000,2534000000,1720000000,None,1754000000,2995000000,None,2018-12-31,11707000000,21959000000,21959000000,2890000000,None,17359000000,None,978000000,4026000000,11627000000,None,None,7421000000,USD,5683000000,19113000000,1781000000,849000000,60651000000,15591000000,16292000000,46607000000,45060000000,30315000000,12468000000,0
None,5000000,3324000000,3324000000,317000000,2534000000,2285000000,None,2242000000,2802000000,None,2017-12-31,11825000000,26188000000,26188000000,3035000000,None,15560000000,None,1120000000,2759000000,10477000000,None,None,7615000000,USD,8221000000,17807000000,2271000000,1230000000,63354000000,13150000000,16383000000,46712000000,50204000000,30329000000,14960000000,0
None,93000000,5018000000,5018000000,316000000,2532000000,1680000000,None,2220000000,2583000000,None,2016-12-31,11658000000,27586000000,27586000000,2334000000,None,14495000000,None,891000000,2424000000,9871000000,None,None,6848000000,USD,8140000000,16808000000,2325000000,884000000,62526000000,13262000000,15256000000,45857000000,49264000000,30601000000,14854000000,0
None,None,6240000000,6240000000,316000000,2530000000,3469000000,None,9000000,4633000000,None,2015-12-31,11868000000,22646000000,22646000000,2143000000,None,14109000000,None,669000000,2378000000,8992000000,None,None,6413000000,USD,11834000000,15053000000,925000000,613000000,60124000000,16007000000,14869000000,41615000000,44117000000,26746000000,18490000000,0
