capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
4586000000,-3996000000,-7980000000,None,None,-131000000,None,None,None,5065000000,4629000000,4629000000,None,2024-12-31,8691000000,11861000000,None,None,None,None,None,None,None,None,None,-81000000,None,None,USD
3778000000,-6567000000,-4064000000,None,None,-669000000,None,None,None,4934000000,4481000000,4481000000,None,2023-12-31,6899000000,10345000000,None,None,None,None,None,None,None,None,None,3709000000,None,None,USD
2571000000,-6823000000,-2960000000,None,None,3941000000,None,None,None,5480000000,4364000000,4364000000,None,2022-12-31,2501000000,9808000000,None,None,None,None,None,None,None,None,None,-920000000,None,None,USD
2200000000,3649000000,-11058000000,None,None,1577000000,None,None,None,6530000000,3856000000,3856000000,None,2021-12-31,-265000000,5963000000,None,None,None,None,None,None,None,None,None,12413000000,None,None,USD
2606000000,-2203000000,-285000000,None,None,-621000000,None,None,None,3149000000,3572000000,3572000000,None,2020-12-31,3916000000,4799000000,None,None,None,None,None,None,None,None,None,3049000000,None,None,USD
2460000000,-1765000000,-657000000,None,None,-316000000,None,None,None,3762000000,3592000000,3592000000,None,2019-12-31,1548000000,2969000000,None,None,None,None,None,None,None,None,None,314000000,None,None,USD
1371000000,-2044000000,963000000,None,None,-13000000,None,None,None,3753000000,3484000000,3484000000,None,2018-12-31,1993000000,2618000000,None,None,None,None,None,None,None,None,None,2971000000,None,None,USD
1620000000,-2936000000,-2328000000,None,None,-548000000,None,None,None,3036000000,3519000000,3519000000,None,2017-12-31,2227000000,3578000000,None,None,None,None,None,None,None,None,None,2310000000,None,None,USD
2314000000,-1324000000,-3969000000,None,None,-343000000,None,None,None,2357000000,3561000000,3561000000,None,2016-12-31,3552000000,4145000000,None,None,None,None,None,None,None,None,None,2778000000,None,None,USD
2788000000,878000000,-4239000000,None,None,-315000000,None,None,None,2852000000,3486000000,3486000000,None,2015-12-31,3069000000,3324000000,None,None,None,None,None,None,None,None,None,5886000000,None,None,USD
2752000000,-2705000000,-7032000000,None,None,108000000,None,None,None,3282000000,3521000000,3521000000,None,2014-12-31,1246000000,7058000000,None,None,None,None,None,None,None,None,None,1403000000,None,None,USD
2058000000,-3047000000,-2889000000,None,None,135000000,None,None,None,4583000000,3461000000,3461000000,None,2013-12-31,3267000000,7400000000,None,None,None,None,None,None,None,None,None,-27000000,None,None,USD
4619000000,-4923000000,-1859000000,None,None,-150000000,None,None,None,2518000000,3665000000,3665000000,None,2012-12-31,7718000000,6948000000,None,None,None,None,None,None,None,None,None,-2635000000,None,None,USD
1297000000,-9321000000,-2022000000,None,None,-256000000,None,None,None,2550000000,3764000000,3764000000,None,2011-12-31,12367000000,7821000000,None,None,None,None,None,None,None,None,None,-6015000000,None,None,USD
2420000000,-7220000000,-2340000000,None,None,88000000,None,None,None,2741000000,3361000000,3361000000,None,2010-12-31,10977000000,10680000000,None,None,None,None,None,None,None,None,None,-2604000000,None,None,USD
2957000000,-3629000000,-2476000000,None,None,6000000,None,None,None,2087000000,2977000000,2977000000,None,2009-12-31,7521000000,11739000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
4039000000,-2440000000,-7818000000,None,None,185000000,None,None,None,2620000000,2739000000,2739000000,None,2008-12-31,9144000000,8742000000,None,None,None,None,None,None,None,None,None,-610000000,None,None,USD
1679000000,1925000000,-10761000000,None,None,442000000,None,None,None,1856000000,2641000000,2641000000,None,2007-12-31,8094000000,7510000000,None,None,None,None,None,None,None,None,None,-4170000000,None,None,USD
1339000000,-5386000000,-252000000,None,None,158000000,None,None,None,1345000000,2220000000,2220000000,None,2006-12-31,8216000000,7693000000,None,None,None,None,None,None,None,None,None,-4147000000,None,None,USD
979000000,-4572000000,-1182000000,None,None,596000000,None,None,None,1327000000,1717000000,1717000000,None,2005-12-31,6502000000,6743000000,None,None,None,None,None,None,None,None,None,-3001000000,None,None,USD
