comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,10207000000,10207000000,None,5065000000,10373000000,15438000000,2024-12-31,43866000000,8691000000,1650000000,None,1682000000,458000000,None,7035000000,7041000000,-1284000000,None,33863000000,10003000000,None,USD,13583000000,19669000000,54073000000
None,8040000000,8040000000,None,4934000000,8978000000,13912000000,2023-12-31,37771000000,6899000000,938000000,None,1589000000,301000000,None,5955000000,5961000000,-1288000000,None,29578000000,8193000000,None,USD,10935000000,17683000000,45811000000
None,12391000000,12391000000,None,5254000000,3831000000,9085000000,2022-12-31,31960000000,2501000000,-792000000,None,1346000000,95000000,None,3288000000,3293000000,-1251000000,None,28203000000,3757000000,None,USD,9762000000,17448000000,44351000000
None,12437000000,12437000000,None,4102000000,1011000000,5113000000,2021-12-31,24980000000,-265000000,-380000000,None,1276000000,43000000,None,112000000,115000000,-1257000000,None,23924000000,1056000000,None,USD,9736000000,14227000000,37417000000
None,5299000000,5299000000,None,2896000000,5188000000,8084000000,2020-12-31,21318000000,3916000000,772000000,None,1272000000,87000000,None,3196000000,3144000000,-1219000000,None,16156000000,5162000000,None,USD,5991000000,11693000000,26617000000
None,4921000000,4921000000,None,3762000000,2950000000,6712000000,2019-12-31,19463000000,1548000000,321000000,None,1402000000,774000000,None,1335000000,1227000000,-1237000000,None,16265000000,2924000000,None,USD,5958000000,11099000000,24384000000
None,4936000000,4936000000,None,3753000000,3359000000,7112000000,2018-12-31,17154000000,1993000000,-57000000,None,1419000000,778000000,None,2155000000,2050000000,-1228000000,None,13767000000,3387000000,None,USD,5932000000,8479000000,22090000000
None,4318000000,4318000000,None,3036000000,3587000000,6623000000,2017-12-31,18147000000,2227000000,-641000000,None,1508000000,764000000,None,3001000000,2868000000,-1321000000,None,14470000000,3677000000,None,USD,5757000000,10233000000,22465000000
None,4126000000,4126000000,None,2357000000,4919000000,7276000000,2016-12-31,18876000000,3552000000,146000000,None,1384000000,616000000,None,3499000000,3406000000,-1308000000,None,13974000000,4902000000,None,USD,5890000000,9413000000,23002000000
None,4646000000,4646000000,None,2852000000,4108000000,6960000000,2015-12-31,20062000000,3069000000,243000000,None,1075000000,398000000,None,2825000000,2826000000,None,None,15948000000,4114000000,None,USD,5997000000,10685000000,24708000000
None,5842000000,5842000000,None,3282000000,2209000000,5491000000,2014-12-31,20253000000,1246000000,11000000,None,963000000,None,None,1233000000,1235000000,None,None,18116000000,2137000000,None,USD,5579000000,13000000000,26095000000
None,5261000000,5261000000,None,4583000000,3759000000,8342000000,2013-12-31,20450000000,3267000000,696000000,None,495000000,None,None,2556000000,2571000000,None,None,16738000000,3712000000,None,USD,4821000000,12206000000,25711000000
None,5393000000,5393000000,None,2518000000,8165000000,10683000000,2012-12-31,22580000000,7718000000,1391000000,None,958000000,None,None,6297000000,None,None,None,14432000000,8148000000,None,USD,5243000000,9839000000,27973000000
None,6026000000,6026000000,None,2550000000,12837000000,15387000000,2011-12-31,27565000000,12367000000,2351000000,None,980000000,None,None,9983000000,None,None,None,16253000000,12795000000,None,USD,5523000000,11161000000,33591000000
None,6389000000,6389000000,None,2741000000,11999000000,14740000000,2010-12-31,26880000000,10977000000,2896000000,None,1033000000,None,None,8053000000,None,None,None,15386000000,11494000000,None,USD,5318000000,10445000000,33269000000
None,5775000000,5775000000,None,2087000000,11860000000,13947000000,2009-12-31,27029000000,10807000000,3263000000,None,1198000000,None,None,7521000000,None,None,None,15486000000,11543000000,None,USD,4409000000,11332000000,32804000000
None,6598000000,6598000000,None,2620000000,9998000000,12618000000,2008-12-31,25003000000,8681000000,2551000000,None,1317000000,None,None,6101000000,None,None,None,15452000000,9144000000,None,USD,4953000000,11204000000,31601000000
None,6004000000,6004000000,None,1856000000,8094000000,9950000000,2007-12-31,23555000000,7983000000,2356000000,None,1070000000,None,None,5595000000,None,None,None,14495000000,8094000000,None,USD,5089000000,10612000000,29559000000
None,5559000000,5559000000,None,1345000000,8216000000,9561000000,2006-12-31,20916000000,8543000000,2480000000,None,561000000,None,None,6043000000,None,None,None,12700000000,8216000000,None,USD,3902000000,9322000000,26475000000
None,5356000000,5356000000,None,1327000000,6502000000,7829000000,2005-12-31,18594000000,6667000000,1943000000,None,500000000,None,None,4706000000,None,None,None,12092000000,6502000000,None,USD,3379000000,8906000000,23950000000
