accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,17407000000,145487000000,145487000000,1000000,2414750000,None,None,22562000000,129075000000,None,2025-03-31,255501000000,20911000000,20911000000,18887000000,None,208141000000,None,566987000000,116881000000,408840000000,None,2811000000,242550000000,CNY,661414000000,248347000000,26506000000,282606000000,1804227000000,674049000000,435346000000,714121000000,1130178000000,278775000000,1009858000000,None
None,34838000000,248125000000,248125000000,1000000,2544875000,127560000000,None,29001000000,38943000000,None,2024-03-31,259679000000,26950000000,26950000000,25460000000,None,141775000000,None,424073000000,117432000000,377567000001,None,1427000000,262088000000,CNY,597897000000,205614000000,34872000000,322904000000,1764829000000,752864000000,421507000000,652230000000,1011965000000,230723000000,986544000000,None
None,34215000000,193086000000,193086000000,1000000,2639250000,103369000000,None,12266000000,41176000000,None,2023-03-31,268091000000,46913000000,46913000000,28547000000,None,149088000000,None,453117000000,103773000000,251506000000,None,30379000000,176031000000,CNY,599028000000,161354000000,17933000000,331384000000,1753044000000,697966000000,385351000000,630123000000,1055078000000,244772000000,989657000000,None
None,35253000000,189898000000,189898000000,1000000,2723375000,107205000000,None,8841000000,45001000000,None,2022-03-31,269581000000,59231000000,59231000000,30087000000,None,132503000000,None,443253000000,108362000000,240991000000,None,31877000000,171806000000,CNY,563557000000,141344000000,13835000000,265187000000,1695553000000,638535000000,383784000000,613360000000,1057018000000,229576000000,948479000000,None
None,32286000000,321262000000,321262000000,1000000,2747750000,94368000000,None,13437000000,37450000000,None,2021-03-31,292771000000,70833000000,70833000000,27858000000,None,135716000000,None,437410000000,94607000000,240209000000,None,30754000000,147412000000,CNY,554924000000,149153000000,17506000000,162183000000,1690218000000,643360000000,377358000000,606584000000,1046858000000,229226000000,937470000000,None
None,21857000000,330503000000,330503000000,1000000,2668250000,67173000000,None,5154000000,30815000000,None,2020-03-31,276782000000,60947000000,60947000000,14859000000,None,120276000000,None,350961000000,111489000000,94611000000,None,1322000000,138047000000,CNY,406287000000,125430000000,7920000000,32712000000,1312985000000,462923000000,241872000000,433334000000,850062000000,191462000000,755401000000,None
0,0,189976000000,189976000000,1000000,2623000000,51958000000,None,22466000000,21216000000,None,2019-03-31,264935000000,68276000000,68276000000,8534000000,None,111834000000,None,241544000000,37358000000,115560000000,None,2315000000,92030000000,CNY,257886000000,134300000000,22466000000,13189000000,965076000000,270273000000,207669000000,349674000000,694803000000,142005000000,492257000000,0
0,0,199309000000,199309000000,1000000,2571929843,40363000000,None,6028000000,15364000000,None,2018-03-31,162149000000,36842000000,36842000000,4535000000,None,119525000000,None,177892000000,26746000000,75730000000,None,1637000000,66489000000,CNY,172353000000,125553000000,6028000000,10901000000,717124000000,256855000000,135810000000,277685000000,460269000000,141875000000,365822000000,-2233000000
0,0,143736000000,143736000000,1000000,2573000000,20165000000,None,14897000000,8519000000,None,2017-03-31,125420000000,20438000000,20438000000,7326000000,None,76835000000,None,151820000000,21587000000,50828000000,None,660000000,20206000000,CNY,108558000000,91732000000,14897000000,7065000000,506812000000,181864000000,93564000000,182691000000,324948000000,89127000000,278799000000,-2823000000
0,0,106818000000,106818000000,1000000,2562000000,8328000000,None,0,4445000000,None,2016-03-31,81645000000,8246000000,8246000000,-15682000000,None,53262000000,None,6263.63,13894000000,36617000000,None,0,13629000000,CNY,78752000000,57771000000,4304000000,8878000000,364450000000,134070000000,52039000000,114561000000,230380000000,62522000000,216987000000,0
