capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
85972000000,-76215000000,-185415000000,None,None,None,None,None,None,34962000000,29077000000,29077000000,None,2025-03-31,130109000000,163509000000,None,None,None,None,None,None,None,None,None,-86662000000,None,None,CNY
32929000000,-108244000000,-21824000000,None,None,None,None,None,None,44504000000,17946000000,17946000000,None,2024-03-31,71332000000,182593000000,None,None,None,None,None,None,None,None,None,-88745000000,None,None,CNY
34352000000,-65619000000,-135506000000,None,None,None,None,None,None,46938000000,22790000000,22790000000,None,2023-03-31,72783000000,199752000000,None,None,None,None,None,None,None,None,None,-74746000000,None,None,CNY
53309000000,-64449000000,-198592000000,None,None,None,None,None,None,39455000000,0,0,None,2022-03-31,62249000000,142759000000,None,None,None,None,None,None,None,None,None,-61225000000,None,None,CNY
43185000000,30082000000,-244194000000,None,None,None,None,None,None,47909000000,38410000000,38410000000,None,2021-03-31,143284000000,231786000000,None,None,None,None,None,None,None,None,None,-773000000,None,None,CNY
45386000000,70853000000,-108072000000,None,None,None,None,None,None,42427000000,None,None,None,2020-03-31,140350000000,180607000000,None,None,None,None,None,None,None,None,None,91506000000,None,None,CNY
49643000000,-7392000000,-151060000000,0,0,0,None,None,0,37080000000,12116000000,12116000000,None,2019-03-31,80234000000,150975000000,None,None,None,None,None,None,None,None,None,-10872000000,None,None,CNY
29836000000,20359000000,-83890000000,0,0,0,None,None,0,22020000000,0,0,None,2018-03-31,61412000000,125171000000,None,None,None,None,None,None,None,None,None,399000000,None,None,CNY
17546000000,32914000000,-78364000000,0,0,0,None,None,0,14292000000,96677000000,96677000000,None,2017-03-31,41226000000,80326000000,None,None,None,None,None,None,None,None,None,-13182000000,None,None,CNY
10845000000,-15846000000,-42831000000,0,0,0,None,None,0,6701000000,28973000000,28973000000,None,2016-03-31,71289000000,56836000000,None,None,None,None,None,None,None,None,None,-19795000000,None,None,CNY
7705000000,87497000000,-53454000000,0,0,0,None,None,0,4415000000,104000000,104000000,None,2015-03-31,24320000000,41217000000,None,None,None,None,None,None,None,None,None,-270000000,None,None,CNY
4776000000,9364000000,-32997000000,None,None,None,None,None,None,1654000000,208000000,208000000,None,2014-03-31,23403000000,26379000000,None,None,None,None,None,None,None,None,None,-157000000,None,None,CNY
2503000000,-1406000000,545000000,None,None,None,None,None,None,935000000,103000000,103000000,None,2013-03-31,8649000000,14476000000,None,None,None,None,None,None,None,None,None,-40111000000,None,None,CNY
2168000000,475000000,-125000000,None,None,None,None,None,None,870000000,1056000000,1056000000,None,2012-03-31,4665000000,9275000000,None,None,None,None,None,None,None,None,None,-2000000,None,None,CNY
294479000,51263000,-2746975000,None,None,None,None,None,None,226910000,None,None,None,2011-03-31,1706457000,3039393000,None,None,None,None,None,None,None,None,None,-52709000,None,None,CNY
410744000,-958010000,-1222244000,None,None,None,None,None,None,126582000,888261000,888261000,None,2010-03-31,1176419000,2240215000,None,None,None,None,None,None,None,None,None,-69804000,None,None,CNY
266541000,-78873000,-3101782000,None,None,None,None,None,None,77220000,None,None,None,2009-03-31,1415503000,1580924000,None,None,None,None,None,None,None,None,None,-78873000,None,None,CNY
139812000,2626921000,-101947000,None,None,None,None,None,None,59260000,195909000,195909000,None,2008-03-31,1149444000,1409217000,None,None,None,None,None,None,None,None,None,-112249000,None,None,CNY
96690000,-196612000,-794367000,None,None,None,None,None,None,54043000,196612000,196612000,None,2007-03-31,291388000,730671000,None,None,None,None,None,None,None,None,None,None,None,None,CNY
