comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,598285000000,598285000000,None,34962000000,147710000000,182672000000,2025-03-31,398062000000,161421000000,35445000000,None,9596000000,20759000000,None,130109000000,125976000000,11163000000,None,257157000000,140905000000,None,CNY,57151000000,44239000000,996347000000
None,586323000000,586323000000,None,44504000000,119507000000,164011000000,2024-03-31,354845000000,93861000000,22529000000,None,17911000000,11869000000,None,80009000000,71332000000,-17911000000,None,241495000000,113350000000,None,CNY,52256000000,41985000000,941168000000
None,549695000000,549695000000,None,46938000000,106174000000,153112000000,2023-03-31,318992000000,81122000000,15549000000,None,16989000000,5918000000,None,72783000000,65573000000,-16989000000,None,218641000000,100351000000,None,CNY,56744000000,42183000000,868687000000
None,539450000000,539450000000,None,48065000000,80161000000,128226000000,2022-03-31,313612000000,73894000000,26815000000,None,20611000000,30496000000,None,62249000000,47079000000,-20611000000,None,243974000000,69638000000,None,CNY,55465000000,31922000000,853062000000
None,421205000000,421205000000,None,47909000000,170054000000,217963000000,2021-03-31,296084000000,172562000000,29278000000,None,4476000000,72794000000,None,150578000000,143284000000,68318000000,None,206406000000,89678000000,None,CNY,57236000000,55224000000,717289000000
None,282367000000,282367000000,None,42427000000,171825000000,214252000000,2020-03-31,227344000000,160912000000,20562000000,None,5180000000,72956000000,None,149433000000,140350000000,67776000000,None,135914000000,91430000000,None,CNY,43080000000,28197000000,509711000000
None,206929000000,206929000000,None,37080000000,101411000000,138491000000,2019-03-31,169915000000,96787000000,16553000000,None,5190000000,44106000000,None,87886000000,80234000000,38916000000,None,112831000000,57084000000,0,CNY,37435000000,24889000000,376844000000
None,107044000000,107044000000,None,22020000000,103969000000,125989000000,2018-03-31,143222000000,79611000000,18199000000,None,3566000000,30495000000,None,64093000000,61412000000,26929000000,None,73908000000,69314000000,0,CNY,22754000000,16241000000,250266000000
None,59483000000,59483000000,None,14292000000,62700000000,76992000000,2017-03-31,98790000000,55002000000,13776000000,None,2671000000,8559000000,None,43675000000,41226000000,5888000000,None,50735000000,48055000000,0,CNY,17060000000,12239000000,158273000000
None,34355000000,34355000000,None,7048000000,83414000000,90462000000,2016-03-31,66788000000,79738000000,8449000000,None,1946000000,51210000000,None,71460000000,3694.80,None,None,37686000000,29102000000,0,CNY,13788000000,9205000000,101143000000
None,23834000000,23834000000,None,4499000000,35076000000,39575000000,2015-03-31,52370000000,30736000000,6416000000,None,2750000000,None,None,24261000000,3922897007.82,None,None,29235000000,23135000000,0,CNY,10658000000,7800000000,76204000000
None,13369000000,13369000000,None,1654000000,28997000000,30651000000,2014-03-31,39135000000,26599000000,3196000000,None,2195000000,None,None,23315000000,23403000000,None,None,14215000000,24920000000,None,CNY,5093000000,4218000000,52504000000
None,9719000000,9719000000,None,935000000,11684000000,12619000000,2013-03-31,24798000000,10106000000,1457000000,None,1572000000,None,None,8532000000,None,None,None,14047000000,14413000000,None,CNY,3753000000,2889000000,34517000000
None,6554000000,6554000000,None,870000000,5600000000,6470000000,2012-03-31,13471000000,5532000000,842000000,None,68000000,None,None,4228000000,None,None,None,8456000000,5015000000,None,CNY,2897000000,2211000000,20025000000
None,931016000,931016000,None,226323000,1427512000,1653835000,2011-03-31,4626570000,1706457000,236445000,None,176398000,None,None,1469464000,None,None,None,3090032000,1536538000,None,CNY,580173000,568324000,5557586000
None,534438000,534438000,None,126582000,1072970000,1199552000,2010-03-31,3340290000,1176419000,163393000,None,140941000,None,None,1013026000,None,None,None,2267320000,1072970000,None,CNY,384333000,409708000,3874728000
None,400651000,400651000,None,88471000,1141700000,1230171000,2009-03-31,2603476000,1364820000,210317000,None,5848000,None,None,1154503000,None,None,None,1461776000,1141700000,None,CNY,214038000,322246000,3004127000
None,280113000,280113000,None,59260000,804345000,863605000,2008-03-31,1882644000,1149444000,181649000,None,406307000,None,None,967795000,None,None,None,1078299000,804345000,None,CNY,131495000,229868000,2162757000
None,237625000,237625000,None,54043000,268496000,322539000,2007-03-31,1126237000,291388000,71450000,None,23159000,None,None,219938000,None,None,None,857741000,268496000,None,CNY,105486000,159969000,1363862000
