accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,296486000000,296486000000,45336000000,7843700000,None,None,43391000000,97919000000,None,2024-12-31,69021000000,2000000000,2000000000,None,None,283279000000,None,1061416000000,968171000000,2058010000000,None,None,20695000000,USD,242349000000,658428000000,375149000000,346432000000,3261519000000,740837000000,2433159000000,2965960000000,2520682000000,532801000000,295559000000,None
None,None,341419000000,341419000000,56365000000,8080500000,None,None,32098000000,96697000000,None,2023-12-31,69021000000,400000000,400000000,-68805000000,None,302204000000,None,1017946000000,981381000000,2019357000000,None,None,21005000000,USD,224672000000,618189000000,315985000000,266649000000,3180151000000,704765000000,2335342000000,2888505000000,2475386000000,553163000000,291646000000,None
None,None,237462000000,237462000000,58953000000,8167555589,224073000000,None,26932000000,67429000000,None,2022-12-31,69022000000,2100000000,2100000000,170000000,None,275982000000,None,1158371000000,133776000000,-26932000000,None,195648000000,11510000000,USD,207003000000,302914000000,26932000000,220788000000,3050706000000,539271000000,26932000000,2777509000000,1238903000000,2497615000000,273197000000,None
None,None,355365000000,355365000000,62398000000,8558466293,2064446000000,None,23753000000,72716000000,None,2021-12-31,69022000000,2200000000,2200000000,130000000,None,280117000000,None,1229707000000,1221804000000,-23753000000,None,192336000000,10833000000,USD,188064000000,303870000000,23753000000,299178000000,3169948000000,742016000000,23753000000,2899882000000,1309562000000,280117000000,270066000000,None
None,None,387009000000,387009000000,85982000000,8796962821,181799000000,None,19321000000,64221000000,None,2020-12-31,68951000000,1600000000,1600000000,164000000,None,262934000000,None,883704000000,1244825000000,-19321000000,None,170339000000,11000000000,USD,164088000000,399101000000,19321000000,234491000000,2819627000000,702657000000,19321000000,2546703000000,963655000000,262934000000,272924000000,None
None,None,168667000000,168667000000,91723000000,9442929791,182798000000,None,24204000000,55937000000,None,2019-12-31,68951000000,1700000000,1700000000,285000000,None,240856000000,None,702023000000,1253526000000,-24204000000,None,165131000000,10561000000,USD,156319000000,386559000000,24204000000,245639000000,2434079000000,489964000000,24204000000,2169269000000,781535000000,240856000000,264810000000,None
None,None,184898000000,184898000000,118896000000,10236900000,165078000000,None,20189000000,88194000000,None,2018-12-31,68951000000,1800000000,1800000000,-726435000000,None,335451000000,None,1409386000000,726435000000,-20189000000,None,187018000000,9906000000,USD,136314000000,355640000000,20189000000,229366000000,2354507000000,502458000000,20189000000,2089182000000,615595000000,229340000000,265325000000,None
None,None,168587000000,168587000000,138089000000,10778400000,152123000000,None,32666000000,83580000000,None,2017-12-31,68951000000,2302000000,2302000000,-652551000000,None,342889000000,None,1184944000000,652551000000,9873000000,None,176902000000,9247000000,USD,113816000000,375555000000,32666000000,315117000000,2281234000000,554798000000,42539000000,2014088000000,623714000000,1971549000000,267146000000,0
None,None,157599000000,157599000000,147038000000,11046800000,146359000000,None,23944000000,80996000000,None,2016-12-31,68969000000,5669000000,5669000000,-605838000000,None,319334000000,None,1127233000000,605838000000,10646000000,None,170291000000,9139000000,USD,101870000000,343278000000,23944000000,313660000000,2187702000000,532535000000,34590000000,1920862000000,588660000000,1886272000000,266840000000,0
None,None,167097000000,167097000000,151042000000,11236230000,146286000000,None,477603000000,85518000000,None,2015-12-31,69761000000,6855000000,6855000000,459000000,None,342177000000,None,1124737000000,899688000000,14073000000,None,174291000000,9485000000,USD,88564000000,370275000000,28098000000,322380000000,2144316000000,574995000000,42171000000,1888111000000,669633000000,1845940000000,256205000000,0
None,None,146099000000,146099000000,153458000000,10584535000,145438000000,None,522497000000,86558000000,None,2014-12-31,69777000000,8142000000,8142000000,13533000000,None,364240000000,None,1124275000000,890968000000,13307000000,None,201277000000,10049000000,USD,75024000000,395412000000,31172000000,320695000000,2104534000000,553352000000,44479000000,1861063000000,660214000000,1816584000000,243471000000,0
None,None,142862000000,142862000000,155293000000,11491418000,135662000000,None,None,84529000000,None,2013-12-31,69844000000,10626000000,10626000000,11985000000,None,370550000000,None,1494600000000,990204000000,19448000000,None,198359000000,10475000000,USD,72497000000,416549000000,45999000000,268795000000,2102273000000,496186000000,65447000000,1869588000000,615883000000,1804141000000,232685000000,0
None,None,129446000000,129446000000,158142000000,10840854000,148579000000,None,None,95232000000,None,2012-12-31,69976000000,12535000000,12535000000,20313000000,None,395188000000,None,1530163000000,1030408000000,34256000000,None,293619000000,11858000000,USD,62843000000,425919000000,30731000000,286906000000,2209974000000,511584000000,64987000000,1973018000000,667982000000,1908031000000,236956000000,0
None,None,146106000000,146106000000,156621000000,10254824000,123049000000,None,None,66907000000,None,2011-12-31,69967000000,15531000000,15531000000,16365000000,None,492293000000,None,1459937000000,1038023000000,49054000000,None,215980000000,13637000000,USD,60520000000,527991000000,35698000000,276151000000,2129046000000,489164000000,84752000000,1898945000000,579870000000,1814193000000,230101000000,0
None,None,134860000000,134860000000,150905000000,9790472000,144580000000,None,None,107520000000,None,2010-12-31,73861000000,25100000000,25100000000,37032000000,None,576330000000,None,1504280000000,1038910000000,71013000000,None,245359000000,14306000000,USD,60849000000,636292000000,59962000000,337627000000,2264909000000,580007000000,130975000000,2036661000000,645992000000,1905686000000,228248000000,0
None,None,145541000000,145541000000,128734000000,7728570000,991611000000,None,None,103904000000,None,2009-12-31,86314000000,31800000000,31800000000,46079000000,None,339377000000,None,None,1044992000000,1184897000000,None,None,15500000000,USD,71233000000,763230000000,324709000000,301601000000,2230232000000,551046000000,1509606000000,1998788000000,1679186000000,489182000000,231444000000,0
None,None,42427000000,42427000000,76766000000,7327993500,882997000000,None,None,59785000000,None,2008-12-31,81934000000,21591000000,21591000000,33281000000,None,225410000000,None,None,922638000000,977236000000,None,None,13161000000,USD,73823000000,632946000000,364654000000,276904000000,1817943000000,379116000000,1341890000000,1640891000000,1438827000000,299001000000,177052000000,None
None,None,54304000000,54304000000,60328000000,7327993500,805177000000,None,None,22364000000,None,2007-12-31,77530000000,13643000000,13643000000,351000000,None,167073000000,None,None,947215000000,936488000000,None,None,11240000000,USD,81393000000,610032000000,412524000000,213330000000,1715746000000,289998000000,1349012000000,1568943000000,1425748000000,219931000000,146803000000,None
None,None,50381000000,50381000000,61574000000,7327993500,693497000000,None,None,21647000000,None,2006-12-31,65662000000,12467000000,12467000000,69000000,None,128806000000,None,None,761621000000,803299000000,None,None,9255000000,USD,79024000000,505342000000,358827000000,192806000000,1459737000000,264834000000,1162126000000,1324465000000,1194903000000,162339000000,135272000000,None
None,None,49799000000,49799000000,41693000000,7327993500,634670000000,None,None,20473000000,None,2005-12-31,45354000000,6000000000,6000000000,92000000,None,89660000000,None,None,805842000000,717498000000,None,None,7786000000,USD,67552000000,457772000000,356924000000,221556000000,1291803000000,291828000000,1074422000000,1190270000000,999975000000,115848000000,101533000000,None
