capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
0,60369000000,-90693000000,None,None,None,None,None,None,2189000000,9503000000,9503000000,None,2024-12-31,27132000000,-8805000000,None,None,None,None,None,None,None,None,None,-18358000000,None,None,USD
0,93345000000,-35387000000,None,None,None,None,None,None,2057000000,9087000000,9087000000,None,2023-12-31,26515000000,44982000000,None,None,None,None,None,None,None,None,None,-4576000000,None,None,USD
0,-106039000000,-2529000000,-114895000000,None,None,None,None,None,1978000000,8576000000,8576000000,None,2022-12-31,27528000000,-6327000000,None,None,None,None,None,None,None,None,None,-5727000000,None,None,USD
0,291650000000,-313291000000,-28834000000,None,None,None,None,None,1898000000,8055000000,8055000000,None,2021-12-31,31978000000,-7193000000,None,None,None,None,None,None,None,None,None,-27097000000,None,None,USD
0,355819000000,-177665000000,216147000000,None,None,None,None,None,1843000000,7727000000,7727000000,None,2020-12-31,17894000000,37993000000,None,None,None,None,None,None,None,None,None,-8097000000,None,None,USD
0,3377000000,-80630000000,-15476000000,None,None,None,None,None,1729000000,5934000000,5934000000,None,2019-12-31,27430000000,61777000000,None,None,None,None,None,None,None,None,None,-30712000000,None,None,USD
0,53118000000,-71468000000,19970000000,-1200000000,None,None,None,None,2063000000,6895000000,6895000000,None,2018-12-31,28147000000,39520000000,None,None,None,None,None,None,None,None,None,-24606000000,None,None,USD
0,49195000000,-51541000000,9696000000,2105000000,0,None,None,None,2103000000,5700000000,5700000000,None,2017-12-31,18232000000,9864000000,None,None,None,None,None,None,None,None,None,-12814000000,None,None,USD
0,32982000000,-62285000000,-11615000000,240000000,0,None,None,None,2241000000,4194000000,4194000000,None,2016-12-31,17906000000,17277000000,None,None,None,None,None,None,None,None,None,-5112000000,None,None,USD
0,48585000000,-55571000000,20764000000,-597000000,0,None,None,None,2389000000,3574000000,3574000000,None,2015-12-31,15888000000,28397000000,None,None,None,None,None,None,None,None,None,-2374000000,None,None,USD
1160000000,-12201000000,-8260000000,7267000000,-3067000000,0,None,None,None,2522000000,2306000000,2306000000,None,2014-12-31,5520000000,30795000000,None,None,None,None,None,None,None,None,None,-1675000000,None,None,USD
521000000,-95442000000,25058000000,20570000000,-1863000000,12019000000,None,None,None,2683000000,1677000000,1677000000,None,2013-12-31,11431000000,92817000000,None,None,None,None,None,None,None,None,None,-9681000000,None,None,USD
2799000000,42416000000,-34979000000,-9350000000,-731000000,0,None,None,None,3038000000,1909000000,1909000000,None,2012-12-31,4188000000,-16056000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
1307000000,-104654000000,52429000000,11675000000,-548000000,0,None,None,None,3485000000,1738000000,1738000000,None,2011-12-31,1446000000,64490000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
987000000,-65334000000,-30347000000,-12912000000,228000000,0,None,None,None,3912000000,1762000000,1762000000,None,2010-12-31,-2238000000,82594000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
2240000000,-199568000000,157925000000,88482000000,394000000,0,None,None,None,4314000000,4883000000,4883000000,None,2009-12-31,6276000000,129731000000,None,None,None,None,None,None,None,None,None,-45000000000,None,None,USD
2098000000,-10695000000,-2930000000,None,None,None,None,None,None,3319000000,11528000000,11528000000,None,2008-12-31,4008000000,4034000000,None,None,None,None,None,None,None,None,None,25792000000,None,None,USD
2143000000,103412000000,-108480000000,None,None,None,None,None,None,2844000000,10878000000,10878000000,None,2007-12-31,14982000000,11036000000,None,None,None,None,None,None,None,None,None,-3790000000,None,None,USD
748000000,53133000000,-68304000000,None,None,None,None,None,None,2869000000,9661000000,9661000000,None,2006-12-31,21133000000,14509000000,None,None,None,None,None,None,None,None,None,-14629000000,None,None,USD
1228000000,170817000000,-150445000000,None,None,None,None,None,None,1768000000,7683000000,7683000000,None,2005-12-31,16465000000,-12223000000,None,None,None,None,None,None,None,None,None,-5765000000,None,None,USD
