comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,96368000000,96368000000,None,2189000000,29254000000,31443000000,2024-12-31,96066000000,29254000000,2122000000,None,90547000000,146607000000,None,27132000000,27132000000,56060000000,None,66812000000,29254000000,None,USD,None,44173000000,192434000000
None,4394000000,4394000000,None,2032000000,28342000000,30374000000,2023-12-31,94187000000,28342000000,1827000000,None,73331000000,130262000000,None,26515000000,26515000000,56931000000,None,65845000000,28342000000,None,USD,None,8866000000,98581000000
None,2543000000,2543000000,None,1978000000,30969000000,32947000000,2022-12-31,92407000000,30969000000,3441000000,None,20103000000,72565000000,None,27528000000,27528000000,52462000000,None,61438000000,30969000000,None,USD,None,8421000000,94950000000
None,4594000000,4594000000,None,1898000000,33976000000,35874000000,2021-12-31,84519000000,33976000000,1998000000,None,4738000000,47672000000,None,31978000000,31978000000,42934000000,None,59731000000,33976000000,None,USD,None,7544000000,89113000000
None,19545000000,19545000000,None,1843000000,18995000000,20838000000,2020-12-31,74208000000,18995000000,1101000000,None,8225000000,51585000000,None,17894000000,17894000000,43360000000,None,55213000000,18995000000,None,USD,None,6916000000,74208000000
None,25935000000,25935000000,None,1729000000,32754000000,34483000000,2019-12-31,85582000000,32754000000,5324000000,None,22345000000,71236000000,None,27430000000,27430000000,48891000000,None,52828000000,32754000000,None,USD,None,6243000000,85582000000
None,227000000,227000000,None,2063000000,34584000000,36647000000,2018-12-31,87511000000,34584000000,6437000000,None,18607000000,66769000000,None,28147000000,28147000000,47432000000,None,53154000000,34584000000,None,USD,None,6254000000,87738000000
None,16308000000,16308000000,None,2103000000,29213000000,31316000000,2017-12-31,83730000000,29213000000,10981000000,None,12912000000,57579000000,None,18232000000,18232000000,44667000000,None,54517000000,29213000000,None,USD,0,6418000000,83730000000
None,13558000000,13558000000,None,730000000,25021000000,25751000000,2016-12-31,80104000000,25021000000,7199000000,None,9961000000,51057000000,None,17906000000,17906000000,41096000000,None,55083000000,25021000000,None,USD,0,5724000000,80104000000
None,13710000000,13710000000,None,834000000,22187000000,23021000000,2015-12-31,79804000000,22187000000,6277000000,None,10549000000,49507000000,None,15888000000,15888000000,38958000000,None,57617000000,22187000000,None,USD,0,6202000000,79804000000
None,13209000000,13209000000,None,936000000,8899000000,9835000000,2014-12-31,83619000000,7963000000,2443000000,None,10934000000,None,None,4833000000,4833000000,None,None,75656000000,8899000000,None,USD,0,6875000000,83619000000
None,16311000000,16311000000,None,1086000000,15819000000,16905000000,2013-12-31,83946000000,14733000000,4194000000,None,12755000000,None,None,11431000000,11431000000,None,None,69213000000,15819000000,None,USD,0,7647000000,83946000000
None,24913000000,24913000000,None,1264000000,2736000000,4000000000,2012-12-31,73565000000,3072000000,1116000000,None,16744000000,None,None,2758000000,4188000000,None,None,70493000000,2736000000,None,USD,0,8195000000,73565000000
None,35030000000,35030000000,None,1509000000,-230000000,1279000000,2011-12-31,86094000000,-230000000,-1676000000,None,21620000000,None,None,1446000000,1446000000,None,None,64773000000,-230000000,None,USD,0,62271000000,86094000000
None,23390000000,23390000000,None,1731000000,-1323000000,408000000,2010-12-31,81570000000,-1323000000,915000000,None,23974000000,None,None,-2238000000,-2238000000,None,None,58261000000,-1323000000,None,USD,0,55331000000,104960000000
None,22352000000,22352000000,None,1978000000,4360000000,6338000000,2009-12-31,87277000000,4360000000,-1916000000,None,30807000000,None,None,6276000000,6276000000,None,None,26566000000,4360000000,None,USD,0,50439000000,109629000000
None,12777000000,12777000000,None,1834000000,4428000000,6262000000,2008-12-31,59466000000,4428000000,420000000,None,40324000000,None,None,4008000000,None,None,None,16737000000,4428000000,None,USD,None,29519000000,72243000000
None,9666000000,9666000000,None,2844000000,20924000000,23768000000,2007-12-31,52589000000,20924000000,5942000000,None,52871000000,None,None,14982000000,None,None,None,13196000000,20924000000,None,USD,None,26965000000,62255000000
None,8735000000,8735000000,None,2869000000,31973000000,34842000000,2006-12-31,60656000000,31973000000,10840000000,None,43994000000,None,None,21133000000,None,None,None,12149000000,31973000000,None,USD,None,25468000000,69391000000
None,7907000000,7907000000,None,1768000000,24480000000,26248000000,2005-12-31,49268000000,24480000000,8015000000,None,27889000000,None,None,16465000000,None,None,None,10092000000,24480000000,None,USD,None,15054000000,57175000000
