accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,47729000000,47729000000,8000000,1438000,49485000000,None,2438000000,76188000000,None,2024-12-31,83880000000,34638000000,34638000000,24008000000,None,122324000000,None,604558000000,848000000,15310000000,None,None,228772000000,USD,696218000000,130758000000,10857000000,286472000000,1153881000000,434397000000,75652000000,502226000000,719484000000,426574000000,649368000000,None
None,None,38022000000,38022000000,8000000,1441490,49351000000,None,5335000000,44200000000,None,2023-12-31,84626000000,29327000000,29327000000,24159000000,None,122936000000,None,536285000000,-24159000000,-54686000000,None,None,221870000000,USD,607350000000,128271000000,5335000000,129619000000,1069978000000,211841000000,8253000000,499208000000,93009000000,490955000000,561273000000,None
None,None,35811000000,35811000000,8000000,1459734,44635000000,None,2429000000,48301000000,None,2022-12-31,78119000000,29187000000,29187000000,25366000000,None,120315000000,None,454745000000,26543000000,8618000000,None,None,201940000000,USD,511602000000,122744000000,2429000000,92774000000,948452000000,203429000000,62502000000,467835000000,666242000000,197335000000,472360000000,None
None,None,88184000000,88184000000,8000000,1477440,40705000000,None,2351000000,39565000000,None,2021-12-31,73875000000,28486000000,28486000000,20954000000,None,111911000000,None,443063000000,21805000000,4529000000,None,283520000000,196373000000,USD,534421000000,114262000000,2351000000,58535000000,958784000000,208089000000,45234000000,443854000000,676841000000,202154000000,506199000000,-59795000000
None,None,47990000000,47990000000,8000000,1543963,39978000000,None,3348000000,35852000000,None,2020-12-31,73734000000,30684000000,30684000000,19208000000,None,113547000000,None,37713000000,19884000000,5648000000,None,422393000000,187017000000,USD,444626000000,116895000000,3348000000,90300000000,873729000000,194026000000,45626000000,422393000000,610318000000,187645000000,443164000000,-32853000000
None,None,64175000000,64175000000,8000000,1624958,36361000000,None,4686000000,35835000000,None,2019-12-31,81882000000,31646000000,31646000000,19852000000,None,968000000,None,53717000000,20454000000,8080000000,None,242511000000,174341000000,USD,402493000000,103368000000,4686000000,63822000000,817729000000,184286000000,44441000000,389166000000,572086000000,170762000000,424791000000,-8125000000
None,None,30361000000,30361000000,8000000,1640929,37075000000,None,4373000000,35230000000,None,2018-12-31,81025000000,32148000000,32148000000,19069000000,None,2452000000,None,53503000000,19691000000,7808000000,None,218166000000,166706000000,USD,321112000000,97490000000,4373000000,81506000000,707794000000,166788000000,44883000000,355294000000,489859000000,149085000000,348703000000,-3109000000
None,None,31583000000,31583000000,8000000,1644846,35821000000,None,6320000000,28578000000,None,2017-12-31,81258000000,33182000000,33182000000,16187000000,None,2172000000,None,223276000000,22482000000,8999000000,None,209479000000,148288000000,USD,255786000000,102587000000,6320000000,84371000000,702095000000,167014000000,44820000000,350141000000,485576000000,152874000000,348296000000,-1763000000
None,None,27520000000,27520000000,8000000,1644322,33453000000,None,2094000000,27097000000,None,2016-12-31,79486000000,34086000000,34086000000,15727000000,None,2890000000,None,176053000000,40681000000,9427000000,None,194919000000,143084000000,USD,211777000000,101644000000,2094000000,47338000000,620854000000,142636000000,42880000000,334495000000,441143000000,177494000000,283001000000,-1763000000
None,None,60049000000,60049000000,8000000,1643393,29636000000,None,84289000000,23303000000,None,2015-12-31,62708000000,9797000000,9797000000,11916000000,None,3836000000,None,172338000000,31903000000,7387000000,None,174234000000,135819000000,USD,187703000000,84289000000,1989000000,4569000000,552257000000,119824000000,37023000000,293630000000,394531000000,145426000000,255550000000,-1763000000
None,None,60975000000,60975000000,8000000,1642910,29005000000,None,79890000000,21852000000,None,2014-12-31,60714000000,9941000000,9941000000,10236000000,None,4810000000,None,179757000000,25204000000,6499000000,None,157917000000,129207000000,USD,163620000000,80209000000,839000000,27397000000,526186000000,108031000000,35504000000,283159000000,379712000000,140605000000,240170000000,-1763000000
None,None,45833000000,45833000000,8000000,1643954,33663000000,None,None,20497000000,None,2013-12-31,57011000000,9183000000,9183000000,9945000000,None,5331000000,None,177635000000,24909000000,8084000000,None,87317000000,122214000000,USD,143748000000,72224000000,949000000,28785000000,484931000000,91239000000,41747000000,260446000000,358205000000,129014000000,221890000000,-1363000000
None,None,44928000000,44928000000,8000000,1651197,32215000000,None,None,21753000000,None,2012-12-31,54523000000,9993000000,9993000000,9675000000,None,7933000000,None,153771000000,24768000000,11293000000,None,85340000000,106872000000,USD,124272000000,62736000000,1416000000,31449000000,427452000000,91449000000,43508000000,235864000000,296043000000,105814000000,187647000000,-1363000000
None,None,37299000000,37299000000,8000000,1650806,32706000000,None,None,19012000000,None,2011-12-31,53213000000,None,None,8975000000,None,None,None,None,74481000000,-1490000000,None,None,None,USD,109448000000,60384000000,1490000000,30855000000,392647000000,56311000000,1490000000,223686000000,261855000000,96698000000,164850000000,None
None,None,38227000000,38227000000,8000000,1650806,27697000000,None,None,20917000000,None,2010-12-31,49006000000,6904000000,6904000000,7101000000,None,None,None,None,35544000000,-1682000000,None,None,None,USD,99194000000,58574000000,1682000000,33803000000,372229000000,92947000000,1682000000,209295000000,243738000000,93244000000,157318000000,None
None,None,30558000000,30558000000,8000000,1650806,23788000000,None,None,14792000000,None,2009-12-31,33972000000,4754000000,4754000000,6147000000,None,None,None,None,77448000000,-7574000000,None,None,None,USD,86227000000,37909000000,6237000000,46589000000,297119000000,45350000000,7574000000,161334000000,174321000000,57134000000,131102000000,None
