capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
18976000000,-10360000000,-10287000000,None,None,591000000,None,None,None,12855000000,None,None,None,2024-12-31,89561000000,30592000000,None,None,None,None,None,None,None,None,None,-2918000000,None,None,USD
19409000000,-14405000000,-32663000000,None,None,1426000000,None,None,None,12486000000,None,None,None,2023-12-31,97147000000,49196000000,None,None,None,None,None,None,None,None,None,-9171000000,None,None,USD
15464000000,-1662000000,-87601000000,None,None,-4779000000,None,None,None,10899000000,None,None,None,2022-12-31,-22058000000,37224000000,None,None,None,None,None,None,None,None,None,-7854000000,None,None,USD
13276000000,-28508000000,29392000000,40305000000,None,-1862000000,None,None,-5834000000,10718000000,2126000000,2126000000,None,2021-12-31,90807000000,39421000000,None,None,None,None,None,None,None,None,None,-27061000000,None,None,USD
13012000000,-18344000000,-37757000000,-16328000000,None,681000000,None,None,-1609000000,10596000000,8296000000,8296000000,None,2020-12-31,43253000000,39773000000,None,None,None,None,None,None,None,None,None,-24706000000,None,None,USD
15979000000,730000000,-5621000000,33796000000,None,681000000,None,None,-2303000000,10064000000,None,None,None,2019-12-31,81792000000,38687000000,None,None,None,None,None,None,None,None,None,-4850000000,None,None,USD
14537000000,-5812000000,-32849000000,-1261000000,None,None,None,None,-3443000000,9779000000,None,None,None,2018-12-31,4322000000,37400000000,None,None,None,None,None,None,None,None,None,-1346000000,None,None,USD
11708000000,-1398000000,-41091000000,3535000000,248000000,None,None,None,None,9188000000,None,None,None,2017-12-31,45353000000,45776000000,None,None,None,None,None,None,None,None,None,-31583000000,None,None,USD
12954000000,12791000000,-84267000000,-39113000000,-172000000,None,None,None,-3302000000,8901000000,None,None,None,2016-12-31,24427000000,32535000000,None,None,None,None,None,None,None,None,None,-28048000000,None,None,USD
16082000000,3803000000,-26668000000,8461000000,-165000000,None,None,None,-1650000000,7779000000,3938000000,3938000000,None,2015-12-31,24414000000,31491000000,None,None,None,None,None,None,None,None,None,-71730000000,None,None,USD
15185000000,2731000000,-19369000000,15083000000,-289000000,None,None,None,-1890000000,7370000000,None,None,None,2014-12-31,20170000000,32010000000,None,None,None,None,None,None,None,None,None,-63269000000,None,None,USD
11087000000,961000000,-27535000000,1194000000,64000000,None,None,None,1035000000,6508000000,None,None,None,2013-12-31,19845000000,27704000000,None,None,None,None,None,None,None,None,None,-48186000000,None,None,USD
9775000000,-806000000,-10574000000,9693000000,123000000,None,None,None,-1610000000,5146000000,None,None,None,2012-12-31,15312000000,20950000000,None,None,None,None,None,None,None,None,None,-1296000000,None,None,USD
8191000000,-2217000000,-19189000000,None,None,None,None,None,None,4683000000,None,None,None,2011-12-31,10746000000,20476000000,None,None,None,None,None,None,None,None,None,-37299000000,None,None,USD
5980000000,8125000000,-18277000000,None,None,None,None,None,None,4279000000,None,None,None,2010-12-31,13494000000,17895000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
4937000000,233000000,-11161000000,None,None,None,None,None,None,3127000000,None,None,None,2009-12-31,8441000000,15846000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
6138000000,2286000000,-32066000000,None,None,None,None,None,None,2810000000,None,None,None,2008-12-31,4994000000,11252000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
5373000000,1366000000,-13428000000,None,None,None,None,None,None,2407000000,None,None,None,2007-12-31,13213000000,12550000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
4571000000,2490000000,-14077000000,None,None,None,None,None,None,2066000000,None,None,None,2006-12-31,11015000000,10195000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
2195000000,5628000000,-13841000000,None,None,None,None,None,None,982000000,None,None,None,2005-12-31,8528000000,9446000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
