comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,223686000000,223686000000,None,12855000000,115576000000,128431000000,2024-12-31,153090000000,110376000000,20815000000,None,5200000000,21825000000,None,88995000000,89561000000,-5200000000,None,44555000000,108535000000,None,USD,None,32711000000,376776000000
None,230497000000,230497000000,None,12486000000,125169000000,137655000000,2023-12-31,141669000000,120166000000,23019000000,None,5003000000,14284000000,None,96223000000,77566000000,-4866000000,None,23476000000,118193000000,None,USD,None,31495000000,372166000000
None,124319000000,124319000000,None,10899000000,-26985000000,-16086000000,2022-12-31,109871000000,-30576000000,-8518000000,None,4352000000,66036000000,None,-22058000000,-22058000000,-4352000000,None,142310000000,-26985000000,None,USD,None,5550000000,302089000000
None,114138000000,114138000000,None,10718000000,-82425000000,-71707000000,2021-12-31,240498000000,111686000000,20879000000,None,4172000000,7465000000,None,89795000000,90807000000,-4172000000,None,-437061000000,-82425000000,79537000000,USD,None,4201000000,276094000000
None,101091000000,101091000000,None,10596000000,-113582000000,-102986000000,2020-12-31,185165000000,55693000000,12440000000,None,4083000000,8092000000,None,42521000000,43253000000,-4083000000,None,-399838000000,-113582000000,41472000000,USD,None,3520000000,245579000000
None,107041000000,107041000000,None,10064000000,-77234000000,-67170000000,2019-12-31,220182000000,102696000000,20904000000,None,3961000000,9240000000,None,81417000000,81792000000,-3961000000,None,-404457000000,-77234000000,73783000000,USD,None,4003000000,254616000000
None,106083000000,106083000000,None,9779000000,7553000000,17332000000,2018-12-31,225382000000,4001000000,321000000,None,3853000000,7678000000,None,4021000000,4322000000,-3853000000,None,-217829000000,7553000000,-24622000000,USD,None,4061000000,225382000000
None,133832000000,133832000000,None,9188000000,28819000000,38007000000,2017-12-31,242137000000,23838000000,21515000000,None,5394000000,6582000000,None,44940000000,45353000000,-5394000000,None,87405000000,20900000000,2938000000,USD,None,16241000000,242137000000
None,125396000000,125396000000,None,8901000000,36811000000,45712000000,2016-12-31,223604000000,33667000000,9240000000,None,3497000000,6180000000,None,24074000000,24427000000,-3497000000,None,65464000000,32744000000,923000000,USD,None,1739000000,223604000000
None,117594000000,117594000000,None,7779000000,38130000000,45909000000,2015-12-31,210821000000,34946000000,10532000000,None,3515000000,None,None,24083000000,24414000000,None,None,13723000000,-24316000000,None,USD,None,13723000000,210821000000
None,111009000000,111009000000,None,7370000000,31060000000,38430000000,2014-12-31,194673000000,28105000000,7935000000,None,3253000000,None,None,19872000000,20170000000,None,None,12198000000,-26110000000,None,USD,None,1523000000,194673000000
None,102210000000,102210000000,None,6508000000,31228000000,37736000000,2013-12-31,182150000000,28796000000,8951000000,None,2801000000,None,None,19476000000,19845000000,None,None,11917000000,-19321000000,None,USD,None,11917000000,182150000000
None,75222000000,75222000000,None,5146000000,24492000000,29638000000,2012-12-31,162463000000,22236000000,6924000000,None,2744000000,None,None,14824000000,15312000000,None,None,7704000000,-15701000000,None,USD,None,10503000000,162463000000
None,75222000000,75222000000,None,4683000000,17486000000,22169000000,2011-12-31,143688000000,15314000000,4568000000,None,2664000000,None,None,10254000000,None,None,None,7704000000,-15701000000,None,USD,None,8670000000,143688000000
None,78125000000,78125000000,None,4279000000,21609000000,25888000000,2010-12-31,59772000000,19051000000,5607000000,None,2558000000,None,None,12967000000,None,None,None,40721000000,19051000000,None,USD,None,7704000000,137897000000
None,125482000000,125482000000,None,3127000000,13544000000,16671000000,2009-12-31,-13458000000,11552000000,3538000000,None,1992000000,None,None,8055000000,None,None,None,-25010000000,11552000000,None,USD,None,27000000,112024000000
None,76938000000,76938000000,None,2810000000,9537000000,12347000000,2008-12-31,39482000000,7574000000,1978000000,None,1963000000,None,None,4994000000,None,None,None,31908000000,7574000000,None,USD,None,8052000000,116420000000
None,75886000000,75886000000,None,2407000000,22071000000,24478000000,2007-12-31,42448000000,20161000000,6594000000,None,1910000000,None,None,13213000000,None,None,None,22287000000,20161000000,None,USD,None,7098000000,118334000000
None,57102000000,57102000000,None,2066000000,18502000000,20568000000,2006-12-31,40499000000,16778000000,5505000000,None,1724000000,None,None,11015000000,None,None,None,23721000000,16778000000,None,USD,None,5932000000,97601000000
None,55404000000,55404000000,None,982000000,13514000000,14496000000,2005-12-31,27102000000,12791000000,4159000000,None,723000000,None,None,8528000000,None,None,None,14834000000,12268000000,None,USD,None,5328000000,82506000000
