accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,-103000000,6889000000,6889000000,6941000000,489400000,7675000000,None,11058000000,18847000000,None,2024-12-31,5241000000,399000000,399000000,16827000000,None,27454000000,None,None,3119000000,11217000000,None,4890000000,13953000000,USD,59352000000,38409000000,11058000000,None,87764000000,45682000000,32272000000,68270000000,42082000000,35998000000,19491000000,None
None,-61000000,6978000000,6978000000,6403000000,513600000,7906000000,None,13406000000,18820000000,None,2023-12-31,5308000000,564000000,564000000,16565000000,None,24533000000,None,None,4586000000,11487000000,None,4675000000,13236000000,USD,51250000000,37878000000,13406000000,1900000000,87476000000,46949000000,34728000000,67973000000,40527000000,33245000000,19494000000,None
None,112000000,7004000000,7004000000,6560000000,530400000,8689000000,None,5325000000,17869000000,None,2022-12-31,5288000000,758000000,758000000,16270000000,None,25714000000,None,None,2642000000,9703000000,None,20820000000,12028000000,USD,43514000000,36993000000,11279000000,None,81943000000,43785000000,31531000000,66052000000,38158000000,34521000000,15869000000,-31748000000
None,79000000,9254000000,9254000000,6398000000,548500000,8154000000,None,11756000000,17375000000,None,2021-12-31,6324000000,1042000000,1042000000,14038000000,None,26033000000,None,12707000000,2788000000,8850000000,None,4805000000,8172000000,USD,39282000000,37789000000,11756000000,964000000,82793000000,43455000000,29847000000,66277000000,39338000000,36430000000,16484000000,-27643000000
None,103000000,9352000000,9352000000,6230000000,548600000,6128000000,None,11164000000,16780000000,None,2020-12-31,6394000000,1308000000,1308000000,11402000000,None,25999000000,None,13407000000,1930000000,7317000000,None,4358000000,12401000000,USD,35167000000,37163000000,11164000000,9352000000,78324000000,39464000000,25717000000,62946000000,38860000000,37229000000,15331000000,-25178000000
None,128000000,8292000000,8292000000,5935000000,567500000,5957000000,None,11376000000,17904000000,None,2019-12-31,6196000000,1565000000,1565000000,11266000000,None,26281000000,None,13844000000,1739000000,8101000000,None,10922000000,12904000000,USD,34437000000,37657000000,11376000000,0,78453000000,39193000000,26621000000,63824000000,39260000000,37203000000,14588000000,-24217000000
None,456000000,7857000000,7857000000,5827000000,599400000,7051000000,None,11553000000,17452000000,None,2018-12-31,6217000000,1897000000,1897000000,11529000000,None,24544000000,None,14447000000,1765000000,8371000000,None,3756000000,9085000000,USD,30427000000,36553000000,11553000000,1000000,78509000000,38603000000,28218000000,64429000000,39906000000,36211000000,14039000000,-20531000000
None,437000000,8261000000,8261000000,5593000000,599300000,6487000000,None,11031000000,16193000000,None,2017-12-31,6200000000,2111000000,2111000000,10018000000,None,23410000000,None,14532000000,1772000000,8220000000,None,4053000000,9823000000,USD,26301000000,34878000000,11031000000,338000000,76962000000,36244000000,26931000000,63196000000,40718000000,36265000000,13697000000,-17005000000
None,68000000,7168000000,7168000000,5277000000,584300000,4614000000,None,13965000000,14503000000,None,2016-12-31,6020000000,2349000000,2349000000,8614000000,None,22750000000,None,14585000000,1682000000,6386000000,None,3184000000,10899000000,USD,27377000000,36783000000,13965000000,220000000,74704000000,31967000000,26132000000,61491000000,42737000000,35359000000,13137000000,-17478000000
None,None,6460000000,6460000000,5238000000,601300000,5023000000,None,517000000,15686000000,None,2015-12-31,6615000000,2821000000,2821000000,9700000000,None,25247000000,None,15067000000,1662000000,7229000000,None,12062000000,16090000000,USD,29246000000,38091000000,12844000000,176000000,78342000000,33508000000,26242000000,63457000000,44834000000,37215000000,14809000000,-17640000000
None,None,7341000000,7341000000,5016000000,628900000,6515000000,None,510000000,16764000000,None,2014-12-31,6694000000,3076000000,3076000000,12205000000,None,27784000000,None,16265000000,2557000000,8164000000,None,12194000000,16577000000,USD,33887000000,39285000000,11501000000,135000000,84681000000,38867000000,27877000000,67855000000,45814000000,39978000000,16746000000,-15726000000
None,None,6081000000,6081000000,4709000000,658600000,6560000000,None,None,17176000000,None,2013-12-31,6956000000,3596000000,3596000000,12625000000,None,18720000000,None,1669000000,2453000000,7346000000,None,18001000000,17075000000,USD,31854000000,37750000000,11031000000,241000000,84896000000,38335000000,27297000000,64018000000,46593000000,36721000000,20811000000,-11854000000
None,None,5490000000,5490000000,4481000000,669600000,6753000000,None,None,18566000000,None,2012-12-31,6942000000,4016000000,4016000000,15547000000,None,19086000000,None,1588000000,2535000000,7633000000,None,22933000000,16461000000,USD,29558000000,40143000000,12391000000,162000000,88970000000,42138000000,29415000000,71388000000,46832000000,41973000000,17532000000,-10074000000
None,None,3057000000,3057000000,4273000000,666100000,8161000000,None,None,17725000000,None,2011-12-31,7080000000,4368000000,4368000000,14544000000,None,16529000000,None,1263000000,2574000000,8061000000,None,22954000000,14395000000,USD,25219000000,34592000000,9648000000,70000000,81218000000,37900000000,28357000000,68289000000,43318000000,39932000000,12883000000,-10281000000
None,None,3592000000,3592000000,3888000000,650400000,5856000000,None,None,16792000000,None,2010-12-31,2614000000,805000000,805000000,9587000000,None,15932000000,None,957000000,1839000000,6352000000,None,14743000000,12539000000,USD,21384000000,28418000000,7981000000,75000000,64020000000,31810000000,22020000000,53156000000,32210000000,31136000000,10824000000,-10397000000
None,None,4867000000,4867000000,3439000000,626000000,2993000000,None,None,13912000000,None,2009-12-31,2269000000,465000000,465000000,6360000000,None,16195000000,None,1076000000,2078000000,4981000000,None,15251000000,12386000000,USD,19711000000,31631000000,9784000000,43000000,60038000000,27217000000,18975000000,50738000000,33249000000,31763000000,8740000000,-10646000000
None,None,2736000000,2736000000,3057000000,627900000,4827000000,None,None,18128000000,None,2008-12-31,2261000000,511000000,511000000,8781000000,None,22834000000,None,None,2240000000,6199000000,None,None,12524000000,USD,19826000000,35535000000,12701000000,51000000,67782000000,31885000000,25625000000,61068000000,35829000000,35443000000,6087000000,-11217000000
None,None,1122000000,1122000000,2744000000,659500000,4723000000,None,None,15752000000,None,2007-12-31,1963000000,475000000,475000000,7204000000,None,17829000000,None,None,1399000000,5480000000,None,None,9997000000,USD,17398000000,28429000000,10600000000,95000000,56132000000,25477000000,22245000000,47136000000,30655000000,24891000000,8883000000,-9451000000
None,None,530000000,530000000,2465000000,683800000,4085000000,None,None,15411000000,None,2006-12-31,1904000000,387000000,387000000,6351000000,None,17680000000,None,None,1371000000,5200000000,None,None,8851000000,USD,14593000000,27296000000,9616000000,None,51449000000,23663000000,19822000000,44590000000,27786000000,24768000000,6859000000,-7352000000
None,None,1108000000,1108000000,1859000000,705800000,3412000000,None,None,14348000000,None,2005-12-31,1451000000,424000000,424000000,5224000000,None,15677000000,None,None,2505000000,5398000000,None,None,7988000000,USD,11808000000,25745000000,10068000000,1108000000,47553000000,23185000000,19332000000,39121000000,24279000000,19789000000,8432000000,-4637000000
