capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
3215000000,-9565000000,-2453000000,None,None,-414000000,None,None,None,2153000000,2646000000,2646000000,None,2024-12-31,10788000000,12035000000,None,None,None,None,None,None,None,None,None,-7697000000,None,None,USD
3092000000,-6932000000,-5871000000,None,None,-364000000,None,None,None,2144000000,2563000000,2563000000,None,2023-12-31,10332000000,12885000000,None,None,None,None,None,None,None,None,None,-4975000000,None,None,USD
2599000000,-7281000000,-2541000000,-2056000000,None,-2589000000,None,None,-220000000,2219000000,2440000000,2440000000,None,2022-12-31,6704000000,7766000000,None,None,None,None,None,None,None,None,None,-4230000000,None,None,USD
2472000000,-4188000000,-3084000000,-74000000,None,-2586000000,None,None,-1259000000,2352000000,2332000000,2332000000,None,2021-12-31,6493000000,7198000000,None,None,None,None,None,None,None,None,None,-2668000000,None,None,USD
2115000000,-3755000000,-1485000000,1087000000,None,-34000000,None,None,1442000000,2432000000,2243000000,2243000000,None,2020-12-31,3003000000,6327000000,None,None,None,None,None,None,None,None,None,-1130000000,None,None,USD
2669000000,-4538000000,-1928000000,402000000,-44000000,274000000,None,None,171000000,2577000000,2132000000,2132000000,None,2019-12-31,6094000000,6912000000,None,None,None,None,None,None,None,None,None,-4047000000,None,None,USD
2916000000,-3650000000,-3212000000,-430000000,-126000000,-1579000000,None,None,-1619000000,2766000000,1951000000,1951000000,None,2018-12-31,6148000000,6558000000,None,None,None,None,None,None,None,None,None,-3798000000,None,None,USD
2336000000,-3657000000,-966000000,1093000000,38000000,-1295000000,None,None,-1151000000,2877000000,1831000000,1831000000,None,2017-12-31,759000000,5706000000,None,None,None,None,None,None,None,None,None,6005000000,None,None,USD
2928000000,-3143000000,-1780000000,708000000,-28000000,1109000000,None,None,829000000,3034000000,1799000000,1799000000,None,2016-12-31,-59000000,5639000000,None,None,None,None,None,None,None,None,None,-23000000,None,None,USD
3261000000,-3894000000,-3517000000,-881000000,-169000000,2274000000,None,None,764000000,3046000000,1757000000,1757000000,None,2015-12-31,2523000000,6699000000,None,None,None,None,None,None,None,None,None,-2025000000,None,None,USD
3379000000,-2996000000,-3627000000,1260000000,-174000000,101000000,None,None,163000000,3163000000,1620000000,1620000000,None,2014-12-31,2468000000,8057000000,None,None,None,None,None,None,None,None,None,-4238000000,None,None,USD
4446000000,-4511000000,-5046000000,591000000,-43000000,2658000000,None,None,835000000,3087000000,1111000000,1111000000,None,2013-12-31,3803000000,10191000000,None,None,None,None,None,None,None,None,None,-2000000000,None,None,USD
5076000000,3606000000,-6190000000,2433000000,-167000000,-1149000000,None,None,-173000000,2813000000,1617000000,1617000000,None,2012-12-31,5722000000,5184000000,None,None,None,None,None,None,None,None,None,16476000000,None,None,USD
3924000000,4019000000,-11427000000,-535000000,-84000000,-2927000000,None,None,-1345000000,2527000000,1159000000,1159000000,None,2011-12-31,4981000000,6957000000,None,None,None,None,None,None,None,None,None,-8000000,None,None,USD
2586000000,-4613000000,-1595000000,-1275000000,-76000000,-2667000000,None,None,-2320000000,2296000000,1084000000,1084000000,None,2010-12-31,2758000000,5009000000,None,None,None,None,None,None,None,None,None,-132000000,None,None,USD
2472000000,-5215000000,846000000,2131000000,1000000,2501000000,None,None,4014000000,2336000000,1029000000,1029000000,None,2009-12-31,827000000,6499000000,None,None,None,None,None,None,None,None,None,8407000000,None,None,USD
3886000000,2955000000,-6171000000,None,None,-833000000,None,None,None,1980000000,953000000,953000000,None,2008-12-31,3585000000,4672000000,None,None,None,None,None,None,None,None,None,-1800000000,None,None,USD
3040000000,-2989000000,-4408000000,None,None,-745000000,None,None,None,1797000000,845000000,845000000,None,2007-12-31,3578000000,7955000000,None,None,None,None,None,None,None,None,None,-2405000000,None,None,USD
2675000000,-2593000000,-3796000000,None,None,-827000000,None,None,None,1602000000,726000000,726000000,None,2006-12-31,3537000000,5799000000,None,None,None,None,None,None,None,None,None,-3208000000,None,None,USD
2415000000,1153000000,-3525000000,None,None,-568000000,None,None,None,1477000000,618000000,618000000,None,2005-12-31,2854000000,3113000000,None,None,None,None,None,None,None,None,None,-1684000000,None,None,USD
