comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,41485000000,41485000000,None,2153000000,13885000000,16038000000,2024-12-31,23324000000,13417000000,2629000000,None,512000000,482000000,None,10792000000,10788000000,-30000000,None,10252000000,13072000000,None,USD,2107000000,6667000000,64809000000
None,43797000000,43797000000,None,2144000000,13561000000,15705000000,2023-12-31,23263000000,13113000000,2781000000,None,511000000,494000000,None,10335000000,10332000000,-17000000,None,10297000000,12966000000,None,USD,2108000000,6371000000,67060000000
None,41915000000,41915000000,None,2219000000,9195000000,11414000000,2022-12-31,17512000000,8771000000,2067000000,None,443000000,443000000,None,6705000000,6704000000,-443000000,None,9608000000,7904000000,1310000000,USD,1814000000,5651000000,59427000000
None,35968000000,35968000000,None,2352000000,8692000000,11044000000,2021-12-31,15003000000,8235000000,1742000000,None,485000000,488000000,None,6489000000,6493000000,-488000000,None,8125000000,6878000000,1845000000,USD,1686000000,5365000000,50971000000
None,29671000000,29671000000,None,2432000000,4509000000,6941000000,2020-12-31,12077000000,4009000000,1006000000,None,510000000,514000000,None,2998000000,2989000000,-514000000,None,7524000000,4553000000,-30000000,USD,1415000000,4642000000,41748000000
None,37384000000,37384000000,None,2577000000,8233000000,10810000000,2019-12-31,16416000000,7840000000,1746000000,None,417000000,227000000,None,6093000000,6066000000,-421000000,None,8126000000,8290000000,-29000000,USD,1693000000,5162000000,53800000000
None,37719000000,37719000000,None,2766000000,8226000000,10992000000,2018-12-31,17003000000,7846000000,1698000000,None,401000000,513000000,None,6147000000,6148000000,-404000000,None,8710000000,8293000000,-43000000,USD,1850000000,5478000000,54722000000
None,31906000000,31906000000,None,2877000000,4613000000,7490000000,2017-12-31,13556000000,4098000000,3339000000,None,522000000,409000000,None,754000000,759000000,-531000000,None,9096000000,4460000000,223000000,USD,1842000000,5177000000,45462000000
None,28640000000,28640000000,None,3034000000,644000000,3678000000,2016-12-31,9897000000,133000000,192000000,None,499000000,451000000,None,-67000000,-59000000,-505000000,None,8735000000,1162000000,140000000,USD,1853000000,4686000000,38537000000
None,34133000000,34133000000,None,3046000000,3946000000,6992000000,2015-12-31,12878000000,3439000000,916000000,None,501000000,527000000,None,2512000000,2113000000,None,None,9093000000,3785000000,106000000,USD,2119000000,5199000000,47011000000
None,41342000000,41342000000,None,3163000000,3636000000,6799000000,2014-12-31,13842000000,3160000000,692000000,None,479000000,None,None,2452000000,3703000000,None,None,10528000000,3314000000,247000000,USD,2380000000,5697000000,55184000000
None,41454000000,41454000000,None,3087000000,5593000000,8680000000,2013-12-31,14202000000,5122000000,1319000000,None,465000000,None,None,3789000000,3809000000,None,None,8574000000,5628000000,-41000000,USD,2046000000,5547000000,55656000000
None,47852000000,47852000000,None,2813000000,8703000000,11516000000,2012-12-31,18023000000,8250000000,2528000000,None,467000000,None,None,5681000000,5708000000,None,None,9450000000,8573000000,144000000,USD,2466000000,5919000000,65875000000
None,44404000000,44404000000,None,2527000000,7121000000,9648000000,2011-12-31,15734000000,6701000000,1720000000,None,385000000,None,None,4928000000,5005000000,None,None,8581000000,7153000000,-56000000,USD,2297000000,5203000000,60138000000
None,31281000000,31281000000,None,2296000000,4093000000,6389000000,2010-12-31,11307000000,3726000000,968000000,None,343000000,None,None,2700000000,2782000000,None,None,7344000000,3963000000,106000000,USD,1905000000,4248000000,42588000000
None,23886000000,23886000000,None,2336000000,2003000000,4339000000,2009-12-31,8510000000,557000000,-270000000,None,389000000,None,None,895000000,827000000,None,None,7933000000,577000000,369000000,USD,1421000000,3645000000,32396000000
None,38415000000,38415000000,None,1980000000,5928000000,7908000000,2008-12-31,12909000000,4538000000,953000000,None,274000000,None,None,3557000000,None,None,None,8461000000,4448000000,None,USD,1728000000,4399000000,51324000000
None,32626000000,32626000000,None,1797000000,6410000000,8207000000,2007-12-31,12332000000,5063000000,1485000000,None,288000000,None,None,3541000000,None,None,None,7411000000,4921000000,None,USD,1404000000,3821000000,44958000000
None,29549000000,29549000000,None,1602000000,6158000000,7760000000,2006-12-31,11968000000,4942000000,1405000000,None,274000000,None,None,3537000000,None,None,None,7047000000,4921000000,None,USD,1347000000,3706000000,41517000000
None,26558000000,26558000000,None,1477000000,4929000000,6406000000,2005-12-31,9781000000,3974000000,1120000000,None,260000000,None,None,2854000000,None,None,None,5997000000,3784000000,None,USD,1084000000,3190000000,36339000000
