accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,2959000000,8848000000,8848000000,1000000,974000000,3521000000,None,None,11945000000,None,2025-01-31,51283000000,4428000000,4428000000,None,None,8433000000,None,4852000000,3750000000,2800000000,None,2962000000,5393000000,USD,16369000000,12070000000,916000000,5184000000,102928000000,29727000000,27980000000,41755000000,73201000000,13775000000,61173000000,None
None,3162000000,8472000000,8472000000,1000000,984000000,3239000000,None,999000000,11414000000,None,2024-01-31,48620000000,5278000000,5278000000,None,None,8427000000,None,4848000000,3466000000,6111000000,None,2475000000,6055000000,USD,11721000000,12588000000,1517000000,5722000000,99823000000,29074000000,26631000000,40177000000,70749000000,13546000000,59646000000,None
None,3487000000,7016000000,7016000000,1000000,997000000,6743000000,None,1182000000,10755000000,None,2023-01-31,48568000000,7125000000,7125000000,1776000000,None,9419000000,None,4672000000,1356000000,6743000000,None,2283000000,6592000000,USD,7585000000,14088000000,1772000000,5492000000,98849000000,26395000000,25891000000,40490000000,72454000000,14599000000,58359000000,None
None,3389000000,5464000000,5464000000,1000000,974000000,5474000000,None,4000000,9739000000,None,2022-01-31,47937000000,8978000000,8978000000,1454000000,None,10592000000,None,4784000000,1120000000,5474000000,None,1995000000,5695000000,USD,7377000000,13981000000,686000000,5073000000,95209000000,22850000000,21788000000,37078000000,72359000000,15290000000,58131000000,None
None,3608000000,6195000000,6195000000,1000000,930000000,4355000000,None,None,7786000000,None,2021-01-31,26318000000,4114000000,4114000000,1146000000,None,2673000000,None,3909000000,991000000,12607000000,None,1565000000,5663000000,USD,5933000000,6281000000,766000000,5771000000,66301000000,21889000000,17728000000,24808000000,44412000000,7080000000,41493000000,None
None,3195000000,4145000000,4145000000,1000000,850000000,3433000000,None,None,6174000000,None,2020-01-31,25134000000,5303000000,5303000000,926000000,None,2673000000,None,1963000000,916000000,11412000000,None,3723000000,5415000000,USD,1861000000,5868000000,750000000,3802000000,55126000000,15963000000,14845000000,21241000000,39163000000,6396000000,33885000000,None
None,None,2669000000,2669000000,1000000,775000000,165000000,None,3000000,4924000000,None,2019-01-31,12851000000,2075000000,2075000000,788000000,None,3173000000,None,1302000000,629000000,2523000000,None,704000000,2051000000,USD,1735000000,3176000000,3000000,1673000000,30737000000,10683000000,11255000000,15132000000,20054000000,3877000000,15605000000,None
None,779962000,2543484000,2543484000,730000,734598000,76465000,None,1024717000,3950093000,None,2018-01-31,7314096000,995289000,995289000,0,None,694781000,None,677283000,818573000,1831092000,None,793140000,1946527000,USD,-337432000,2499460000,1127256000,1978221000,21009802000,9290371000,10129518000,11617439000,11719431000,1487921000,9392363000,0
None,701155000,1606549000,1606549000,708000,700217000,115257000,None,2792058000,3230820000,None,2017-01-31,7263846000,1294258000,1294258000,0,None,2008391000,None,566953000,557120000,1617813000,None,780939000,1787534000,USD,-464910000,2709546000,19594000,602338000,17584923000,5996827000,7258353000,10084796000,11588096000,2826443000,7500127000,0
None,None,1158363000,1158363000,671000,661647000,71481000,None,2048566000,2523506000,None,2016-01-31,3849937000,653403000,653403000,481017000,None,1293947000,None,1904717000,1423000,1262455000,None,833065000,1715828000,USD,-653271000,2048500000,15402000,183018000,12762920000,4347327000,5617005000,7760051000,8415593000,2143046000,5002869000,0
None,None,908117000,908117000,651000,624148000,95537000,None,1495981000,1905506000,None,2015-01-31,3782660000,779248000,779248000,632517000,None,1370692000,None,894855000,16620000,13084000,None,922323000,1125866000,USD,-605845000,2365406000,994714000,87312000,10692982000,3550072000,4390103000,6717799000,7142910000,2327696000,3975183000,0
None,None,781635000,781635000,610000,597613000,64988000,None,None,1360837000,None,2014-01-31,3500823000,909993000,909993000,403273000,None,1301930000,None,482243000,480641000,716310000,None,757187000,1240746000,USD,-343157000,2508563000,572159000,57139000,9152930000,2680252000,3980188000,6087715000,6472678000,2107527000,3065215000,0
None,126658000,747245000,747245000,586000,564896000,14535000,None,None,872634000,None,2013-01-31,1529378000,270549000,270549000,0,None,0,None,890664000,275625000,462830000,None,49074000,604669000,USD,-110982000,647936000,521278000,120376000,5528956000,2015880000,2917624000,3157711000,3513076000,240087000,2371245000,-2317633000
None,48651000,607284000,607284000,137000,541208000,33258000,None,None,683745000,None,2012-01-31,785381000,249542000,249542000,0,None,33412000,None,669308000,210611000,378531000,None,37258000,527946000,USD,159463000,568240000,496149000,170582000,4164154000,1672222000,2300031000,2498053000,2491932000,198022000,1666101000,0
None,25487000,424292000,424292000,133000,548714894,18106000,None,None,426943000,None,2011-01-31,396081000,165521000,165521000,0,None,472538000,None,910587000,151011000,295986000,None,18481000,387174000,USD,171035000,498025000,None,72678000,3091165000,1074924000,1276466000,1814674000,2016241000,538208000,1276491000,0
