capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
658000000,-9429000000,-3163000000,None,None,None,None,None,None,3477000000,1537000000,1537000000,None,2025-01-31,6197000000,13092000000,None,None,None,None,None,None,None,None,None,-7829000000,None,None,USD
736000000,-7477000000,-1327000000,None,None,None,None,None,None,3959000000,772000000,772000000,None,2024-01-31,4136000000,10234000000,None,None,None,None,None,None,None,None,None,-7620000000,None,None,USD
798000000,-3562000000,-1989000000,1560000000,None,None,None,None,-995000000,3786000000,861000000,861000000,None,2023-01-31,208000000,7111000000,None,None,None,None,None,None,None,None,None,-4000000000,None,None,USD
717000000,7838000000,-14536000000,-698000000,None,None,None,None,-1824000000,3298000000,None,None,None,2022-01-31,1444000000,6000000000,None,None,None,None,None,None,None,None,None,1289000000,None,None,USD
710000000,1194000000,-3971000000,2024000000,None,-963000000,None,None,-1556000000,2846000000,None,None,None,2021-01-31,4072000000,4801000000,None,None,None,None,None,None,None,None,None,1321000000,None,None,USD
643000000,164000000,-2980000000,1515000000,None,120000000,None,None,-1000000000,2135000000,None,None,None,2020-01-31,126000000,4331000000,None,None,None,None,None,None,None,None,None,840000000,None,None,USD
595000000,2010000000,-5308000000,126000000,26000000,155000000,None,None,-923000000,962000000,None,None,None,2019-01-31,1110000000,3398000000,None,None,None,None,None,None,None,None,None,704000000,None,None,USD
534027000,221000000,-2010502000,936935000,-11753000,24140000,None,None,-720019000,752600000,0,0,None,2018-01-31,127478000,2737965000,None,None,None,None,None,None,None,None,None,650300000,None,None,USD
463958000,997698000,-2684341000,448186000,-27369000,-28850000,None,None,-628477000,632245000,0,0,None,2017-01-31,179632000,2162198000,None,None,None,None,None,None,None,None,None,401481000,None,None,USD
709852000,73152000,-1487878000,250246000,-7109000,50772000,None,None,-582425000,525750000,0,0,None,2016-01-31,-47426000,1672081000,None,None,None,None,None,None,None,None,None,455482000,None,None,USD
416889000,-310481000,-698360000,126482000,-38391000,45819000,None,None,-544610000,448296000,0,0,None,2015-01-31,-262688000,1173714000,None,None,None,None,None,None,None,None,None,308989000,None,None,USD
299110000,1598234000,-2431555000,34390000,-7758000,105218000,None,None,-424702000,369423000,0,0,None,2014-01-31,-232175000,875469000,None,None,None,None,None,None,None,None,None,374731000,None,None,USD
179707000,334545000,-938918000,139961000,7437000,-9718000,None,None,-183242000,216795000,0,0,None,2013-01-31,-270445000,736897000,None,None,None,None,None,None,None,None,None,351366000,None,None,USD
171300000,75850000,-489690000,182992000,5325000,56956000,None,None,-244947000,157286000,0,0,None,2012-01-31,-11572000,591507000,None,None,None,None,None,None,None,None,None,116565000,None,None,USD
368831000,14074000,-1062554000,-587014000,2385000,134005000,None,None,-102507000,75746000,171964000,171964000,None,2011-01-31,69697000,459081000,None,None,None,None,None,None,None,None,None,-171964000,None,None,USD
53901000,637153000,-378616000,527472000,-1976000,88585000,None,None,-54522000,53177000,0,0,None,2010-01-31,84692000,270911000,None,None,None,None,None,None,None,None,None,153139000,None,None,USD
61059000,96911000,-120997000,None,None,99845000,None,None,None,94703000,None,None,None,2009-01-31,43428000,229557000,None,None,None,None,None,None,None,None,None,None,None,None,USD
43552000,92713000,-102709000,None,None,37574000,None,None,None,66414000,None,None,None,2008-01-31,18356000,204275000,None,None,None,None,None,None,None,None,None,None,None,None,USD
22123000,45027000,-168596000,None,None,109139000,None,None,None,35885000,None,None,None,2007-01-31,481000,111224000,None,None,None,None,None,None,None,None,None,-12000,None,None,USD
23434000,15820000,-47805000,None,None,None,None,None,None,20633000,None,None,None,2006-01-31,28474000,95893000,None,None,None,None,None,None,None,None,None,-28000,None,None,USD
