comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,8643000000,8643000000,None,3477000000,7666000000,11143000000,2025-01-31,29252000000,7438000000,1241000000,None,272000000,161000000,None,6197000000,6197000000,None,None,22047000000,7205000000,None,USD,5493000000,2836000000,37895000000
None,8541000000,8541000000,None,3222000000,5999000000,9221000000,2024-01-31,26316000000,4950000000,814000000,None,None,160000000,None,4136000000,4136000000,None,None,21305000000,5011000000,None,USD,4906000000,2534000000,34857000000
None,8360000000,8360000000,None,3786000000,2925000000,6711000000,2023-01-31,22992000000,660000000,452000000,None,287000000,35000000,None,208000000,208000000,-287000000,None,21134000000,2925000000,-370000000,USD,5055000000,2553000000,31352000000
None,7026000000,7026000000,None,3298000000,-663000000,2635000000,2022-01-31,19466000000,1532000000,88000000,None,216000000,1211000000,None,1444000000,1444000000,995000000,None,18918000000,-663000000,-227000000,USD,4465000000,2598000000,26492000000
None,5438000000,5438000000,None,2846000000,-1715000000,1131000000,2021-01-31,15814000000,2561000000,-1511000000,None,110000000,2170000000,None,4072000000,4072000000,2060000000,None,15359000000,-1715000000,-64000000,USD,3598000000,2087000000,21252000000
None,4235000000,4235000000,None,2135000000,202000000,2337000000,2020-01-31,12863000000,706000000,580000000,None,110000000,118000000,None,126000000,126000000,8000000,None,12400000000,202000000,409000000,USD,2766000000,1704000000,17098000000
None,3451000000,3451000000,None,962000000,1137000000,2099000000,2019-01-31,9831000000,983000000,-127000000,None,126000000,57000000,None,1110000000,1110000000,-69000000,None,9296000000,535000000,448000000,USD,1886000000,1346000000,13282000000
None,2773522000,2773522000,None,752600000,289051000,1041651000,2018-01-31,7706490000,202108000,74630000,None,54000000,36000000,None,127478000,127478000,-18000000,None,7470722000,235768000,-39000000,USD,1553073000,1088358000,10480012000
None,2234000000,2234000000,None,632000000,218000000,850000000,2017-01-31,6203000000,179000000,-144000000,None,89000000,21901000,None,323000000,179632000,-67087000,None,5985000000,218000000,50143000,USD,1208000000,966000000,8391984000
None,1654548000,1654548000,None,525750000,136764000,662514000,2016-01-31,5012668000,64279000,111705000,None,72485000,82930000,None,-47426000,-47426000,None,None,4897745000,114923000,21841000,USD,946300000,711621000,6667216000
None,1289270000,1289270000,None,448296000,-139848000,308448000,2015-01-31,4084316000,-213085000,49603000,None,73237000,None,None,-262688000,-262688000,None,None,4229949000,-145633000,5785000,USD,792917000,679936000,5373586000
None,968428000,968428000,None,369423000,-280724000,88699000,2014-01-31,3102575000,-357935000,-125760000,None,77211000,None,None,-232175000,-232175000,None,None,3388649000,-286074000,5350000,USD,623798000,596719000,4071003000
None,683579000,683579000,None,216795000,-96846000,119949000,2013-01-31,2366616000,-127794000,142651000,None,30948000,None,None,-270445000,-270445000,None,None,2477326000,-110710000,13864000,USD,429479000,433821000,3050195000
None,488886000,488886000,None,157286000,-16272000,141014000,2012-01-31,1777653000,-33317000,-21745000,None,17045000,None,None,-11572000,-11572000,None,None,1812738000,-35085000,18813000,USD,295347000,347781000,2266539000
None,323813000,323813000,None,75746000,129207000,204953000,2011-01-31,1333326000,104298000,34601000,None,24909000,None,None,64474000,69697000,None,None,1235829000,97497000,31710000,USD,187887000,255913000,1657139000
None,257925000,257925000,None,53177000,144381000,197558000,2010-01-31,1047658000,142381000,57689000,None,2000000,None,None,80719000,84692000,None,None,932386000,115272000,29109000,USD,131897000,195290000,1305583000
None,220471000,220471000,None,35971000,85592000,121563000,2009-01-31,856298000,85592000,37557000,None,107000,None,None,43428000,None,None,None,792556000,63742000,None,USD,99530000,158613000,1076769000
None,171591000,171591000,None,66414000,-46105000,20309000,2008-01-31,577109000,46213000,23385000,None,46000,None,None,18356000,None,None,None,556800000,20309000,None,USD,63812000,116508000,748700000
None,118890000,118890000,None,35885000,-3598000,32287000,2007-01-31,378208000,12496000,9795000,None,69000,None,None,481000,None,None,None,381806000,-3598000,None,USD,44614000,47986000,497098000
None,69126000,69126000,None,20633000,-531000,20102000,2006-01-31,240731000,28198000,-1310000,None,69000,None,None,28474000,None,None,None,220629000,20102000,None,USD,23330000,47986000,309857000
