accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,9473000000,9473000000,47747000000,3998000000,2528000000,None,5232000000,11462000000,None,2025-07-31,59136000000,9175000000,9175000000,3164000000,None,22861000000,None,None,3123000000,10513000000,None,2995000000,None,USD,50000000,29643000000,5607000000,7764000000,122291000000,34986000000,35064000000,75448000000,87305000000,40384000000,46843000000,None
None,None,9023000000,9023000000,45800000000,4062000000,2304000000,None,11341000000,10023000000,None,2024-07-31,58660000000,11219000000,11219000000,3373000000,None,19621000000,None,None,4097000000,8887000000,None,2540000000,3156000000,USD,1087000000,32232000000,11705000000,10346000000,124413000000,36862000000,40584000000,78956000000,87551000000,38372000000,45457000000,None
None,None,10314000000,10314000000,44289000000,4105000000,2313000000,None,1733000000,9206000000,None,2023-07-31,38535000000,1818000000,1818000000,3644000000,None,6658000000,None,None,4352000000,8807000000,None,2134000000,2085000000,USD,1639000000,9411000000,2046000000,16023000000,101852000000,43348000000,31309000000,57499000000,58504000000,26190000000,44353000000,None
None,None,7079000000,7079000000,42714000000,4192000000,2281000000,None,1099000000,10527000000,None,2022-07-31,38304000000,2569000000,2569000000,2568000000,None,8416000000,None,4009000000,4355000000,8193000000,None,1968000000,1997000000,USD,-1319000000,10561000000,1421000000,12188000000,94002000000,36717000000,25640000000,54229000000,57285000000,28589000000,39773000000,None
None,None,9175000000,9175000000,42346000000,4236000000,2362000000,None,2508000000,10146000000,None,2021-07-31,38168000000,3619000000,3619000000,1559000000,None,9018000000,None,4884000000,2889000000,8101000000,None,2393000000,2338000000,USD,-654000000,12694000000,2845000000,15343000000,97497000000,39112000000,26257000000,56222000000,58385000000,29965000000,41275000000,None
None,None,11809000000,11809000000,41202000000,4254000000,2218000000,None,3005000000,10523000000,None,2020-07-31,33806000000,1576000000,1576000000,1282000000,None,11578000000,None,5714000000,2349000000,7863000000,None,2147000000,3374000000,USD,-2763000000,14583000000,3005000000,17610000000,94853000000,43573000000,25331000000,56933000000,51280000000,31602000000,37920000000,None
None,None,11750000000,11750000000,40266000000,4453000000,2059000000,None,10191000000,10586000000,None,2019-07-31,33529000000,2201000000,2201000000,1383000000,None,14475000000,None,4958000000,2373000000,7645000000,None,18035000000,2789000000,USD,-5903000000,24666000000,10191000000,21663000000,97793000000,47755000000,31712000000,64222000000,50038000000,32510000000,33571000000,None
None,None,8934000000,8934000000,42820000000,4881000000,1904000000,None,5238000000,10503000000,None,2018-07-31,31706000000,2552000000,2552000000,1846000000,None,20331000000,None,4882000000,2940000000,7399000000,None,10019000000,3006000000,USD,1233000000,25569000000,5238000000,37614000000,108784000000,61837000000,27035000000,65580000000,46947000000,38545000000,43204000000,0
None,None,11708000000,11708000000,45253000000,5049000000,1385000000,None,7992000000,10002000000,None,2017-07-31,29766000000,2539000000,2539000000,1616000000,None,25725000000,None,4738000000,1593000000,7287000000,None,2700000000,3322000000,USD,20838000000,33717000000,7992000000,58784000000,129818000000,83703000000,27583000000,63681000000,46115000000,36098000000,66137000000,0
None,None,7631000000,7631000000,44516000000,5088000000,1056000000,None,4160000000,10119000000,None,2016-07-31,26625000000,2501000000,2501000000,1217000000,None,24483000000,None,4158000000,1627000000,9023000000,None,2356000000,3506000000,USD,19396000000,28643000000,4160000000,58125000000,121652000000,78719000000,24911000000,58067000000,42933000000,33156000000,63586000000,0
