capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
905000000,-15815000000,1733000000,None,None,278000000,None,None,None,2811000000,6437000000,6437000000,None,2025-07-31,10453000000,14193000000,None,None,None,None,None,None,None,None,None,-7222000000,None,None,USD
670000000,6844000000,-20478000000,None,None,275000000,None,None,None,2507000000,6384000000,6384000000,None,2024-07-31,10320000000,10880000000,None,None,None,None,None,None,None,None,None,-6779000000,None,None,USD
849000000,-11626000000,-5107000000,None,None,-1069000000,None,None,None,1726000000,6302000000,6302000000,None,2023-07-31,12613000000,19886000000,None,None,None,None,None,None,None,None,None,-4890000000,None,None,USD
477000000,-16142000000,1553000000,-1183000000,None,-1030000000,None,None,232000000,1957000000,6224000000,6224000000,None,2022-07-31,11812000000,13226000000,None,None,None,None,None,None,None,None,None,-8381000000,None,None,USD
692000000,-12039000000,-56000000,-1870000000,None,-244000000,None,None,1470000000,1862000000,6163000000,6163000000,None,2021-07-31,10591000000,15454000000,None,None,None,None,None,None,None,None,None,-3513000000,None,None,USD
770000000,-18886000000,3500000000,40000000,None,84000000,None,None,-904000000,1808000000,6016000000,6016000000,None,2020-07-31,11214000000,15426000000,None,None,None,None,None,None,None,None,None,-3386000000,None,None,USD
909000000,-27889000000,14837000000,2779000000,None,131000000,None,None,-333000000,1897000000,5979000000,5979000000,None,2019-07-31,11621000000,15831000000,None,None,None,None,None,None,None,None,None,-21579000000,None,None,USD
834000000,-31764000000,15324000000,-2774000000,None,-244000000,None,None,-488000000,2192000000,5968000000,5968000000,None,2018-07-31,110000000,13666000000,None,None,None,None,None,None,None,None,None,-18250000000,None,None,USD
964000000,-3806000000,-5993000000,4077000000,None,-394000000,None,None,-282000000,2286000000,5511000000,5511000000,None,2017-07-31,9609000000,13876000000,None,None,None,None,None,None,None,None,None,-4304000000,None,None,USD
1146000000,-4699000000,-8117000000,754000000,None,315000000,None,None,-554000000,2150000000,4750000000,4750000000,None,2016-07-31,10739000000,13570000000,None,None,None,None,None,None,None,None,None,-4466000000,None,None,USD
1227000000,-2313000000,-10088000000,151000000,None,-116000000,None,None,-1047000000,2442000000,4086000000,4086000000,None,2015-07-31,8981000000,12552000000,None,None,None,None,None,None,None,None,None,-4826000000,None,None,USD
1275000000,-6888000000,-6643000000,-1199000000,None,-109000000,None,None,221000000,2432000000,3758000000,3758000000,None,2014-07-31,7853000000,12332000000,None,None,None,None,None,None,None,None,None,-9843000000,None,None,USD
1160000000,-3000000000,-11768000000,-1874000000,None,218000000,None,None,-1724000000,2351000000,3310000000,3310000000,None,2013-07-31,9983000000,12894000000,None,None,None,None,None,None,None,None,None,-3103000000,None,None,USD
1126000000,-5539000000,-3815000000,2137000000,None,-287000000,None,None,-574000000,2602000000,1501000000,1501000000,None,2012-07-31,8041000000,11491000000,None,None,None,None,None,None,None,None,None,-4760000000,None,None,USD
1174000000,-4064000000,-2934000000,3081000000,None,-147000000,None,None,-1236000000,2486000000,658000000,658000000,None,2011-07-31,6490000000,10079000000,None,None,None,None,None,None,None,None,None,-6896000000,None,None,USD
1008000000,621000000,-11931000000,-1137000000,None,-158000000,None,None,-1915000000,2030000000,0,0,None,2010-07-31,7767000000,10173000000,None,None,None,None,None,None,None,None,None,-7864000000,None,None,USD
1005000000,589000000,-9959000000,None,None,187000000,None,None,None,1768000000,3991000000,3991000000,None,2009-07-31,6134000000,9897000000,None,None,None,None,None,None,None,None,None,-3611000000,None,None,USD
1268000000,-6433000000,-4193000000,None,None,104000000,None,None,None,1744000000,None,None,None,2008-07-31,8052000000,12089000000,None,None,None,None,None,None,None,None,None,-10441000000,None,None,USD
1251000000,-1331000000,-8342000000,None,None,61000000,None,None,None,1413000000,None,None,None,2007-07-31,7333000000,10104000000,None,None,None,None,None,None,None,None,None,-7681000000,None,None,USD
772000000,300000000,-9644000000,None,None,-41000000,None,None,None,1293000000,None,None,None,2006-07-31,5580000000,7899000000,None,None,None,None,None,None,None,None,None,-8295000000,None,None,USD
