comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,20471000000,20471000000,None,2811000000,13048000000,15859000000,2025-07-31,36183000000,11455000000,1002000000,None,1593000000,1001000000,None,10453000000,10180000000,-592000000,None,23258000000,12925000000,None,USD,9300000000,2992000000,56654000000
None,18975000000,18975000000,None,2507000000,13240000000,15747000000,2024-07-31,34828000000,12234000000,1914000000,None,1006000000,1365000000,None,10320000000,10320000000,359000000,None,22647000000,12181000000,None,USD,7983000000,2813000000,53803000000
None,21245000000,21245000000,None,1726000000,15745000000,17471000000,2023-07-31,35753000000,15318000000,2705000000,None,427000000,962000000,None,12613000000,12613000000,535000000,None,20722000000,15031000000,None,USD,7551000000,2478000000,56998000000
None,19309000000,19309000000,None,1957000000,14837000000,16794000000,2022-07-31,32248000000,14477000000,2665000000,None,360000000,476000000,None,11812000000,11812000000,116000000,None,18273000000,13969000000,868000000,USD,6774000000,2101000000,51557000000
None,17924000000,17924000000,None,1862000000,13696000000,15558000000,2021-07-31,31894000000,13262000000,2671000000,None,434000000,618000000,None,10591000000,10591000000,184000000,None,19061000000,12833000000,863000000,USD,6549000000,2152000000,49818000000
None,17618000000,17618000000,None,1808000000,14555000000,16363000000,2020-07-31,31683000000,13970000000,2756000000,None,585000000,920000000,None,11214000000,11214000000,335000000,None,18063000000,13620000000,935000000,USD,6347000000,1925000000,49301000000
None,19238000000,19238000000,None,1897000000,15437000000,17334000000,2019-07-31,32666000000,14571000000,2950000000,None,859000000,1308000000,None,11621000000,11621000000,449000000,None,18447000000,14219000000,1211000000,USD,6577000000,1827000000,51904000000
None,18724000000,18724000000,None,2191000000,13981000000,16172000000,2018-07-31,30606000000,13039000000,12929000000,None,943000000,1508000000,None,110000000,110000000,565000000,None,18297000000,12309000000,1673000000,USD,6332000000,2144000000,49330000000
None,17781000000,17781000000,None,2239000000,13144000000,15383000000,2017-07-31,30224000000,12287000000,2678000000,None,861000000,1338000000,None,9609000000,9609000000,477000000,None,18251000000,11973000000,1175000000,USD,6059000000,1993000000,48005000000
None,18287000000,18287000000,None,2076000000,13602000000,15678000000,2016-07-31,30960000000,12920000000,2181000000,None,676000000,1005000000,None,10739000000,10739000000,329000000,None,18300000000,12660000000,936000000,USD,6296000000,1814000000,49247000000
None,19480000000,19480000000,None,2442000000,11767000000,14209000000,2015-07-31,29681000000,11201000000,2220000000,None,566000000,296000000,None,8981000000,8981000000,None,None,18911000000,10770000000,997000000,USD,6207000000,2040000000,49161000000
None,19373000000,19373000000,None,2432000000,10277000000,12709000000,2014-07-31,27769000000,9715000000,1862000000,None,564000000,None,None,7853000000,7853000000,None,None,18006000000,9345000000,934000000,USD,6294000000,1934000000,47142000000
None,19167000000,19167000000,None,2351000000,11810000000,14161000000,2013-07-31,29440000000,11227000000,1244000000,None,583000000,None,None,9983000000,9983000000,None,None,18244000000,11342000000,614000000,USD,5942000000,2264000000,48607000000
None,17852000000,17852000000,None,2208000000,10755000000,12963000000,2012-07-31,28209000000,10159000000,2118000000,None,596000000,None,None,8041000000,8041000000,None,None,18047000000,10462000000,690000000,USD,5488000000,2322000000,46061000000
None,16682000000,16682000000,None,2486000000,8453000000,10939000000,2011-07-31,26536000000,7825000000,1335000000,None,628000000,None,None,6490000000,6490000000,None,None,18063000000,7674000000,779000000,USD,5823000000,1908000000,43218000000
None,14397000000,14397000000,None,2030000000,10038000000,12068000000,2010-07-31,25643000000,9415000000,1648000000,None,623000000,None,None,7767000000,7767000000,None,None,16479000000,9164000000,874000000,USD,5273000000,1999000000,40040000000
None,13023000000,13023000000,None,1768000000,8039000000,9807000000,2009-07-31,23094000000,7693000000,1559000000,None,346000000,None,None,6134000000,None,None,None,15176000000,7322000000,None,USD,5271000000,1565000000,36117000000
None,14056000000,14056000000,None,1744000000,10541000000,12285000000,2008-07-31,25484000000,10255000000,2203000000,None,319000000,None,None,8052000000,None,None,None,15904000000,9442000000,None,USD,5156000000,2007000000,39540000000
None,12586000000,12586000000,None,1413000000,9838000000,11251000000,2007-07-31,22336000000,9461000000,2128000000,None,377000000,None,None,7333000000,None,None,None,13227000000,8621000000,None,USD,4580000000,1513000000,34922000000
None,9737000000,9737000000,None,1293000000,7781000000,9074000000,2006-07-31,18747000000,7633000000,2053000000,None,148000000,None,None,5580000000,None,None,None,11751000000,6996000000,None,USD,4158000000,1169000000,28484000000
