accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,604000000,6781000000,6781000000,1832000000,1817000000,22079000000,None,4348000000,20684000000,None,2024-12-31,4578000000,None,None,9074000000,None,19589000000,None,47438000000,4368000000,8486000000,None,22094000000,153114000000,USD,205852000000,24541000000,4406000000,4000000,256938000000,40911000000,38558000000,103781000000,216027000000,65223000000,152318000000,None
None,574000000,8178000000,8178000000,1832000000,1880307000,20423000000,None,529000000,19921000000,None,2023-12-31,4722000000,None,None,8612000000,None,19733000000,None,46812000000,4372000000,7655000000,None,24226000000,159041000000,USD,200025000000,20836000000,529000000,45000000,261632000000,41128000000,32258000000,99703000000,220504000000,67445000000,160957000000,None
None,403000000,17678000000,17678000000,1832000000,1940277000,18955000000,None,1964000000,20456000000,None,2022-12-31,4722000000,4722000000,4722000000,8247000000,None,20972000000,None,45238000000,3739000000,7486000000,None,41771000000,147853000000,USD,190024000000,23339000000,1964000000,223000000,257709000000,50343000000,34208000000,97467000000,207366000000,63259000000,159282000000,-48196000000
None,449000000,5640000000,5640000000,1832000000,1920275000,16454000000,None,256000000,18419000000,None,2021-12-31,4385000000,4385000000,4385000000,6795000000,None,30664000000,None,41299000000,3339000000,10081000000,None,51891000000,150629000000,USD,165546000000,31369000000,256000000,35000000,239535000000,33738000000,26791000000,99595000000,195710000000,30664000000,167378000000,-41464000000
None,447000000,5596000000,5596000000,1832000000,1870027000,10950000000,None,1548000000,11471000000,None,2020-12-31,4402000000,4402000000,4402000000,5676000000,None,42320000000,None,39641000000,3304000000,7812000000,None,63095000000,160567000000,USD,160377000000,44315000000,1548000000,31000000,239790000000,26078000000,22183000000,107064000000,213712000000,84881000000,131688000000,-41498000000
None,282000000,5686000000,5686000000,1832000000,1895126000,14103000000,None,3282000000,13325000000,None,2019-12-31,4463000000,4463000000,4463000000,5848000000,None,23691000000,None,40199000000,3407000000,6589000000,None,44136000000,154568000000,USD,174945000000,26973000000,3282000000,63000000,237428000000,28329000000,26530000000,92220000000,209099000000,65690000000,144213000000,-44599000000
-171037000000,145000000,9342000000,9342000000,1832000000,1914107000,13953000000,None,5726000000,15050000000,None,2018-12-31,4518000000,None,None,5704000000,None,28733000000,None,37488000000,2922000000,5864000000,None,48475000000,171070000000,USD,180987000000,34459000000,5726000000,1003000000,253863000000,34021000000,27171000000,98221000000,219842000000,71050000000,154554000000,-41593000000
-166773000000,94000000,4813000000,4813000000,1832000000,1897633000,14565000000,None,5192000000,15353000000,None,2017-12-31,4531000000,4531000000,4531000000,5585000000,None,33477000000,None,35346000000,2800000000,6380000000,None,None,178352000000,USD,174106000000,38763000000,5192000000,9000000,253806000000,28560000000,27737000000,104487000000,225246000000,76750000000,148124000000,-40833000000
-153891000000,93000000,6988000000,6988000000,1832000000,1872789000,13986000000,None,10840000000,14092000000,None,2016-12-31,4581000000,4581000000,4581000000,5419000000,None,35193000000,None,32735000000,3107000000,5909000000,None,None,186305000000,USD,173046000000,46126000000,10840000000,13000000,260078000000,29619000000,31785000000,113356000000,230459000000,81571000000,145556000000,-41834000000
-151881000000,80000000,11022000000,11022000000,1832000000,1874971000,13516000000,None,1486000000,12860000000,None,2015-12-31,4588000000,4588000000,4588000000,6334000000,None,33584000000,None,29522000000,3904000000,5951000000,None,None,189845000000,USD,181578000000,38549000000,4927000000,310000000,264540000000,34430000000,25467000000,110654000000,230110000000,85187000000,152716000000,-42493000000
