comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,136488000000,136488000000,None,17711000000,28100000000,45811000000,2024-12-31,56926000000,27506000000,9757000000,None,594000000,4002000000,None,17661000000,17749000000,-594000000,None,27827000000,29099000000,None,USD,353000000,4834000000,193414000000
None,136522000000,136522000000,None,17762000000,30053000000,47815000000,2023-12-31,60391000000,29584000000,8173000000,None,469000000,4662000000,None,21369000000,21411000000,-469000000,None,26601000000,33790000000,None,USD,320000000,4141000000,196913000000
None,161735000000,161735000000,None,16300000000,50190000000,66490000000,2022-12-31,73982000000,49674000000,14066000000,None,516000000,8069000000,None,35465000000,35608000000,-516000000,None,34327000000,50190000000,None,USD,268000000,33353000000,246252000000
None,110174000000,110174000000,None,17013000000,22351000000,39364000000,2021-12-31,45432000000,21639000000,5950000000,None,712000000,4945000000,None,15625000000,15689000000,-712000000,None,29328000000,16104000000,None,USD,268000000,32268000000,155606000000
None,71656000000,71656000000,None,17192000000,-6756000000,10436000000,2020-12-31,22815000000,-7453000000,-1892000000,None,697000000,1169000000,None,-5543000000,-5561000000,-697000000,None,29757000000,-6942000000,None,USD,435000000,4213000000,94471000000
None,109331000000,109331000000,None,17965000000,6334000000,24299000000,2019-12-31,30534000000,5536000000,2691000000,None,798000000,2860000000,None,2924000000,2845000000,-798000000,None,30434000000,100000000,None,USD,500000000,4143000000,139865000000
None,113997000000,113997000000,None,18717000000,21323000000,40040000000,2018-12-31,44905000000,20575000000,5715000000,None,748000000,5684000000,None,14824000000,14860000000,-748000000,None,30459000000,14446000000,None,USD,453000000,3838000000,158902000000
None,95114000000,95114000000,None,17858000000,9528000000,27386000000,2017-12-31,39560000000,9221000000,-48000000,None,307000000,4015000000,None,9195000000,9269000000,-307000000,None,36432000000,3128000000,None,USD,433000000,4448000000,134674000000
None,78778000000,78778000000,None,16011000000,-1959000000,14052000000,2016-12-31,31437000000,-2160000000,-1729000000,None,201000000,2160000000,None,-497000000,-431000000,-201000000,None,36908000000,-5471000000,None,USD,476000000,4684000000,110215000000
None,90788000000,90788000000,None,23346000000,-3710000000,19636000000,2015-12-31,39137000000,4842000000,132000000,None,0,4988000000,None,4587000000,4710000000,None,None,42847000000,-3710000000,None,USD,601000000,4443000000,129925000000
None,136464000000,136464000000,None,17668000000,19726000000,37394000000,2014-12-31,64030000000,31202000000,11892000000,None,0,None,None,19241000000,19310000000,None,None,44304000000,19726000000,None,USD,707000000,4494000000,200494000000
None,148882000000,148882000000,None,14869000000,27213000000,42082000000,2013-12-31,71274000000,35905000000,14308000000,None,0,None,None,21423000000,21597000000,None,None,44061000000,27213000000,None,USD,750000000,4510000000,220156000000
None,154179000000,154179000000,None,13968000000,35013000000,48981000000,2012-12-31,76411000000,46332000000,19996000000,None,0,None,None,26179000000,26336000000,None,None,41398000000,35013000000,None,USD,648000000,4724000000,230590000000
None,162834000000,162834000000,None,13288000000,38299000000,51587000000,2011-12-31,81537000000,47634000000,20626000000,None,0,None,None,26895000000,27008000000,None,None,43238000000,38299000000,None,USD,627000000,4745000000,244371000000
None,129530000000,129530000000,None,13559000000,32105000000,45664000000,2010-12-31,68668000000,32055000000,12919000000,None,50000000,None,None,19024000000,19136000000,None,None,43293000000,25375000000,None,USD,526000000,4767000000,198198000000
None,125619000000,125619000000,None,12110000000,18556000000,30666000000,2009-12-31,42701000000,18528000000,7965000000,None,28000000,None,None,10483000000,10563000000,None,None,35570000000,7131000000,None,USD,603000000,4527000000,168320000000
None,192192000000,192192000000,None,9528000000,43057000000,52585000000,2008-12-31,75447000000,43057000000,19026000000,None,166000000,None,None,23931000000,None,None,None,37756000000,37691000000,None,USD,835000000,5756000000,267639000000
None,151564000000,151564000000,None,8708000000,32440000000,41148000000,2007-12-31,69340000000,32167000000,13479000000,None,166000000,None,None,18688000000,None,None,None,36900000000,32440000000,None,USD,562000000,5926000000,220904000000
None,144139000000,144139000000,None,7506000000,32497000000,40003000000,2006-12-31,65979000000,31976000000,14838000000,None,0,None,None,17138000000,None,None,None,33482000000,32497000000,None,USD,468000000,5093000000,210118000000
None,140902000000,140902000000,None,5913000000,34494000000,40407000000,2005-12-31,57298000000,25197000000,11098000000,None,0,None,None,14099000000,None,None,None,22804000000,34494000000,None,USD,316000000,4828000000,198200000000
