accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,14578000000,23466000000,23466000000,84800000000,12447000000,7987000000,None,None,52340000000,None,2024-12-31,31885000000,None,None,None,None,10883000000,None,37982000000,15714000000,64430000000,None,4694000000,None,USD,245084000000,25461000000,2887000000,72191000000,450256000000,163711000000,89122000000,125172000000,286545000000,36050000000,325084000000,None
None,16634000000,24048000000,24048000000,76534000000,12722000000,7493000000,None,None,47964000000,None,2023-12-31,29198000000,None,None,None,None,11870000000,None,31008000000,12650000000,64645000000,None,1616000000,148436000000,USD,211247000000,27121000000,2791000000,86868000000,402392000000,171530000000,81814000000,119013000000,230862000000,37199000000,283379000000,None
None,16822000000,21879000000,21879000000,68184000000,13159000000,5128000000,None,None,40258000000,None,2022-12-31,28960000000,2084000000,2084000000,2670000000,None,12857000000,None,30492000000,8105000000,48529000000,None,24605000000,112668000000,USD,195563000000,29679000000,2477000000,91883000000,365264000000,164795000000,69300000000,109120000000,200469000000,39820000000,256144000000,None
None,11389000000,20945000000,20945000000,61774000000,13553480000,6037000000,None,None,39304000000,None,2021-12-31,22956000000,1417000000,1417000000,1170000000,None,14817000000,None,29549000000,8020000000,51932000000,None,23305000000,97599000000,USD,191484000000,28395000000,2189000000,118704000000,359268000000,188143000000,64254000000,107633000000,171125000000,43379000000,251635000000,None
None,11146000000,26465000000,26465000000,58510000000,13740560000,5589000000,None,None,31384000000,None,2020-12-31,21175000000,1445000000,1445000000,728000000,None,13932000000,None,20703000000,5490000000,45523000000,None,22745000000,84749000000,USD,163401000000,26772000000,1694000000,110229000000,319616000000,174296000000,56834000000,97072000000,145320000000,40238000000,222544000000,None
None,12009000000,18498000000,18498000000,50552000000,13971120000,5561000000,None,None,27492000000,None,2019-12-31,20624000000,1979000000,1979000000,999000000,None,3958000000,None,13078000000,4412000000,36279000000,None,22991000000,84587000000,USD,152122000000,15967000000,1199000000,101177000000,275909000000,152578000000,45221000000,74467000000,123331000000,29246000000,201442000000,None
None,62000000,16701000000,16701000000,45049000000,14066813595,4378000000,None,None,21193000000,None,2018-12-31,17888000000,2220000000,2220000000,1107000000,None,3950000000,None,13859000000,4236000000,28389000000,None,15268000000,59719000000,USD,134885000000,4081000000,69000000,92439000000,232792000000,135676000000,34620000000,55164000000,97116000000,20544000000,177628000000,None
None,26000000,10715000000,10715000000,40247000000,14068883261,3137000000,None,3969000000,18705000000,None,2017-12-31,16747000000,2692000000,2692000000,749000000,None,3943000000,None,7813000000,2983000000,2874000000,None,15871000000,42383000000,USD,113247000000,20709000000,16740000000,91156000000,197295000000,124308000000,24183000000,44793000000,72987000000,20610000000,152502000000,0
None,0,12918000000,12918000000,36307000000,13987786146,2041000000,None,3935000000,14232000000,None,2016-12-31,16468000000,3307000000,3307000000,268000000,None,3935000000,None,5878000000,4575000000,13062000000,None,7342000000,34234000000,USD,105131000000,4489000000,554000000,73415000000,167497000000,105408000000,16756000000,28461000000,62089000000,11705000000,139036000000,0
None,None,16549000000,16549000000,32982000000,13858138064,1931000000,None,1000000000,13909000000,None,2015-12-31,15869000000,3847000000,3847000000,491000000,None,1995000000,None,5183000000,2648000000,12839000000,None,5485000000,29016000000,USD,89223000000,5220000000,3450000000,56517000000,147461000000,90114000000,19310000000,27130000000,57347000000,7820000000,120331000000,0
None,None,18347000000,18347000000,28767000000,13741394503,1715000000,None,8015000000,10849000000,None,2014-12-31,15599000000,4607000000,4607000000,1322000000,None,3228000000,None,3079000000,3852000000,12206000000,None,None,23883000000,USD,75706000000,5237000000,2010000000,46048000000,131133000000,80685000000,16805000000,26633000000,50448000000,9828000000,104500000000,None
None,None,18898000000,18898000000,25922000000,13552354579,2453000000,None,None,9390000000,None,2013-12-31,11492000000,6066000000,6066000000,426000000,None,2236000000,None,None,5623000000,9360000000,None,None,16524000000,USD,61262000000,5245000000,3009000000,39819000000,110920000000,72886000000,15908000000,23611000000,38034000000,7703000000,87309000000,None
None,None,14778000000,14778000000,22835000000,13292194683,2012000000,None,None,8585000000,None,2012-12-31,10537000000,7473000000,7473000000,505000000,None,2988000000,None,None,4205000000,8690000000,None,None,11854000000,USD,48342000000,5537000000,2549000000,33310000000,93798000000,60454000000,14337000000,22083000000,33344000000,7746000000,71715000000,None
None,None,9983000000,9983000000,20264000000,13088554764,588000000,None,None,6172000000,None,2011-12-31,7346000000,1578000000,1578000000,215000000,None,2986000000,None,None,1745000000,6363000000,None,None,9603000000,USD,37605000000,4204000000,1218000000,34643000000,72574000000,52758000000,8913000000,14429000000,19816000000,5516000000,58145000000,None
None,None,13630000000,13630000000,18235000000,12930034827,483000000,None,None,5002000000,None,2010-12-31,6256000000,1044000000,1044000000,259000000,None,None,None,None,1326000000,5617000000,None,None,7759000000,USD,27868000000,3465000000,3465000000,21345000000,57851000000,41562000000,9996000000,11610000000,16289000000,1614000000,46241000000,None
None,None,10197588000,10197588000,318000,12776634889,215867000,None,None,3201000000,None,2009-12-31,4902565000,774938000,774938000,644406000,None,None,None,None,836777000,2246520000,None,None,4844610000,USD,20082078000,None,None,14287187000,40496778000,29166958000,2747467000,4492554000,11329820000,1745087000,36004224000,None
None,None,8656672000,8656672000,315000,12700554919,178004000,None,None,2642192000,None,2008-12-31,4839854000,996690000,996690000,286105000,None,None,None,None,1404114000,1824453000,None,None,5233843000,USD,13561630000,None,1824453000,7189099000,31767575000,20178182000,2302090000,3528713000,11589393000,1226623000,28238862000,None
None,None,6081593000,6081593000,313000,12648394940,282106000,None,None,2307774000,None,2007-12-31,2299368000,446596000,446596000,None,None,None,None,None,762751000,1575423000,None,None,4039261000,USD,9334772000,None,None,8137020000,25335806000,17289138000,2035602000,2646127000,8046668000,610525000,22689679000,None
None,None,3544671000,3544671000,309000,12381915047,211169000,None,None,1322340000,None,2006-12-31,1545119000,346841000,346841000,None,None,None,None,None,473593000,988282000,None,None,2395239000,USD,5133314000,None,987907000,7699243000,18473351000,13039847000,1304587000,1433511000,5433504000,128924000,17039840000,None
None,None,3877174000,3877174000,293000,11674955330,115575000,None,None,687976000,None,2005-12-31,195000000,277683000,277683000,None,None,None,None,None,278848000,556710000,None,None,961749000,USD,2055868000,None,528936000,4157073000,10271813000,9001071000,745384000,852856000,1270742000,107472000,9418957000,None
