capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
52535000000,-79733000000,-45536000000,None,None,None,None,None,None,15311000000,7363000000,7363000000,None,2024-12-31,100118000000,125299000000,None,None,None,None,None,None,None,None,None,-62222000000,None,None,USD
32251000000,-72093000000,-27063000000,None,None,2276000000,None,None,None,11946000000,0,0,None,2023-12-31,73795000000,101746000000,None,None,None,None,None,None,None,None,None,-61504000000,None,None,USD
31485000000,-69757000000,-20298000000,1440000000,None,None,None,None,-2317000000,15928000000,0,0,None,2022-12-31,59972000000,91495000000,None,None,None,None,None,None,None,None,None,-59296000000,None,None,USD
24640000000,-61362000000,-35523000000,-5233000000,None,7140000000,None,None,-9095000000,12441000000,None,None,None,2021-12-31,76033000000,91652000000,None,None,None,None,None,None,None,None,None,-50274000000,None,None,USD
22281000000,-24408000000,-32773000000,7943000000,None,5813000000,None,None,-6524000000,13697000000,None,None,None,2020-12-31,40269000000,65124000000,None,None,None,None,None,None,None,None,None,-31149000000,None,None,USD
23548000000,-23209000000,-29491000000,1820000000,None,7822000000,None,None,-4340000000,11781000000,None,None,None,2019-12-31,34343000000,54520000000,None,None,None,None,None,None,None,None,None,-18396000000,None,None,USD
25139000000,-13179000000,-28504000000,5986000000,-302000000,7890000000,None,None,-2169000000,9035000000,None,None,None,2018-12-31,30736000000,47971000000,None,None,None,None,None,None,None,None,None,-9075000000,None,None,USD
13184000000,-8298000000,-31401000000,-2203000000,405000000,3682000000,None,None,-3768000000,6915000000,0,0,None,2017-12-31,12662000000,37091000000,None,None,None,None,None,None,None,None,None,-4846000000,None,None,USD
10212000000,-8332000000,-31165000000,-3631000000,-170000000,2420000000,None,None,-2578000000,6144000000,0,0,None,2016-12-31,19478000000,36036000000,None,None,None,None,None,None,None,None,None,-3693000000,None,None,USD
9915000000,-3677000000,-23711000000,-1798000000,-434000000,1618000000,None,None,-2094000000,5063000000,0,0,None,2015-12-31,16348000000,26024000000,None,None,None,None,None,None,None,None,None,-1780000000,None,None,USD
10959000000,-1439000000,-21055000000,None,None,1461000000,None,None,None,4979000000,0,0,None,2014-12-31,14444000000,22376000000,None,None,None,None,None,None,None,None,None,-2069000000,None,None,USD
7358000000,-857000000,-13679000000,None,None,-234000000,None,None,None,3939000000,None,None,None,2013-12-31,12920000000,18659000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
3273000000,1229000000,-13056000000,None,None,301000000,None,None,None,2962000000,None,None,None,2012-12-31,10737000000,16619000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
3438000000,807000000,-19041000000,None,None,792000000,None,None,None,1851000000,None,None,None,2011-12-31,9737000000,14565000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
4018000000,3050000000,-10680000000,None,None,545000000,None,None,None,1396000000,None,None,None,2010-12-31,8505000000,11081000000,None,None,None,None,None,None,None,None,None,-801000000,None,None,USD
809888000,233412000,-8019205000,None,None,662842000,None,None,None,1524308000,None,None,None,2009-12-31,6520448000,9316198000,None,None,None,None,None,None,None,None,None,None,None,None,USD
2358461000,87567000,-5319422000,None,None,205775000,None,None,None,1499887000,None,None,None,2008-12-31,4226858000,7852857000,None,None,None,None,None,None,None,None,None,-71521000,None,None,USD
2402840000,403067000,-3681589000,None,None,270526000,None,None,None,967658000,None,None,None,2007-12-31,4203720000,5775410000,None,None,None,None,None,None,None,None,None,None,None,None,USD
1902798000,2966398000,-6899150000,None,None,None,None,None,None,571939000,None,None,None,2006-12-31,3077446000,3580508000,None,None,None,None,None,None,None,None,None,2064000000,None,None,USD
838217000,4370830000,-3358193000,None,None,None,None,None,None,293812000,None,None,None,2005-12-31,1465397000,2459422000,None,None,None,None,None,None,None,None,None,4287000000,None,None,USD
