comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,146306000000,146306000000,None,15311000000,120083000000,135394000000,2024-12-31,203712000000,119815000000,19697000000,None,268000000,4482000000,None,100118000000,100118000000,4214000000,None,91322000000,112390000000,None,USD,49326000000,14188000000,350018000000
None,133332000000,133332000000,None,11946000000,86025000000,97971000000,2023-12-31,174062000000,85717000000,11922000000,None,308000000,3414000000,None,73795000000,66732000000,3085000000,None,89769000000,84293000000,None,USD,45427000000,16425000000,307394000000
None,126203000000,126203000000,None,13475000000,71685000000,85160000000,2022-12-31,156633000000,71328000000,11356000000,None,357000000,2174000000,None,59972000000,59972000000,1817000000,None,81791000000,74842000000,-3514000000,USD,39500000000,15724000000,282836000000
None,110939000000,110939000000,None,12441000000,91080000000,103521000000,2021-12-31,146698000000,90734000000,14701000000,None,346000000,1499000000,None,76033000000,76033000000,1153000000,None,67984000000,78714000000,12020000000,USD,31562000000,13510000000,257637000000
None,84732000000,84732000000,None,13697000000,48217000000,61914000000,2020-12-31,97795000000,48082000000,7813000000,None,135000000,1865000000,None,40269000000,40269000000,1730000000,None,56571000000,41224000000,6858000000,USD,27573000000,11052000000,182527000000
None,71896000000,71896000000,None,11781000000,39725000000,51506000000,2019-12-31,89961000000,39625000000,5282000000,None,100000000,2427000000,None,34343000000,34343000000,2327000000,None,55730000000,34231000000,5394000000,USD,26018000000,9551000000,161857000000
None,59549000000,59549000000,None,9035000000,35027000000,44062000000,2018-12-31,77270000000,34913000000,4177000000,None,114000000,1878000000,None,30736000000,30736000000,1764000000,None,49746000000,27524000000,8592000000,USD,21419000000,6923000000,136819000000
None,45583000000,45583000000,None,6915000000,27302000000,34217000000,2017-12-31,65272000000,27193000000,14531000000,None,109000000,1312000000,None,12662000000,12662000000,1203000000,None,39094000000,26178000000,1047000000,USD,16625000000,6840000000,110855000000
None,35138000000,35138000000,None,6144000000,24274000000,30418000000,2016-12-31,55134000000,24150000000,4672000000,None,124000000,1220000000,None,19478000000,19478000000,1096000000,None,31418000000,23716000000,434000000,USD,13948000000,6985000000,90272000000
None,28164000000,28164000000,None,5063000000,19755000000,24818000000,2015-12-31,46825000000,19651000000,3303000000,None,104000000,35000000,None,16348000000,16348000000,None,None,27465000000,19360000000,291000000,USD,12282000000,6136000000,74989000000
None,25691000000,25691000000,None,4979000000,17360000000,22339000000,2014-12-31,40310000000,17259000000,3639000000,None,101000000,None,None,14136000000,13620000000,None,None,23814000000,16496000000,None,USD,9832000000,5851000000,66001000000
None,21993000000,21993000000,None,3939000000,15980000000,19919000000,2013-12-31,33526000000,15899000000,2739000000,None,81000000,None,None,12733000000,None,None,None,18123000000,15403000000,None,USD,7137000000,4432000000,55519000000
None,17176000000,17176000000,None,2962000000,14554000000,17516000000,2012-12-31,28863000000,14469000000,2916000000,None,85000000,None,None,10737000000,None,None,None,15029000000,13834000000,None,USD,6083000000,3481000000,46039000000
None,13188000000,13188000000,None,1851000000,12384000000,14235000000,2011-12-31,24717000000,12326000000,2589000000,None,58000000,None,None,9737000000,None,None,None,12975000000,11742000000,None,USD,5162000000,2724000000,37905000000
None,10417000000,10417000000,None,1396000000,10801000000,12197000000,2010-12-31,18904000000,10796000000,2291000000,None,5000000,None,None,8505000000,None,None,None,8523000000,10381000000,None,USD,3762000000,1962000000,29321000000
None,8844000000,8844000000,None,1524000000,8381000000,9905000000,2009-12-31,14807000000,8381000000,1861000000,None,229673000,None,None,6520000000,None,None,None,6495000000,8312000000,None,USD,2843000000,1668000000,23651000000
None,8622000000,8622000000,None,1500000000,6632000000,8132000000,2008-12-31,13174000000,5853000000,1626000000,None,389533000,None,None,4227000000,None,None,None,6542000000,6632000000,None,USD,2793000000,1803000000,21796000000
None,6649085000,6649085000,None,967658000,5084400000,6052058000,2007-12-31,9944901000,5673980000,1470260000,None,1203000,None,None,4203720000,None,None,None,4860501000,5084400000,None,USD,2119985000,1279250000,16593986000
None,4225027000,4225027000,None,571939000,3549996000,4121935000,2006-12-31,6379890000,4011040000,933594000,None,0,None,None,3077446000,None,None,None,2829894000,3549996000,None,USD,1228589000,751787000,10604917000
None,2577088000,2577088000,None,293812000,2142453000,2436265000,2005-12-31,3561472000,2141677000,676280000,None,776000,None,None,1465397000,None,None,None,1544194000,2017278000,None,USD,599510000,386532000,6138560000
