accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,8907000000,1659000000,1659000000,90000000,993000000,11938000000,None,4898000000,4903000000,None,2025-01-31,19475000000,8983000000,8983000000,23451000000,None,48485000000,None,None,1670000000,6481000000,None,2738000000,35294000000,USD,89533000000,62290000000,6172000000,None,96119000000,31683000000,28661000000,89479000000,64436000000,60818000000,6640000000,None
None,8132000000,3760000000,3760000000,90000000,1002000000,10037000000,None,1368000000,3328000000,None,2024-01-31,8455000000,3606000000,3606000000,20976000000,None,42743000000,None,None,1711000000,6321000000,None,2127000000,34038000000,USD,83656000000,52243000000,2418000000,None,76530000000,29775000000,22015000000,75486000000,46755000000,53471000000,1044000000,None
None,7171000000,2757000000,2757000000,90000000,1025000000,11443000000,None,1231000000,3317000000,None,2023-01-31,7444000000,3323000000,3323000000,24886000000,None,41962000000,None,None,1511000000,5849000000,None,3585000000,32572000000,USD,76896000000,50364000000,2176000000,None,76445000000,32471000000,23110000000,74883000000,43974000000,51773000000,1562000000,-87298000000
None,6183000000,2343000000,2343000000,90000000,1058000000,13462000000,None,3482000000,3426000000,None,2022-01-31,7449000000,3503000000,3503000000,22068000000,None,36604000000,None,None,1218000000,6317000000,None,2922000000,31167000000,USD,67580000000,46269000000,4312000000,None,71876000000,29055000000,28693000000,73572000000,42821000000,44879000000,-1696000000,-80794000000
None,6184000000,7895000000,7895000000,89000000,1078000000,11606000000,None,1416000000,2992000000,None,2021-01-31,7126000000,3612000000,3612000000,16627000000,None,35822000000,None,None,963000000,5526000000,None,2938000000,30667000000,USD,58134000000,43422000000,2244000000,None,70581000000,28477000000,23166000000,67282000000,42104000000,44116000000,3299000000,-65793000000
None,5894000000,2133000000,2133000000,89000000,1097000000,7787000000,None,2813000000,2106000000,None,2020-01-31,2254000000,None,None,14531000000,None,28670000000,None,None,1040000000,4171000000,None,6601000000,28365000000,USD,51729000000,37377000000,3641000000,None,51236000000,19810000000,18375000000,54352000000,31426000000,35977000000,-3116000000,-65196000000
None,None,1778000000,1778000000,89000000,1143000000,7755000000,None,2395000000,1936000000,None,2019-01-31,2252000000,None,None,13925000000,None,26807000000,None,None,890000000,4117000000,None,1867000000,22375000000,USD,46423000000,29202000000,2395000000,None,44003000000,18529000000,16716000000,45881000000,25474000000,29165000000,-1878000000,-58196000000
None,None,3595000000,3595000000,89000000,1184000000,7244000000,None,2761000000,1952000000,None,2018-01-31,2275000000,563000000,563000000,12748000000,None,24267000000,None,None,638000000,3810000000,None,2174000000,22075000000,USD,39935000000,27028000000,2761000000,0,44529000000,18933000000,16194000000,43075000000,25596000000,26881000000,1454000000,-48196000000
-18512000000,None,2538000000,2538000000,88000000,1234000000,7000000000,None,1252000000,2029000000,None,2017-01-31,2093000000,2093000000,2093000000,12549000000,None,22349000000,None,None,608000000,3679000000,None,1855000000,21914000000,USD,35519000000,23601000000,1252000000,0,42966000000,17724000000,14133000000,38633000000,25242000000,24500000000,4333000000,-40194000000
-17075000000,None,2216000000,2216000000,88000000,1283000000,6565000000,None,77000000,1890000000,None,2016-01-31,2102000000,2102000000,2102000000,11809000000,None,20789000000,None,None,1078000000,3968000000,None,1965000000,22191000000,USD,30973000000,24290000000,3402000000,0,42549000000,16993000000,15501000000,36233000000,25556000000,20732000000,6316000000,-33194000000
-15793000000,None,1723000000,1723000000,88000000,1346000000,5807000000,None,38000000,1484000000,None,2015-01-31,1353000000,1353000000,1353000000,11079000000,None,16869000000,None,None,1016000000,3197000000,None,1844000000,22720000000,USD,26995000000,17197000000,328000000,0,39946000000,15302000000,11269000000,30624000000,24644000000,19355000000,9322000000,-26194000000
None,None,1929000000,1929000000,88000000,1434000000,5797000000,None,None,1398000000,None,2014-01-31,1289000000,1289000000,1289000000,11057000000,None,14691000000,None,None,895000000,3174000000,None,None,23348000000,USD,23180000000,14724000000,33000000,0,40518000000,15279000000,10749000000,27996000000,25239000000,17247000000,12522000000,-19194000000
-14422000000,None,2494000000,2494000000,88000000,1511000000,5376000000,None,None,1395000000,None,2013-01-31,1170000000,1170000000,1170000000,10710000000,None,9475000000,None,None,773000000,3001000000,None,2051000000,24069000000,USD,20038000000,10796000000,1321000000,459000000,41084000000,15372000000,11462000000,23307000000,25712000000,11845000000,17777000000,-10694000000
