capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
3485000000,-694000000,-21031000000,None,None,-743000000,None,None,None,3761000000,8929000000,8929000000,None,2025-01-31,14806000000,19810000000,None,None,None,None,None,None,None,None,None,-649000000,None,None,USD
3226000000,-15443000000,-4729000000,None,None,4137000000,None,None,None,3247000000,8383000000,8383000000,None,2024-01-31,15143000000,21172000000,None,None,None,None,None,None,None,None,None,-7951000000,None,None,USD
3119000000,-10993000000,-3140000000,482000000,None,-2830000000,None,None,111000000,2975000000,7789000000,7789000000,None,2023-01-31,17105000000,14615000000,None,None,None,None,None,None,None,None,None,-6696000000,None,None,USD
2566000000,-19120000000,-2969000000,-5518000000,None,-5403000000,None,None,-435000000,2862000000,6985000000,6985000000,None,2022-01-31,16433000000,16571000000,None,None,None,None,None,None,None,None,None,-14809000000,None,None,USD
2463000000,-2983000000,-10170000000,None,None,-1657000000,None,None,None,2519000000,6451000000,6451000000,None,2021-01-31,12866000000,18839000000,None,None,None,None,None,None,None,None,None,-791000000,None,None,USD
2678000000,-10834000000,-2653000000,355000000,119000000,-593000000,None,None,-170000000,2296000000,5958000000,5958000000,None,2020-01-31,11242000000,13723000000,None,None,None,None,None,None,None,None,None,-6965000000,None,None,USD
2442000000,-12547000000,-2416000000,-1817000000,-19000000,-1244000000,None,None,33000000,2152000000,4704000000,4704000000,None,2019-01-31,11121000000,13165000000,None,None,None,None,None,None,None,None,None,-9963000000,None,None,USD
1897000000,-8870000000,-2228000000,933000000,124000000,-84000000,None,None,139000000,2062000000,4212000000,4212000000,None,2018-01-31,8630000000,12031000000,None,None,None,None,None,None,None,None,None,-8000000000,None,None,USD
1621000000,-7870000000,-1583000000,330000000,-8000000,-769000000,None,None,-138000000,1973000000,3404000000,3404000000,None,2017-01-31,7957000000,9783000000,None,None,None,None,None,None,None,None,None,-6880000000,None,None,USD
1503000000,-5787000000,-2982000000,604000000,-111000000,-546000000,None,None,-181000000,1863000000,3031000000,3031000000,None,2016-01-31,7009000000,9373000000,None,None,None,None,None,None,None,None,None,-7000000000,None,None,USD
1442000000,-7071000000,-1271000000,-100000000,-106000000,-124000000,None,None,-81000000,1786000000,2530000000,2530000000,None,2015-01-31,6345000000,8242000000,None,None,None,None,None,None,None,None,None,-7000000000,None,None,USD
1389000000,-6652000000,-1507000000,-531000000,-34000000,-455000000,None,None,-15000000,1757000000,2243000000,2243000000,None,2014-01-31,5385000000,7628000000,None,None,None,None,None,None,None,None,None,-8546000000,None,None,USD
1312000000,-5034000000,-1432000000,509000000,-2000000,-350000000,None,None,-143000000,1684000000,1743000000,1743000000,None,2013-01-31,4535000000,6975000000,None,None,None,None,None,None,None,None,None,-3984000000,None,None,USD
1221000000,-4048000000,-1129000000,1474000000,-32000000,256000000,None,None,-170000000,1682000000,1632000000,1632000000,None,2012-01-31,3883000000,6651000000,None,None,None,None,None,None,None,None,None,-3470000000,None,None,USD
1096000000,-4451000000,-1012000000,-878000000,2000000,-355000000,None,None,-102000000,1718000000,1569000000,1569000000,None,2011-01-31,3338000000,4585000000,None,None,None,None,None,None,None,None,None,-2608000000,None,None,USD
966000000,-3503000000,-755000000,867000000,35000000,625000000,None,None,-23000000,1806000000,1525000000,1525000000,None,2010-01-31,2661000000,5125000000,None,None,None,None,None,None,None,None,None,-213000000,None,None,USD
1847000000,-3680000000,-1729000000,None,None,743000000,None,None,None,1902000000,1521000000,1521000000,None,2009-01-31,2260000000,5528000000,None,None,None,None,None,None,None,None,None,-70000000,None,None,USD
3558000000,-10639000000,4758000000,None,None,-491000000,None,None,None,1906000000,1709000000,1709000000,None,2008-01-31,4395000000,5727000000,None,None,None,None,None,None,None,None,None,-10815000000,None,None,USD
3542000000,-203000000,-7647000000,None,None,-563000000,None,None,None,1886000000,1395000000,1395000000,None,2007-01-31,5761000000,7660000000,None,None,None,None,None,None,None,None,None,-6684000000,None,None,USD
3881000000,-1748000000,-4586000000,None,None,-971000000,None,None,None,1579000000,857000000,857000000,None,2006-01-31,5838000000,6620000000,None,None,None,None,None,None,None,None,None,-3040000000,None,None,USD
