comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,106206000000,106206000000,None,3761000000,21674000000,25435000000,2025-01-31,53308000000,19406000000,4600000000,None,2321000000,201000000,None,14806000000,14806000000,-2120000000,None,31782000000,21526000000,None,USD,None,27548000000,159514000000
None,101709000000,101709000000,None,3247000000,21867000000,25114000000,2024-01-31,50960000000,19924000000,4781000000,None,1943000000,178000000,None,15143000000,15143000000,-1765000000,None,29271000000,21689000000,None,USD,None,25498000000,152669000000
None,104625000000,104625000000,None,2975000000,24094000000,27069000000,2023-01-31,52778000000,22477000000,5372000000,None,1617000000,55000000,None,17105000000,17105000000,-1562000000,None,28739000000,24039000000,55000000,USD,None,25199000000,157403000000
None,100325000000,100325000000,None,2862000000,23084000000,25946000000,2022-01-31,50832000000,21737000000,5304000000,None,1347000000,44000000,None,16433000000,16433000000,-1303000000,None,27792000000,23040000000,44000000,USD,None,24362000000,151157000000
None,87257000000,87257000000,None,2519000000,18325000000,20844000000,2021-01-31,44853000000,16978000000,4112000000,None,1347000000,47000000,None,12866000000,12866000000,-1300000000,None,26575000000,18278000000,None,USD,None,23538000000,132110000000
None,72653000000,72653000000,None,2296000000,15916000000,18212000000,2020-01-31,37572000000,14715000000,3473000000,None,1201000000,73000000,None,11242000000,11242000000,-1128000000,None,21729000000,15843000000,73000000,USD,None,18836000000,110225000000
None,71043000000,71043000000,None,2152000000,15777000000,17929000000,2019-01-31,37160000000,14556000000,3435000000,None,1051000000,93000000,None,11121000000,11121000000,-958000000,None,21630000000,15530000000,77000000,USD,0,18592000000,108203000000
None,66548000000,66548000000,None,2062000000,14755000000,16817000000,2018-01-31,34356000000,13698000000,5068000000,None,1057000000,74000000,None,8630000000,8630000000,-983000000,None,19675000000,14681000000,74000000,USD,0,17067000000,100904000000
None,62282000000,62282000000,None,1973000000,13463000000,15436000000,2017-01-31,32313000000,12491000000,4534000000,None,972000000,36000000,None,7957000000,7957000000,-936000000,None,18886000000,13427000000,36000000,USD,0,16343000000,94595000000
None,58254000000,58254000000,None,1863000000,11940000000,13803000000,2016-01-31,30265000000,11021000000,4012000000,None,919000000,753000000,None,7009000000,7009000000,None,None,18491000000,11774000000,166000000,USD,0,16062000000,88519000000
None,54787000000,54787000000,None,1786000000,10806000000,12592000000,2015-01-31,28389000000,9976000000,3631000000,None,830000000,None,None,6345000000,6345000000,None,None,17920000000,10469000000,337000000,USD,0,16280000000,83176000000
None,51897000000,51897000000,None,1757000000,9178000000,10935000000,2014-01-31,26915000000,8467000000,3082000000,None,711000000,None,None,5385000000,5385000000,None,None,17749000000,9166000000,12000000,USD,0,15371000000,78812000000
None,48912000000,48912000000,None,1684000000,7853000000,9537000000,2013-01-31,25842000000,7221000000,2686000000,None,632000000,None,None,4535000000,4535000000,None,None,18076000000,7766000000,87000000,USD,0,16508000000,74754000000
None,46133000000,46133000000,None,1682000000,6674000000,8356000000,2012-01-31,24262000000,6068000000,2185000000,None,606000000,None,None,3883000000,3883000000,None,None,17601000000,6661000000,13000000,USD,0,16028000000,70395000000
None,44693000000,44693000000,None,1718000000,5803000000,7521000000,2011-01-31,23304000000,5273000000,1935000000,None,530000000,None,None,3338000000,3338000000,None,None,17465000000,5839000000,-36000000,USD,0,15849000000,67997000000
None,43764000000,43764000000,None,1806000000,4658000000,6464000000,2010-01-31,22412000000,3982000000,1362000000,None,676000000,None,None,2661000000,2620000000,None,None,17609000000,4803000000,-145000000,USD,0,15902000000,66176000000
None,47298000000,47298000000,None,1902000000,4214000000,6116000000,2009-01-31,23990000000,3590000000,1278000000,None,624000000,None,None,2260000000,None,None,None,19631000000,4359000000,None,USD,None,17846000000,71288000000
None,51352000000,51352000000,None,1906000000,7316000000,9222000000,2008-01-31,25997000000,6620000000,2410000000,None,696000000,None,None,4395000000,None,None,None,18755000000,7242000000,None,USD,None,17053000000,77349000000
None,54050000000,54050000000,None,1886000000,8893000000,10779000000,2007-01-31,24972000000,8502000000,3236000000,None,365000000,None,None,5761000000,None,None,None,16106000000,8866000000,None,USD,None,18348000000,79022000000
None,51081000000,51081000000,None,1579000000,9425000000,11004000000,2006-01-31,25938000000,9282000000,3444000000,None,81000000,None,None,5838000000,None,None,None,17957000000,9363000000,None,USD,None,16485000000,81511000000
