accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,284515000000,284515000000,8973000000,3697000000,None,None,None,None,None,2024-12-31,4118000000,8266000000,8266000000,None,None,None,None,1226194000000,13781000000,1816978000000,None,None,None,USD,152402000000,242347000000,329598000000,None,3017048000000,298296000000,1818707000000,2824775000000,2718752000000,1006068000000,184973000000,None
None,None,299569000000,299569000000,9631000000,3920000000,35718000000,None,None,None,None,2023-12-31,4323000000,8164000000,8164000000,None,None,None,None,1100826000000,20196000000,1466091000000,None,None,None,USD,152148000000,426690000000,310135000000,1119000000,3038677000000,319765000000,1779003000000,2846067000000,3832473000000,235159000000,185329000000,None
None,None,334299000000,334299000000,10147000000,3997200000,24907000000,None,None,1230000000,None,2022-12-31,4156000000,7263000000,7263000000,None,None,None,None,1015022000000,10279000000,11218000000,None,None,12584000000,USD,142409000000,204239000000,250629000000,15752000000,2966530000000,350051000000,12353000000,2770502000000,1048927000000,2770502000000,177833000000,None
None,None,422437000000,422437000000,10316000000,4060400000,19742000000,None,None,970000000,None,2021-12-31,5033000000,15589000000,15589000000,None,None,None,None,940930000000,8233000000,-257706000000,None,None,13240000000,USD,144458000000,395444000000,267474000000,-30481000000,2957939000000,422437000000,10466000000,2751162000000,1017370000000,2757474000000,198250000000,None
None,None,308575000000,308575000000,10347000000,4048400000,17351000000,None,None,10278000000,None,2020-12-31,5881000000,14562000000,14562000000,-617946000000,None,None,None,1112612000000,8114000000,-254935000000,None,None,14414000000,USD,140572000000,378872000000,264651000000,244618000000,2984164000000,339004000000,10406000000,2779169000000,1147469000000,2779169000000,196443000000,None
None,None,159055000000,159055000000,10319000000,4046600000,19173000000,None,227296000000,136680000000,None,2019-12-31,5590000000,14573000000,14573000000,-486583000000,None,272852000000,None,976511000000,486583000000,-319039000000,None,None,14702000000,USD,136679000000,572718000000,299866000000,254521000000,2715152000000,295735000000,118156000000,129155000000,1081924000000,129155000000,183955000000,None
None,None,168630000000,168630000000,10180000000,3996600000,1437977000000,None,219180000000,110571000000,None,2018-12-31,12986000000,11371000000,11371000000,None,None,234132000000,None,885168000000,1437818000000,167420000000,None,None,10060000000,USD,138191000000,453312000000,219180000000,-31738000000,2558124000000,200721000000,97380,2363875000000,955444000000,2363875000000,186253000000,None
None,None,187252000000,187252000000,10160000000,4014400000,1424719000000,None,129002000000,67191000000,None,2017-12-31,13588000000,9865000000,9865000000,781000000,None,214755000000,None,885372000000,1384860000000,122828000000,None,None,10027000000,USD,139999000000,343757000000,129002000000,13128000000,2521771000000,180624000000,45907000000,2323900000000,23453000000,2277993000000,190250000000,None
None,None,133012000000,133012000000,10096000000,3969000000,1332460000000,None,125587000000,59520000000,None,2016-12-31,12330000000,9016000000,9016000000,4389000000,None,200250000000,None,1007579000000,1191845000000,170755000000,None,None,9373000000,USD,136795000000,325837000000,125587000000,15406000000,2374986000000,128009000000,41501000000,2192408000000,21346000000,2150907000000,175386000000,None
None,None,104702000000,104702000000,9842000000,3903400000,1344150000000,None,137746000000,16914000000,None,2015-12-31,16294000000,8302000000,8302000000,43900000000,None,202364000000,None,500236000000,1308360000000,182779000000,None,None,9923000000,USD,143976000000,340110000000,137746000000,11501000000,2409656000000,133117000000,38116000000,2212138000000,1048197000000,2212138000000,188460000000,None
