capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
3886000000,-26459000000,-76564000000,None,None,None,None,None,None,4080000000,17100000000,17100000000,None,2024-12-31,32309000000,65305000000,None,None,None,None,None,None,None,None,None,-11889000000,None,None,USD
3695000000,-17558000000,-62912000000,None,None,None,None,None,None,3466000000,12196000000,12196000000,None,2023-12-31,23533000000,39111000000,None,None,None,None,None,None,None,None,None,-6426000000,None,None,USD
4410000000,-6286000000,-34480000000,None,None,None,None,None,None,3873000000,6970000000,6970000000,None,2022-12-31,17528000000,26434000000,None,None,None,None,None,None,None,None,None,-4642000000,None,None,USD
3565000000,-10794000000,27536000000,None,None,None,None,None,None,4286000000,6383000000,6383000000,None,2021-12-31,18906000000,104312000000,None,None,None,None,None,None,None,None,None,-5543000000,None,None,USD
3510000000,-4643000000,-22430000000,None,None,None,None,None,None,5241000000,2023000000,2023000000,None,2020-12-31,8777000000,182220000000,None,None,None,None,None,None,None,None,None,-579000000,None,None,USD
3632000000,-14842000000,-35318000000,None,None,None,None,None,None,10519000000,9773000000,9773000000,None,2019-12-31,13347000000,29743000000,None,None,None,None,None,None,None,None,None,-859000000,None,None,USD
3044000000,-16781000000,-16341000000,None,None,None,None,None,None,1933000000,10762000000,10762000000,None,2018-12-31,19890000000,6469000000,None,None,None,None,None,None,None,None,None,-1998000000,None,None,USD
2452000000,-10450000000,65557000000,None,None,None,None,None,None,1862000000,9005000000,9005000000,None,2017-12-31,17167000000,-10478000000,None,None,None,None,None,None,None,None,None,-3067000000,None,None,USD
2057000000,-8918000000,-15060000000,None,None,52868000000,None,None,None,5212000000,9157000000,9157000000,None,2016-12-31,7112000000,68959000000,None,None,None,None,None,None,None,None,None,-2510000000,None,None,USD
2306000000,-3577000000,-38912000000,None,None,29960000000,None,None,None,2181000000,7498000000,7498000000,None,2015-12-31,18867000000,-1122000000,None,None,None,None,None,None,None,None,None,-463000000,None,None,USD
2380000000,-1868000000,-4961000000,None,None,36713000000,None,None,None,2251000000,7184000000,7184000000,None,2014-12-31,18680000000,-21372000000,None,None,None,None,None,None,None,None,None,-96000000,None,None,USD
2786000000,-6981000000,-6585000000,None,None,None,None,None,None,2330000000,6987000000,6987000000,None,2013-12-31,22565000000,44977000000,None,None,None,None,None,None,None,None,None,-32000000,None,None,USD
2326000000,-8232000000,5653000000,None,None,None,None,None,None,2531000000,6498000000,6498000000,None,2012-12-31,20649000000,-9156000000,None,None,None,None,None,None,None,None,None,-25000000,None,None,USD
3076000000,-10086000000,-9931000000,None,None,None,None,None,None,3135000000,5587000000,5587000000,None,2011-12-31,21872000000,79762000000,None,None,None,None,None,None,None,None,None,-361000000,None,None,USD
3712000000,1402000000,-34973000000,None,None,None,None,None,None,2801000000,4449000000,4449000000,None,2010-12-31,19037000000,55742000000,None,None,None,None,None,None,None,None,None,8199000000,None,None,USD
2956000000,11270000000,-57077000000,None,None,None,None,None,None,2538000000,4533000000,4533000000,None,2009-12-31,7079000000,6898000000,None,None,None,None,None,None,None,None,None,-227000000,None,None,USD
4154000000,352000000,-25093000000,None,None,29875000000,None,None,None,12500000000,7211000000,7211000000,None,2008-12-31,7646000000,30420000000,None,None,None,None,None,None,None,None,None,-1002000000,None,None,USD
3670000000,-1637000000,-20278000000,None,None,None,None,None,None,2073000000,6003000000,6003000000,None,2007-12-31,22709000000,91038000000,None,None,None,None,None,None,None,None,None,-636000000,None,None,USD
3252000000,-564000000,-12076000000,None,None,None,None,None,None,1752000000,5927000000,5927000000,None,2006-12-31,21240000000,78733000000,None,None,None,None,None,None,None,None,None,-575000000,None,None,USD
3736000000,-4027000000,-15627000000,None,None,None,None,None,None,2213000000,5935000000,5935000000,None,2005-12-31,20322000000,7021000000,None,None,None,None,None,None,None,None,None,-821000000,None,None,USD
