comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,75898000000,75898000000,None,4080000000,32309000000,36389000000,2024-12-31,67396000000,32309000000,7310000000,None,75898000000,108631000000,None,23979000000,24999000000,32733000000,None,30808000000,30445000000,None,USD,None,10498000000,61253000000
None,65072000000,65072000000,None,3466000000,30348000000,33814000000,2023-12-31,64440000000,30348000000,5789000000,None,65072000000,100868000000,None,23533000000,24559000000,35796000000,None,34092000000,26110000000,None,USD,None,10383000000,56353000000
None,22449000000,22449000000,None,3850000000,17058000000,20908000000,2022-12-31,53719000000,17058000000,809000000,None,22449000000,55059000000,None,15559000000,16670000000,32610000000,None,36661000000,17058000000,None,USD,None,10848000000,76168000000
None,9699000000,9699000000,None,4286000000,18906000000,23192000000,2021-12-31,64247000000,18906000000,4213000000,None,9699000000,36188000000,None,13917000000,14693000000,26489000000,None,45341000000,18906000000,None,USD,None,11592000000,73946000000
None,14178000000,14178000000,None,5241000000,8777000000,14018000000,2020-12-31,63280000000,8777000000,2678000000,None,14178000000,41756000000,None,5229000000,6099000000,27578000000,None,54503000000,8777000000,None,USD,None,11115000000,77458000000
None,24233000000,24233000000,None,10519000000,13347000000,23866000000,2019-12-31,70403000000,13347000000,4639000000,None,24233000000,54695000000,None,7383000000,8708000000,30462000000,None,57056000000,13347000000,None,USD,None,13828000000,94636000000
None,19120000000,19120000000,None,1933000000,19890000000,21823000000,2018-12-31,63628000000,19890000000,4865000000,None,19120000000,49609000000,None,13727000000,15025000000,30489000000,None,43738000000,19890000000,None,USD,None,15353000000,82748000000
None,12819000000,12819000000,None,1862000000,17167000000,19029000000,2017-12-31,63675000000,17167000000,5288000000,None,12819000000,40995000000,None,10798000000,11879000000,28176000000,None,46508000000,17167000000,None,USD,None,15707000000,76494000000
None,12601000000,12601000000,None,5212000000,7112000000,12324000000,2016-12-31,61975000000,7112000000,3666000000,None,12601000000,42414000000,None,2479000000,3446000000,29813000000,None,54863000000,7112000000,None,USD,None,16473000000,74576000000
None,14658000000,14658000000,None,2181000000,18867000000,21048000000,2015-12-31,72514000000,18867000000,3771000000,None,14658000000,47189000000,None,13522000000,15096000000,32531000000,None,53647000000,18867000000,None,USD,None,17662000000,87172000000
None,16250000000,16250000000,None,2318000000,18680000000,20998000000,2014-12-31,74385000000,18680000000,3975000000,None,16250000000,None,None,13688000000,14705000000,None,None,55705000000,18680000000,None,USD,None,18565000000,90635000000
None,15653000000,15653000000,None,2295000000,22565000000,24860000000,2013-12-31,74907000000,22565000000,4765000000,None,15653000000,None,None,16204000000,17800000000,None,None,52342000000,22565000000,None,USD,None,17065000000,90560000000
None,19030000000,19030000000,None,2531000000,20649000000,23180000000,2012-12-31,74750000000,20649000000,5315000000,None,19030000000,None,None,14027000000,None,None,None,54101000000,20649000000,None,USD,None,19983000000,93780000000
None,22343000000,22343000000,None,2920000000,21872000000,24792000000,2011-12-31,82510000000,21872000000,3928000000,None,22343000000,None,None,16797000000,None,None,None,60638000000,21872000000,None,USD,None,17459000000,104853000000
None,18904000000,18904000000,None,2696000000,19037000000,21733000000,2010-12-31,78916000000,19037000000,4846000000,None,18904000000,None,None,13159000000,None,None,None,59879000000,19037000000,None,USD,None,15156000000,97820000000
None,21366000000,21366000000,None,2538000000,7079000000,9617000000,2009-12-31,76239000000,7079000000,385000000,None,21366000000,None,None,5834000000,None,None,None,69160000000,7079000000,None,USD,None,13392000000,97605000000
None,48738000000,48738000000,None,13367000000,9307000000,22674000000,2008-12-31,84638000000,9307000000,2809000000,None,48738000000,None,None,5728000000,None,None,None,75331000000,9307000000,None,USD,None,15260000000,133376000000
None,54564000000,54564000000,None,2522000000,24212000000,26734000000,2007-12-31,86247000000,24212000000,3757000000,None,54564000000,None,None,19133000000,None,None,None,62035000000,24212000000,None,USD,None,15294000000,140811000000
None,41393000000,41393000000,None,2528000000,22086000000,24614000000,2006-12-31,69240000000,22086000000,5215000000,None,41393000000,None,None,15789000000,None,None,None,47154000000,22086000000,None,USD,None,12823000000,110633000000
None,28760000000,28760000000,None,2213000000,20966000000,23179000000,2005-12-31,60964000000,20966000000,5093000000,None,28760000000,None,None,15081000000,None,None,None,39998000000,20966000000,None,USD,None,11183000000,89724000000
