accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,24105000000,24105000000,None,2406922000,10311000000,None,5983000000,14842000000,None,2024-12-31,44200000000,37618000000,37618000000,12444000000,None,30651000000,None,None,None,30255000000,None,17549000000,None,USD,None,36634000000,5983000000,417000000,180104000000,55893000000,50321000000,108614000000,124211000000,58293000000,71490000000,None
None,None,21859000000,21859000000,3120000000,2560400000,9632000000,None,3451000000,14873000000,None,2023-12-31,36558000000,34175000000,34175000000,11181000000,None,25881000000,None,None,4514000000,30206000000,None,13398000000,20898000000,USD,153843000000,29332000000,3451000000,1068000000,167558000000,53495000000,46282000000,98784000000,114063000000,52502000000,68774000000,-75662000000
None,None,12889000000,12889000000,3120000000,2663900000,9889000000,None,12771000000,16915000000,None,2022-12-31,36047000000,38489000000,38489000000,10268000000,None,26888000000,None,None,5830000000,30937000000,None,21510000000,19803000000,USD,128345000000,39642000000,12756000000,9392000000,187378000000,55294000000,55802000000,110574000000,132084000000,54772000000,76804000000,-41694000000
None,None,14487000000,14487000000,3120000000,2674000000,11055000000,None,3766000000,18984000000,None,2021-12-31,35246000000,46392000000,46392000000,10387000000,None,29985000000,None,None,3701000000,29293000000,None,25297000000,18962000000,USD,123060000000,33751000000,3766000000,17121000000,182018000000,60979000000,45226000000,107995000000,121039000000,62769000000,74023000000,-39099000000
None,None,13985000000,13985000000,3120000000,2670700000,9505000000,None,2631000000,13576000000,None,2020-12-31,36393000000,53402000000,53402000000,9344000000,None,32635000000,None,None,3132000000,28965000000,None,29274000000,18766000000,USD,113890000000,35266000000,2631000000,11200000000,174894000000,51237000000,42493000000,111616000000,123657000000,69123000000,63278000000,-38490000000
None,None,17305000000,17305000000,3120000000,2684300000,8544000000,None,1202000000,14481000000,None,2019-12-31,33639000000,47643000000,47643000000,9020000000,None,26494000000,None,1149000000,2486000000,23952000000,None,29841000000,17658000000,USD,110659000000,27696000000,1202000000,1982000000,157728000000,45274000000,35964000000,98257000000,112454000000,62293000000,59471000000,-38417000000
None,None,18107000000,18107000000,3120000000,2728700000,7537000000,None,2796000000,14098000000,None,2018-12-31,30453000000,47611000000,47611000000,8599000000,None,27684000000,None,517000000,3649000000,20079000000,None,8589000000,17035000000,USD,106216000000,30480000000,2796000000,1580000000,152954000000,46033000000,31230000000,93202000000,106921000000,61972000000,59752000000,-34362000000
None,None,17824000000,17824000000,3120000000,2745300000,7310000000,None,3906000000,13490000000,None,2017-12-31,31906000000,53228000000,53228000000,8765000000,None,30675000000,None,758000000,2537000000,17467000000,None,9017000000,17005000000,USD,101793000000,34581000000,3906000000,472000000,157303000000,43088000000,30537000000,97143000000,114215000000,66606000000,60160000000,-31554000000
None,None,18972000000,18972000000,3120000000,2788900000,6918000000,None,4684000000,11699000000,None,2016-12-31,22805000000,26876000000,26876000000,8144000000,None,22442000000,None,900000000,3282000000,13714000000,None,9536000000,15912000000,USD,110551000000,27126000000,4684000000,22935000000,141208000000,65032000000,26287000000,70790000000,76176000000,44503000000,70418000000,-28352000000
None,None,13732000000,13732000000,3120000000,2812900000,6668000000,None,2104000000,10734000000,None,2015-12-31,21629000000,25764000000,25764000000,8053000000,None,12857000000,None,1514000000,3047000000,13325000000,None,19095000000,15905000000,USD,103879000000,19861000000,7004000000,24644000000,133411000000,60210000000,27747000000,62261000000,73201000000,34514000000,71150000000,-22684000000
None,None,14523000000,14523000000,3120000000,2863900000,7633000000,None,7000000,10985000000,None,2014-12-31,21832000000,27222000000,27222000000,8184000000,None,15122000000,None,708000000,3486000000,13314000000,None,18006000000,16126000000,USD,97245000000,18760000000,3638000000,18566000000,130358000000,59311000000,25085000000,61367000000,71808000000,36282000000,69752000000,-19891000000
None,None,20927000000,20927000000,3120000000,2877000000,6266000000,None,None,11713000000,None,2013-12-31,22798000000,27947000000,27947000000,7878000000,None,13328000000,None,None,7610000000,13787000000,None,15638000000,16710000000,USD,89493000000,18180000000,4852000000,8279000000,132683000000,56407000000,25675000000,58630000000,76276000000,32955000000,74053000000,-15700000000
None,None,14911000000,14911000000,3120000000,2812600000,5831000000,None,None,11309000000,None,2012-12-31,22424000000,28752000000,28752000000,7495000000,None,11489000000,None,None,6223000000,12691000000,None,17634000000,16097000000,USD,85992000000,16165000000,4676000000,6178000000,121347000000,46116000000,24262000000,56521000000,75231000000,32259000000,64826000000,-18476000000
None,None,24542000000,24542000000,3120000000,2775300000,5725000000,None,None,10581000000,None,2011-12-31,16138000000,18138000000,18138000000,6285000000,None,12969000000,None,None,5189000000,9574000000,None,18984000000,14739000000,USD,81251000000,19627000000,6658000000,7719000000,113644000000,54316000000,22811000000,56564000000,59328000000,33753000000,57080000000,-21659000000
None,None,19355000000,19355000000,3120000000,2788800000,5623000000,None,None,9774000000,None,2010-12-31,15294000000,16716000000,16716000000,5378000000,None,9156000000,None,None,4497000000,9254000000,None,12654000000,14553000000,USD,77773000000,16773000000,7617000000,8303000000,102908000000,47307000000,23072000000,46329000000,55601000000,23257000000,56579000000,-20783000000
