capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
4424000000,-3132000000,-18599000000,None,None,-1128000000,None,None,None,7339000000,11823000000,11823000000,None,2024-12-31,14066000000,24266000000,None,None,None,None,None,None,None,None,None,-2432000000,None,None,USD
4543000000,-15825000000,878000000,None,None,-1323000000,None,None,None,7486000000,11770000000,11770000000,None,2023-12-31,35153000000,22791000000,None,None,None,None,None,None,None,None,None,-5054000000,None,None,USD
4009000000,-8871000000,-12371000000,-48000000,None,-2527000000,None,None,-1290000000,6970000000,11682000000,11682000000,None,2022-12-31,17941000000,21194000000,None,None,None,None,None,None,None,None,None,-6035000000,None,None,USD
3652000000,-14047000000,-8683000000,680000000,None,-1248000000,None,None,-2402000000,7390000000,11032000000,11032000000,None,2021-12-31,20878000000,23410000000,None,None,None,None,None,None,None,None,None,-3456000000,None,None,USD
3347000000,-6120000000,-20825000000,-3409000000,None,-265000000,None,None,774000000,7231000000,10481000000,10481000000,None,2020-12-31,14714000000,23536000000,None,None,None,None,None,None,None,None,None,-3221000000,None,None,USD
3498000000,-18015000000,-6194000000,-793000000,None,-277000000,None,None,-289000000,7009000000,9917000000,9917000000,None,2019-12-31,15119000000,23416000000,None,None,None,None,None,None,None,None,None,-6746000000,None,None,USD
3670000000,-18510000000,-3167000000,283000000,-241000000,-644000000,None,None,-1185000000,6929000000,9494000000,9494000000,None,2018-12-31,15297000000,22201000000,None,None,None,None,None,None,None,None,None,-5868000000,None,None,USD
3279000000,-7673000000,-14868000000,-1148000000,337000000,581000000,None,None,-633000000,5642000000,8943000000,8943000000,None,2017-12-31,1300000000,21056000000,None,None,None,None,None,None,None,None,None,-6358000000,None,None,USD
3226000000,-8551000000,-4761000000,5240000000,-215000000,-249000000,None,None,-1065000000,3754000000,8621000000,8621000000,None,2016-12-31,16540000000,18767000000,None,None,None,None,None,None,None,None,None,-8979000000,None,None,USD
3463000000,-10846000000,-7735000000,-791000000,-1489000000,-449000000,None,None,-433000000,3746000000,8173000000,8173000000,None,2015-12-31,15409000000,19279000000,None,None,None,None,None,None,None,None,None,-5290000000,None,None,USD
3714000000,-12260000000,-12305000000,-6404000000,-310000000,-1120000000,None,None,-247000000,3895000000,7768000000,7768000000,None,2014-12-31,16323000000,18471000000,None,None,None,None,None,None,None,None,None,-7124000000,None,None,USD
3595000000,-6091000000,-5103000000,6016000000,-204000000,-622000000,None,None,-632000000,4104000000,7286000000,7286000000,None,2013-12-31,13831000000,17414000000,None,None,None,None,None,None,None,None,None,-3538000000,None,None,USD
2934000000,-20562000000,-4510000000,-9631000000,45000000,-1000000,None,None,-9000000,3666000000,6614000000,6614000000,None,2012-12-31,10514000000,15396000000,None,None,None,None,None,None,None,None,None,-12919000000,None,None,USD
2893000000,-4452000000,-4612000000,5187000000,-47000000,-715000000,None,None,-915000000,3158000000,6156000000,6156000000,None,2011-12-31,9672000000,14298000000,None,None,None,None,None,None,None,None,None,-2525000000,None,None,USD
2384000000,-4980000000,-7854000000,3545000000,-6000000,-196000000,None,None,-207000000,2939000000,5804000000,5804000000,None,2010-12-31,13334000000,16385000000,None,None,None,None,None,None,None,None,None,-2797000000,None,None,USD
2365000000,-4092000000,-7598000000,5042000000,161000000,95000000,None,None,453000000,2774000000,5327000000,5327000000,None,2009-12-31,12266000000,16571000000,None,None,None,None,None,None,None,None,None,-2130000000,None,None,USD
3066000000,-7464000000,-4187000000,None,None,-101000000,None,None,None,2832000000,5024000000,5024000000,None,2008-12-31,12949000000,14972000000,None,None,None,None,None,None,None,None,None,-6651000000,None,None,USD
3310000000,-5698000000,-6139000000,None,None,14000000,None,None,None,2777000000,4670000000,4670000000,None,2007-12-31,10576000000,15249000000,None,None,None,None,None,None,None,None,None,-5607000000,None,None,USD
2738000000,-6109000000,-20291000000,None,None,-210000000,None,None,None,2177000000,4267000000,4267000000,None,2006-12-31,11053000000,14248000000,None,None,None,None,None,None,None,None,None,-6722000000,None,None,USD
2632000000,-4521000000,-279000000,None,None,-396000000,None,None,None,2093000000,3793000000,3793000000,None,2005-12-31,10411000000,11877000000,None,None,None,None,None,None,None,None,None,-1717000000,None,None,USD
