comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,27471000000,27471000000,None,7339000000,17442000000,24781000000,2024-12-31,61350000000,16687000000,2621000000,None,755000000,1332000000,None,14066000000,14066000000,577000000,None,66672000000,22149000000,None,USD,17232000000,21969000000,88821000000
None,26739000000,26739000000,None,7486000000,21853000000,29339000000,2023-12-31,58413000000,15062000000,1736000000,None,1247000000,1261000000,None,35153000000,13326000000,489000000,None,36560000000,21853000000,None,USD,15048000000,21012000000,85159000000
None,24596000000,24596000000,None,6970000000,19635000000,26605000000,2022-12-31,55394000000,19359000000,2989000000,None,276000000,490000000,None,17941000000,16370000000,214000000,None,34381000000,21013000000,-1381000000,USD,14135000000,20246000000,79990000000
None,23402000000,23402000000,None,7390000000,19361000000,26751000000,2021-12-31,55338000000,19178000000,1377000000,None,183000000,53000000,None,20878000000,17801000000,-130000000,None,34395000000,20943000000,-436000000,USD,14277000000,20118000000,78740000000
None,28427000000,28427000000,None,7231000000,16698000000,23929000000,2020-12-31,54157000000,16497000000,1783000000,None,201000000,111000000,None,14714000000,14714000000,-90000000,None,34424000000,19733000000,-2788000000,USD,12340000000,22084000000,82584000000
None,27556000000,27556000000,None,7009000000,17646000000,24655000000,2019-12-31,54503000000,17328000000,2209000000,None,318000000,357000000,None,15119000000,15119000000,39000000,None,33533000000,20970000000,-2168000000,USD,11355000000,22178000000,82059000000
None,27091000000,27091000000,None,6929000000,19004000000,25933000000,2018-12-31,54490000000,17999000000,2702000000,None,1005000000,611000000,None,15297000000,15297000000,-394000000,None,33315000000,21175000000,-794000000,USD,10775000000,22540000000,81581000000
None,25439000000,25439000000,None,5642000000,18607000000,24249000000,2017-12-31,51011000000,17673000000,16373000000,None,934000000,385000000,None,1300000000,1300000000,-549000000,None,32114000000,18897000000,202000000,USD,10594000000,21520000000,76450000000
None,21789000000,21789000000,None,3754000000,20529000000,24283000000,2016-12-31,50101000000,19803000000,3263000000,None,726000000,368000000,None,16540000000,16540000000,-358000000,None,29210000000,20891000000,-116000000,USD,9143000000,20067000000,71890000000
None,21536000000,21536000000,None,3746000000,19748000000,23494000000,2015-12-31,48538000000,19196000000,3787000000,None,552000000,None,None,15409000000,15409000000,None,None,30249000000,18289000000,2192000000,USD,9046000000,21203000000,70074000000
None,22746000000,22746000000,None,3895000000,21096000000,24991000000,2014-12-31,51585000000,20563000000,4240000000,None,533000000,None,None,16323000000,16323000000,None,None,30448000000,21137000000,137000000,USD,8494000000,21954000000,74331000000
None,22342000000,22342000000,None,4104000000,15953000000,20057000000,2013-12-31,48970000000,15471000000,1640000000,None,482000000,None,None,13831000000,13831000000,None,None,30013000000,18957000000,-2424000000,USD,8183000000,21830000000,71312000000
None,21658000000,21658000000,None,3666000000,14307000000,17973000000,2012-12-31,45566000000,13775000000,3261000000,None,532000000,None,None,10853000000,10514000000,None,None,28534000000,17032000000,-1562000000,USD,7665000000,20869000000,67224000000
None,20360000000,20360000000,None,3158000000,12932000000,16090000000,2011-12-31,44670000000,12361000000,2689000000,None,571000000,None,None,9672000000,9672000000,None,None,28517000000,16153000000,-2652000000,USD,7548000000,20969000000,65030000000
None,18792000000,18792000000,None,2939000000,17402000000,20341000000,2010-12-31,42795000000,16947000000,3613000000,None,455000000,None,None,13334000000,13334000000,None,None,26268000000,16527000000,875000000,USD,6844000000,19424000000,61587000000
None,18447000000,18447000000,None,2774000000,16206000000,18980000000,2009-12-31,43450000000,15755000000,3489000000,None,451000000,None,None,12266000000,12266000000,None,None,26787000000,16663000000,616000000,USD,6986000000,19801000000,61897000000
None,18511000000,18511000000,None,2832000000,17364000000,20196000000,2008-12-31,45236000000,16929000000,3980000000,None,435000000,None,None,12949000000,None,None,None,29067000000,16169000000,None,USD,7577000000,29067000000,63747000000
None,17751000000,17751000000,None,2777000000,13579000000,16356000000,2007-12-31,43344000000,13283000000,2707000000,None,296000000,None,None,10576000000,None,None,None,28131000000,15213000000,None,USD,7680000000,28131000000,61095000000
None,15057000000,15057000000,None,2177000000,13709000000,15886000000,2006-12-31,38267000000,14587000000,3534000000,None,0,None,None,11053000000,None,None,None,24558000000,13709000000,None,USD,7125000000,17433000000,53324000000
None,14010000000,14010000000,None,2093000000,12831000000,14924000000,2005-12-31,36504000000,13116000000,3056000000,None,0,None,None,10060000000,None,None,None,23673000000,12831000000,None,USD,6462000000,16877000000,50514000000
