accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,10828000000,10828000000,1760000000,4320000000,5468000000,None,2147000000,3569000000,None,2024-12-31,18139000000,13301000000,13301000000,4728000000,None,42375000000,None,18087000000,3129000000,15957000000,None,4084000000,11485000000,USD,76054000000,45735000000,2437000000,3743000000,100549000000,25997000000,25249000000,74177000000,74552000000,48928000000,24856000000,None
None,None,9366000000,9366000000,1760000000,4339000000,5590000000,None,6517000000,3410000000,None,2023-12-31,18358000000,14865000000,14865000000,4424000000,None,35547000000,None,19789000000,5235000000,9534000000,None,8466000000,10564000000,USD,73782000000,43426000000,6878000000,4297000000,97703000000,26732000000,23571000000,70223000000,70971000000,46652000000,25941000000,None
None,None,9519000000,9519000000,1760000000,4350000000,5307000000,None,2772000000,3487000000,None,2022-12-31,18782000000,14849000000,14849000000,4233000000,None,36377000000,None,18765000000,3240000000,10101000000,None,7922000000,9841000000,USD,71019000000,40603000000,3113000000,2112000000,92763000000,22591000000,19724000000,66937000000,70172000000,47213000000,24105000000,-52601000000
None,None,9684000000,9684000000,1760000000,4340000000,4602000000,None,4645000000,3512000000,None,2021-12-31,19363000000,15250000000,15250000000,3414000000,None,38116000000,None,18416000000,2994000000,9707000000,None,8607000000,9920000000,USD,69094000000,44232000000,4955000000,2941000000,94354000000,22545000000,19950000000,69494000000,71809000000,49544000000,22999000000,-51641000000
None,None,6795000000,6795000000,1760000000,4323000000,3517000000,None,2668000000,3144000000,None,2020-12-31,17506000000,11044000000,11044000000,3266000000,None,40125000000,None,19273000000,1916000000,7306000000,None,9453000000,10777000000,USD,66555000000,44415000000,2990000000,4119000000,87296000000,19240000000,14601000000,66012000000,68056000000,51411000000,19299000000,-52016000000
None,None,6480000000,6480000000,1760000000,4314000000,3804000000,None,15247000000,3971000000,None,2019-12-31,16764000000,10002000000,10002000000,3379000000,None,27516000000,None,19025000000,1886000000,7227000000,None,8510000000,10838000000,USD,65810000000,44155000000,15528000000,4695000000,86381000000,20411000000,26973000000,65283000000,65970000000,38310000000,18981000000,-52244000000
None,None,9077000000,9077000000,1760000000,4299000000,2719000000,None,18191000000,3685000000,None,2018-12-31,14109000000,7478000000,7478000000,3071000000,None,25364000000,None,19407000000,2059000000,6452000000,None,7638000000,8232000000,USD,63234000000,44214000000,18838000000,7038000000,83216000000,24930000000,28782000000,64158000000,58286000000,35376000000,16981000000,-51719000000
None,None,6006000000,6006000000,1760000000,4324000000,2288000000,None,16503000000,3667000000,None,2017-12-31,9401000000,7235000000,7235000000,2655000000,None,31182000000,None,20856000000,9548000000,7993000000,None,8021000000,8203000000,USD,60430000000,47685000000,16503000000,14669000000,87896000000,36545000000,27194000000,68919000000,51351000000,41725000000,17072000000,-50677000000
None,None,8555000000,8555000000,1760000000,4367000000,2682000000,None,16025000000,3856000000,None,2016-12-31,10629000000,10499000000,10499000000,2675000000,None,29684000000,None,16260000000,5278000000,7518000000,None,4081000000,10635000000,USD,65502000000,45709000000,16025000000,13646000000,87270000000,34010000000,26532000000,64050000000,53260000000,37518000000,23062000000,-47988000000
None,None,7309000000,7309000000,1760000000,4405000000,2795000000,None,2729000000,3941000000,None,2015-12-31,11289000000,12843000000,12843000000,2902000000,None,28407000000,None,12318000000,2752000000,1133000000,None,4301000000,12571000000,USD,65018000000,44212000000,15805000000,12591000000,89996000000,33395000000,26929000000,64232000000,56601000000,37303000000,25554000000,-45066000000
None,None,8958000000,8958000000,1760000000,4450000000,2089000000,None,3552000000,4466000000,None,2014-12-31,12100000000,14272000000,14272000000,3100000000,None,19063000000,None,9947000000,3745000000,7203000000,None,4389000000,14633000000,USD,63408000000,41745000000,22682000000,12717000000,92023000000,32986000000,32374000000,61462000000,59037000000,29088000000,30320000000,-42225000000
None,None,10414000000,10414000000,1760000000,4509000000,1933000000,None,None,4873000000,None,2013-12-31,12312000000,15299000000,15299000000,3277000000,None,19154000000,None,10393000000,5772000000,7644000000,None,3498000000,14967000000,USD,61660000000,37079000000,17925000000,9854000000,90055000000,31304000000,27811000000,56615000000,58751000000,28804000000,33173000000,-39091000000
None,None,8442000000,8442000000,1760000000,4584000000,1969000000,None,None,4759000000,None,2012-12-31,12255000000,15082000000,15082000000,3264000000,None,14736000000,None,9216000000,5754000000,7507000000,None,5468000000,14476000000,USD,58045000000,32610000000,17874000000,8109000000,86174000000,30328000000,27821000000,53006000000,55846000000,25185000000,32790000000,-35009000000
None,None,12803000000,12803000000,880000000,4646000000,2172000000,None,None,4920000000,None,2011-12-31,12219000000,15450000000,15450000000,3092000000,None,13656000000,None,7233000000,3450000000,6837000000,None,5420000000,14939000000,USD,53550000000,28568000000,14912000000,1232000000,79974000000,25497000000,24283000000,48053000000,54477000000,23770000000,31635000000,-31304000000
None,None,8517000000,8517000000,880000000,4666000000,1887000000,None,None,4430000000,None,2010-12-31,11665000000,7733000000,7733000000,2650000000,None,14041000000,None,6954000000,3162000000,6972000000,None,4794000000,14727000000,USD,49278000000,23417000000,9376000000,2820000000,72921000000,21579000000,18508000000,41604000000,51342000000,23096000000,31003000000,-27762000000
None,None,9151000000,9151000000,880000000,4658000000,1410000000,None,None,3758000000,None,2009-12-31,4224000000,8604000000,8604000000,2354000000,None,5059000000,None,6755000000,2226000000,5247000000,None,2965000000,9561000000,USD,41537000000,11859000000,6800000000,62000000,48671000000,17551000000,13721000000,23325000000,31120000000,9604000000,24799000000,-25398000000
None,None,4701000000,4701000000,880000000,4672000000,1370000000,None,None,3090000000,None,2008-12-31,4029000000,8476000000,8476000000,2187000000,None,2781000000,None,None,3840000000,4835000000,None,None,8326000000,USD,38513000000,9312000000,6531000000,278000000,40519000000,12176000000,12988000000,20047000000,28343000000,7059000000,20472000000,-24213000000
None,None,4093000000,4093000000,880000000,4662000000,1380000000,None,None,3317000000,None,2007-12-31,4256000000,7963000000,7963000000,2220000000,None,3277000000,None,None,2260000000,5535000000,None,None,8493000000,USD,36235000000,9329000000,6052000000,215000000,43269000000,12105000000,13225000000,21525000000,31164000000,8300000000,21744000000,-23375000000
None,None,2440000000,2440000000,878000000,4700000000,929000000,None,None,2587000000,None,2006-12-31,1403000000,3732000000,3732000000,1641000000,None,1314000000,None,None,1623000000,4126000000,None,None,6903000000,USD,33468000000,4582000000,3268000000,150000000,29963000000,8441000000,8890000000,13043000000,21522000000,4153000000,16920000000,-22118000000
None,None,4701000000,4701000000,877000000,4786000000,2315000000,None,None,2281000000,None,2005-12-31,1047000000,2774000000,2774000000,1424000000,None,1154000000,None,None,1778000000,2178000000,None,None,5786000000,USD,31299000000,5700000000,4546000000,66000000,29427000000,10250000000,9836000000,13072000000,19177000000,3236000000,16355000000,-19644000000
