capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
2064000000,-6910000000,2524000000,None,None,-520000000,None,None,None,1075000000,8359000000,8359000000,None,2024-12-31,10631000000,6805000000,None,None,None,None,None,None,None,None,None,-1795000000,None,None,USD
1852000000,-8310000000,-3349000000,None,None,-597000000,None,None,None,1128000000,7952000000,7952000000,None,2023-12-31,10714000000,11599000000,None,None,None,None,None,None,None,None,None,-2289000000,None,None,USD
1484000000,-10250000000,-763000000,5000000,None,-960000000,None,None,None,1260000000,7616000000,7616000000,None,2022-12-31,9571000000,11018000000,None,None,None,None,None,None,None,None,None,-1418000000,None,None,USD
1367000000,-6786000000,-2765000000,2915000000,-159000000,-135000000,None,None,None,1452000000,7252000000,7252000000,None,2021-12-31,9804000000,12625000000,None,None,None,None,None,None,None,None,None,-111000000,None,None,USD
1177000000,-8070000000,-1477000000,373000000,76000000,99000000,None,None,None,1536000000,7047000000,7047000000,None,2020-12-31,7768000000,9844000000,None,None,None,None,None,None,None,None,None,-118000000,None,None,USD
2054000000,-9004000000,-3976000000,-2581000000,-72000000,-183000000,None,None,None,1365000000,6845000000,6845000000,None,2019-12-31,8985000000,10471000000,None,None,None,None,None,None,None,None,None,-1103000000,None,None,USD
1548000000,-10347000000,5927000000,2854000000,-262000000,-203000000,None,None,None,1086000000,6644000000,6644000000,None,2018-12-31,6476000000,7627000000,None,None,None,None,None,None,None,None,None,-1912000000,None,None,USD
1675000000,-7447000000,-2450000000,-2549000000,242000000,-355000000,None,None,None,1260000000,6320000000,6320000000,None,2017-12-31,1182000000,7106000000,None,None,None,None,None,None,None,None,None,-3682000000,None,None,USD
2262000000,-6545000000,-999000000,1246000000,-6000000,-142000000,None,None,None,1787000000,6043000000,6043000000,None,2016-12-31,6550000000,8796000000,None,None,None,None,None,None,None,None,None,-3681000000,None,None,USD
2553000000,-5113000000,-6186000000,-1649000000,-878000000,-250000000,None,None,None,1970000000,5741000000,5741000000,None,2015-12-31,7366000000,10528000000,None,None,None,None,None,None,None,None,None,-3564000000,None,None,USD
2406000000,-3631000000,-7506000000,-1456000000,-934000000,35000000,None,None,None,1976000000,5350000000,5350000000,None,2014-12-31,7124000000,10615000000,None,None,None,None,None,None,None,None,None,-4162000000,None,None,USD
2550000000,-3745000000,-4214000000,1972000000,-611000000,-105000000,None,None,None,1977000000,4969000000,4969000000,None,2013-12-31,8626000000,10542000000,None,None,None,None,None,None,None,None,None,-4832000000,None,None,USD
2780000000,-3347000000,-11404000000,-4361000000,-255000000,-286000000,None,None,None,1982000000,4595000000,4595000000,None,2012-12-31,9086000000,10645000000,None,None,None,None,None,None,None,None,None,-4559000000,None,None,USD
2920000000,-2234000000,-2524000000,4286000000,-430000000,-447000000,None,None,None,1954000000,4300000000,4300000000,None,2011-12-31,8634000000,9474000000,None,None,None,None,None,None,None,None,None,-4513000000,None,None,USD
2215000000,-3465000000,-4405000000,1496000000,-166000000,182000000,None,None,None,1443000000,4068000000,4068000000,None,2010-12-31,11859000000,9532000000,None,None,None,None,None,None,None,None,None,-2961000000,None,None,USD
1993000000,-2293000000,-2019000000,2320000000,576000000,-50000000,None,None,None,1236000000,3800000000,3800000000,None,2009-12-31,6906000000,8186000000,None,None,None,None,None,None,None,None,None,-1518000000,None,None,USD
1968000000,-3985000000,-2363000000,None,None,-165000000,None,None,None,1228000000,3521000000,3521000000,None,2008-12-31,5807000000,7571000000,None,None,None,None,None,None,None,None,None,-1079000000,None,None,USD
1648000000,973000000,-6719000000,None,None,-258000000,None,None,None,1163000000,3149000000,3149000000,None,2007-12-31,5981000000,7150000000,None,None,None,None,None,None,None,None,None,-1838000000,None,None,USD
1407000000,-6583000000,-1700000000,None,None,-150000000,None,None,None,938000000,2911000000,2911000000,None,2006-12-31,5080000000,5957000000,None,None,None,None,None,None,None,None,None,-2416000000,None,None,USD
899000000,-6785000000,-1496000000,None,None,-79000000,None,None,None,932000000,2678000000,2678000000,None,2005-12-31,4872000000,6423000000,None,None,None,None,None,None,None,None,None,-2055000000,None,None,USD
