comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,18324000000,18324000000,None,1075000000,14742000000,15817000000,2024-12-31,28737000000,13086000000,2437000000,None,1656000000,988000000,None,10631000000,10649000000,-668000000,None,18745000000,9992000000,None,USD,None,9296000000,47061000000
None,18520000000,18520000000,None,1128000000,14479000000,15607000000,2023-12-31,27234000000,12952000000,2249000000,None,1527000000,907000000,None,10714000000,10703000000,-635000000,None,15923000000,11311000000,None,USD,None,8978000000,45754000000
None,18000000000,18000000000,None,1260000000,12568000000,13828000000,2022-12-31,25004000000,11686000000,2115000000,None,882000000,1039000000,None,9542000000,9571000000,-433000000,None,14095000000,10909000000,1659000000,USD,None,8665000000,43004000000
None,15357000000,15357000000,None,1452000000,14022000000,15474000000,2021-12-31,23298000000,12425000000,2621000000,None,1597000000,276000000,None,9771000000,9804000000,-1321000000,None,12990000000,10308000000,3714000000,USD,None,7865000000,38655000000
None,13433000000,13433000000,None,1536000000,11186000000,12722000000,2020-12-31,19581000000,9749000000,1981000000,None,1437000000,89000000,None,7747000000,7768000000,-1067000000,None,10584000000,8997000000,2189000000,USD,None,6563000000,33014000000
None,14619000000,14619000000,None,1365000000,11732000000,13097000000,2019-12-31,22647000000,10786000000,1801000000,None,946000000,563000000,None,8920000000,8985000000,-383000000,None,12561000000,10086000000,1646000000,USD,None,8005000000,37266000000
None,13067000000,13067000000,None,1086000000,9175000000,10261000000,2018-12-31,21233000000,8225000000,1749000000,None,950000000,682000000,None,6434000000,6727000000,-237000000,None,12081000000,9152000000,569000000,USD,0,7013000000,34300000000
None,13721000000,13721000000,None,1260000000,7743000000,9003000000,2017-12-31,22491000000,6890000000,5607000000,None,853000000,677000000,None,1248000000,1182000000,-164000000,None,14736000000,7755000000,82000000,USD,0,8943000000,36212000000
None,16465000000,16465000000,None,1787000000,8869000000,10656000000,2016-12-31,25398000000,8136000000,1586000000,None,733000000,642000000,None,6527000000,6550000000,-91000000,None,16741000000,8657000000,243000000,USD,0,11397000000,41863000000
None,17482000000,17482000000,None,1970000000,10461000000,12431000000,2015-12-31,26812000000,9605000000,2239000000,None,856000000,2031000000,None,7351000000,7366000000,None,None,18084000000,8728000000,1733000000,USD,0,12451000000,44294000000
None,17889000000,17889000000,None,1976000000,9808000000,11784000000,2014-12-31,28109000000,9325000000,2201000000,None,483000000,None,None,7098000000,7124000000,None,None,18401000000,9708000000,100000000,USD,0,13719000000,45998000000
None,18421000000,18421000000,None,1977000000,11940000000,13917000000,2013-12-31,28433000000,11477000000,2851000000,None,463000000,None,None,8584000000,8626000000,None,None,18205000000,10228000000,1712000000,USD,0,227000000,46854000000
None,19053000000,19053000000,None,1982000000,12206000000,14188000000,2012-12-31,28964000000,11809000000,2723000000,None,397000000,None,None,9019000000,9086000000,None,None,18185000000,10779000000,1427000000,USD,0,259000000,48017000000
None,18215000000,18215000000,None,1954000000,11875000000,13829000000,2011-12-31,28327000000,11458000000,2812000000,None,417000000,None,None,8584000000,8634000000,None,None,18154000000,10173000000,1702000000,USD,0,354000000,46542000000
None,12693000000,12693000000,None,1443000000,14940000000,16383000000,2010-12-31,22426000000,14207000000,2370000000,None,733000000,None,None,11787000000,11859000000,None,None,14013000000,8413000000,6527000000,USD,0,380000000,35119000000
None,11088000000,11088000000,None,1236000000,9301000000,10537000000,2009-12-31,19902000000,8946000000,2040000000,None,355000000,None,None,6824000000,6906000000,None,None,11671000000,8231000000,1070000000,USD,0,11358000000,30990000000
None,11374000000,11374000000,None,1228000000,7944000000,9172000000,2008-12-31,20570000000,7506000000,1632000000,None,438000000,None,None,5807000000,None,None,None,12124000000,8446000000,None,USD,None,11774000000,31944000000
None,10406000000,10406000000,None,1163000000,8329000000,9492000000,2007-12-31,18451000000,7873000000,1892000000,None,456000000,None,None,5981000000,None,None,None,11199000000,7252000000,None,USD,None,11199000000,28857000000
None,8164000000,8164000000,None,938000000,6308000000,7246000000,2006-12-31,15924000000,6578000000,1498000000,None,0,None,None,5080000000,None,None,None,9616000000,6308000000,None,USD,None,9616000000,24088000000
None,8195000000,8195000000,None,932000000,6085000000,7017000000,2005-12-31,14909000000,6690000000,1818000000,None,0,None,None,4872000000,None,None,None,8824000000,6085000000,None,USD,None,8824000000,23104000000
