accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,3268400000,3268400000,592400000,904059000,3228600000,None,5117100000,13275400000,None,2024-12-31,5770300000,6166300000,6166300000,7589200000,None,28527100000,None,3215900000,8451900000,20030900000,None,2178200000,17102400000,USD,13545000000,33644200000,5117100000,154800000,78714900000,32739700000,28376600000,64443300000,45975200000,36066700000,14192100000,None
None,None,2818600000,2818600000,593600000,903284000,2598800000,None,6904500000,11336200000,None,2023-12-31,4939700000,6906600000,6906600000,5772800000,None,18320800000,None,3052200000,5690300000,13940700000,None,2240600000,12913600000,USD,10312300000,25225300000,6904500000,109100000,64006300000,25727000000,27293200000,53142600000,38279300000,25849400000,10771900000,-44200000
None,None,2067000000,2067000000,594100000,950182000,1930600000,None,1501100000,8558900000,None,2022-12-31,4073000000,7206600000,7206600000,4309700000,None,14737500000,None,2901800000,2954100000,13231400000,None,6751400000,10144000000,USD,10042600000,16238600000,1501100000,144800000,49489800000,18034500000,17138200000,38714400000,31455300000,21576200000,10649800000,-50500000
None,None,3818500000,3818500000,596300000,953653000,1670600000,None,1538300000,8127200000,None,2021-12-31,3892000000,7691900000,7691900000,3886000000,None,15346400000,None,3212600000,2530600000,11716900000,None,1644300000,8985100000,USD,8958500000,16884700000,1538300000,90100000,48806000000,18452400000,15052700000,39651200000,30353600000,24598500000,8979200000,-52700000
None,None,3657100000,3657100000,598200000,956590000,1606700000,None,8700000,6929000000,None,2020-12-31,3766500000,7450000000,7450000000,3980300000,None,16586600000,None,2966800000,2871500000,10371100000,None,1707500000,8681900000,USD,7830200000,16595300000,8700000,24200000,46633100000,17462100000,12481600000,40807900000,29171000000,28326300000,5641600000,-55700000
None,486700000,2337500000,2337500000,598800000,957526000,1405300000,None,1499300000,5541500000,None,2019-12-31,3679400000,6618000000,6618000000,3190700000,None,13817900000,None,1962400000,2538900000,8693700000,None,8806400000,7872900000,USD,4920400000,15803900000,1515600000,101000000,39286100000,13709600000,11775200000,36587000000,25576500000,24811800000,2606900000,-60800000
None,None,7320700000,7320700000,661000000,1033667000,1207100000,None,1131200000,5776800000,None,2018-12-31,1366600000,1068000000,1068000000,3098100000,None,11639700000,None,2020700000,2146500000,9174800000,None,9471500000,8919500000,USD,11395900000,12741900000,1102200000,88200000,43908400000,20549600000,11888100000,32999300000,23358800000,21111200000,9828700000,-69400000
None,None,6536200000,6536200000,687900000,1052023000,1410700000,None,3706600000,5262200000,None,2017-12-31,4370100000,4029200000,4029200000,4458300000,None,9940500000,None,5678800000,1447500000,8885700000,None,8836700000,8826500000,USD,13894100000,13647100000,3706600000,1497900000,44981000000,19202100000,14535900000,33313100000,25778900000,18777200000,11592200000,-75800000
None,None,4582100000,4582100000,688500000,1100875000,1349300000,None,1937400000,4766300000,None,2016-12-31,3972700000,4357900000,4357900000,3561900000,None,8367800000,None,5207500000,734600000,7580800000,None,5371000000,8252600000,USD,16046300000,10305200000,1937400000,1456500000,38805900000,15101400000,10986600000,24725400000,23704500000,13738800000,14007700000,-80500000
None,None,3666400000,3666400000,691300000,1105267000,1338200000,None,6100000,4071600000,None,2015-12-31,4039900000,5034800000,5034800000,3445800000,None,7972400000,None,3646600000,604400000,6526400000,None,4776600000,8053500000,USD,16011800000,7978500000,6100000,785400000,35568900000,12573600000,8229600000,20978600000,22995300000,12749000000,14571300000,-90000000
None,None,3871600000,3871600000,694600000,1110627000,1128100000,None,157600000,3801300000,None,2014-12-31,1758100000,2884200000,2884200000,2740000000,None,5367700000,None,4568900000,560000000,7297200000,None,5214900000,7963900000,USD,16482700000,8056400000,2688700000,955400000,36307600000,11928300000,11207500000,20919500000,24379300000,11178500000,15373200000,-91400000
None,None,3830200000,3830200000,698500000,1116795000,1119300000,None,None,4022800000,None,2013-12-31,1516800000,2814300000,2814300000,2928800000,None,4200300000,None,None,755800000,6530300000,None,None,7975500000,USD,16992400000,5212900000,1012600000,1567100000,35248700000,13104700000,8916600000,17608000000,22144000000,8691400000,17631400000,-3106800000
None,None,4018800000,4018800000,716600000,1146493000,1188300000,None,None,3888300000,None,2012-12-31,1501300000,3251400000,3251400000,2643800000,None,5519400000,None,6313300000,822300000,7045800000,None,5716100000,7760200000,USD,16088200000,5531300000,11900000,1665500000,34398900000,13038700000,8389500000,19625000000,21360200000,11235500000,14765200000,-192400000
None,None,5922500000,5922500000,724100000,1113967000,1125200000,None,None,4237900000,None,2011-12-31,1434700000,3693400000,3693400000,2299800000,None,5464700000,None,None,813400000,6021800000,None,None,7760300000,USD,14897800000,6987000000,1522300000,974600000,33659800000,14248200000,8930900000,20124200000,19411600000,11193300000,13541700000,-3108400000
None,None,5993200000,5993200000,721300000,1105813000,1072200000,None,None,4158100000,None,2010-12-31,1423900000,3394900000,3394900000,2517700000,None,6770500000,None,1779500000,1437200000,5415700000,None,4716700000,7940700000,USD,12732600000,6926500000,156000000,733800000,31001400000,14840000000,7101400000,18588600000,16161400000,11487200000,12420300000,-96400000
None,None,4462900000,4462900000,718700000,1098367000,968100000,None,None,3831800000,None,2009-12-31,1175000000,2524800000,2524800000,2849900000,None,6634700000,None,None,1307200000,5225900000,None,None,8197400000,USD,9830400000,6662100000,27400000,34700000,27460900000,12486500000,6568100000,17935600000,14974400000,11367500000,9523700000,-3111700000
None,None,5496700000,5496700000,711100000,1094499000,885800000,None,None,3277300000,None,2008-12-31,1167500000,2886600000,2886600000,2493200000,None,4615700000,None,None,756700000,6148400000,None,None,8626300000,USD,7654900000,10462000000,5846300000,429400000,29212600000,12453300000,13109700000,22477300000,16759300000,9367600000,6735300000,-2734200000
None,None,3220500000,3220500000,709500000,1090750000,924400000,None,None,3704800000,None,2007-12-31,745700000,1709700000,1709700000,2523700000,None,4593500000,None,None,1256400000,3691800000,None,None,8575100000,USD,11806700000,5007200000,413700000,1610700000,26787800000,12316100000,5268300000,13370900000,14558700000,7934100000,13503900000,-2735500000
None,None,3109300000,3109300000,707900000,1086816000,789400000,None,None,2694400000,None,2006-12-31,None,130000000,130000000,2270300000,None,3494400000,None,None,838700000,3436100000,None,None,8152300000,USD,10926700000,3713800000,219400000,781700000,21955400000,9694400000,5085500000,10974700000,12261000000,5889200000,10980700000,-2736400000
None,None,3006700000,3006700000,706900000,1093702000,781300000,None,None,2761700000,None,2005-12-31,None,139600000,139600000,1878000000,None,5763500000,None,None,1118400000,3315400000,None,None,7912500000,USD,10027200000,6498200000,734700000,2031000000,24580800000,10795800000,5716300000,13788900000,13785000000,8072600000,10791900000,-2739100000
