capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
8403600000,1230100000,-9301500000,None,None,-2507400000,None,None,None,1766600000,4680400000,4680400000,None,2024-12-31,10590000000,8817900000,None,None,None,None,None,None,None,None,None,-2500000000,None,None,USD
7392100000,3495600000,-7152700000,None,None,-1425000000,None,None,None,1527300000,4069300000,4069300000,None,2023-12-31,5240400000,4240100000,None,None,None,None,None,None,None,None,None,-750000000,None,None,USD
2484000000,-5406700000,-3762900000,-1583900000,None,-599700000,None,None,-299600000,1522500000,3535800000,3535800000,None,2022-12-31,6244800000,7084400000,None,None,None,None,None,None,None,None,None,-1500000000,None,None,USD
1873200000,-4131300000,-2867500000,None,None,-235900000,None,None,None,1547600000,3086800000,3086800000,None,2021-12-31,5581700000,7260700000,None,None,None,None,None,None,None,None,None,-1250000000,None,None,USD
2029100000,-3137100000,-2258900000,None,None,-533400000,None,None,None,1323900000,2687100000,2687100000,None,2020-12-31,6193700000,6499600000,None,None,None,None,None,None,None,None,None,-500000000,None,None,USD
1353500000,-2324500000,-8082900000,-5660700000,-89900000,-258700000,None,None,-127200000,1232600000,2409800000,2409800000,None,2019-12-31,8318400000,4836600000,None,None,None,None,None,None,None,None,None,-4400000000,None,None,USD
3018200000,-5904900000,1906000000,1462000000,-63600000,7800000,None,None,-996700000,1609000000,2311800000,2311800000,None,2018-12-31,3232000000,5524500000,None,None,None,None,None,None,None,None,None,-4150700000,None,None,USD
2163600000,142600000,-3783600000,1954100000,-20500000,-253900000,None,None,-357000000,1567300000,2192100000,2192100000,None,2017-12-31,-204100000,5615600000,None,None,None,None,None,None,None,None,None,-299800000,None,None,USD
1092000000,-559800000,-3139100000,915700000,-236400000,-328200000,None,None,-709400000,1496600000,2158500000,2158500000,None,2016-12-31,2737600000,4851000000,None,None,None,None,None,None,None,None,None,-600100000,None,None,USD
1626200000,-2919200000,26800000,-205200000,-85600000,-736300000,None,None,-304500000,1427700000,2127300000,2127300000,None,2015-12-31,2408400000,2964600000,None,None,None,None,None,None,None,None,None,-749500000,None,None,USD
1565900000,-166400000,-3909100000,41400000,-341500000,-307100000,None,None,117400000,1379000000,2101200000,2101200000,None,2014-12-31,2390500000,4458400000,None,None,None,None,None,None,None,None,None,-800000000,None,None,USD
1093300000,-3829300000,-2072800000,None,None,-286500000,None,None,None,1445600000,2120700000,2120700000,None,2013-12-31,4684800000,5735000000,None,None,None,None,None,None,None,None,None,-1698100000,None,None,USD
1044200000,-4419600000,-2832800000,-1903700000,43900000,-307900000,None,None,361800000,1462200000,2187400000,2187400000,None,2012-12-31,4088600000,5304800000,None,None,None,None,None,None,None,None,None,-721100000,None,None,USD
1692900000,-2369900000,-4824400000,None,None,203100000,None,None,None,1373600000,2180100000,2180100000,None,2011-12-31,4347700000,7234500000,None,None,None,None,None,None,None,None,None,0,None,None,USD
1186700000,-2021900000,-3159800000,1530300000,-144800000,157000000,None,None,-319100000,1328200000,2165300000,2165300000,None,2010-12-31,5069500000,6856800000,None,None,None,None,None,None,None,None,None,0,None,None,USD
855000000,-5533700000,142800000,None,None,-179000000,None,None,None,1297800000,2152100000,2152100000,None,2009-12-31,4328800000,4335500000,None,None,None,None,None,None,None,None,None,0,None,None,USD
947200000,2346000000,-7268800000,None,None,84800000,None,None,None,1122600000,2056699999,2056699999,None,2008-12-31,-2071900000,7295600000,None,None,None,None,None,None,None,None,None,None,None,None,USD
1082400000,-844900000,-4328100000,None,None,154300000,None,None,None,1047900000,1853600000,1853600000,None,2007-12-31,2953000000,5154500000,None,None,None,None,None,None,None,None,None,None,None,None,USD
1077800000,-4578800000,608400000,None,None,-60200000,None,None,None,801800000,1736300000,1736300000,None,2006-12-31,2662700000,3975900000,None,None,None,None,None,None,None,None,None,-122100000,None,None,USD
1298100000,-1880500000,-2215900000,None,None,72100000,None,None,None,726400000,1654900000,1654900000,None,2005-12-31,1979600000,1913600000,None,None,None,None,None,None,None,None,None,-377900000,None,None,USD
