comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,8418300000,8418300000,None,1766600000,13461000000,15227600000,2024-12-31,36624400000,12680400000,2090400000,None,780600000,175200000,None,10590000000,10590000000,-605400000,None,19122700000,17501700000,None,USD,10990600000,8132100000,45042700000
None,7082200000,7082200000,None,1527300000,7040500000,8567800000,2023-12-31,27041900000,6554600000,1314200000,None,485900000,173600000,None,5240400000,5240400000,-312300000,None,16254600000,10787300000,None,USD,9313400000,6941200000,34124100000
None,6629800000,6629800000,None,1522500000,7138000000,8660500000,2022-12-31,21911600000,6806400000,561600000,None,331600000,268800000,None,6244800000,6244800000,-268800000,None,13258300000,8653300000,-320900000,USD,7190800000,6067500000,28541400000
None,7312800000,7312800000,None,1547600000,6495300000,8042900000,2021-12-31,21005600000,6155500000,573800000,None,339800000,314400000,None,5581700000,5581700000,-314400000,None,13072600000,7933000000,None,USD,6930700000,6141900000,28318400000
None,5483300000,5483300000,None,1323900000,7589500000,8913400000,2020-12-31,19056500000,7229900000,1036200000,None,359600000,326600000,None,6193700000,6193700000,-326600000,None,11845700000,7210800000,None,USD,5976300000,5869400000,24539800000
None,4721200000,4721200000,None,1232600000,5666500000,6899100000,2019-12-31,17598300000,5265900000,628000000,None,400600000,80400000,None,8318400000,4637900000,-320200000,None,11598900000,5999400000,291600000,USD,5595000000,6003900000,22319500000
None,4681700000,4681700000,None,1609000000,3922600000,5531600000,2018-12-31,16811600000,3680100000,529500000,None,242500000,161300000,None,3232000000,3232000000,-110800000,None,10785800000,6025800000,74800000,USD,5051200000,5734600000,21493300000
None,4447700000,4447700000,None,1567300000,2529800000,4097100000,2017-12-31,15526100000,2304800000,2391200000,None,225000000,167300000,None,-204100000,-204100000,-57700000,None,11276300000,4249800000,52400000,USD,5096200000,6180100000,19973800000
None,5710100000,5710100000,None,1496600000,3559200000,5055800000,2016-12-31,15512000000,3374000000,636400000,None,185200000,108700000,None,2737600000,2737600000,-76500000,None,11640700000,3871300000,-84800000,USD,5310300000,6330400000,21222100000
None,5037200000,5037200000,None,1427700000,2951200000,4378900000,2015-12-31,14921500000,2790000000,381600000,None,161200000,74200000,None,2408400000,2408400000,None,None,11329400000,3592100000,100600000,USD,4796400000,6533000000,19958700000
None,4932500000,4932500000,None,1379000000,3149100000,4528100000,2014-12-31,14683100000,3000300000,609800000,None,148800000,None,None,2390500000,2390500000,None,None,11354400000,3328700000,340500000,USD,4733600000,6620800000,19615600000
None,4908100000,4908100000,None,1445600000,6049400000,7495000000,2013-12-31,18205000000,5889300000,1204500000,None,160100000,None,None,4684800000,None,None,None,12656900000,5548100000,None,USD,5531300000,7125600000,23113100000
None,4796500000,4796500000,None,1462200000,5586000000,7048200000,2012-12-31,17806900000,5408200000,1319600000,None,177800000,None,None,4088600000,4088600000,None,None,12791600000,5015300000,674000000,USD,5278100000,7513500000,22603400000
None,5067900000,5067900000,None,1373600000,5535500000,6909100000,2011-12-31,19218600000,5349500000,1001800000,None,186000000,None,None,4347700000,None,None,None,12900700000,6317900000,None,USD,5020800000,7879900000,24286500000
None,4366200000,4366200000,None,1328200000,6710700000,8038900000,2010-12-31,18709800000,6525200000,1455700000,None,185500000,None,None,5069500000,5069500000,None,None,11937600000,6772200000,5000000,USD,4884200000,7053400000,23076000000
None,4247000000,4247000000,None,1297800000,5619100000,6916900000,2009-12-31,17589000000,5357800000,1029000000,None,261300000,None,None,4328800000,None,None,None,11219000000,6370000000,None,USD,4326500000,6892500000,21836000000
None,4376700000,4376700000,None,1122600000,-1079300000,43300000,2008-12-31,15995200000,-1307600000,764300000,None,228300000,None,None,-2071900000,None,None,None,10467300000,5527900000,None,USD,3840900000,6626400000,20371900000
None,4248800000,4248800000,None,1047900000,4802900000,5850800000,2007-12-31,14384700000,3876800000,923800000,None,0,None,None,2953000000,None,None,None,9581800000,4802900000,None,USD,3486700000,6095100000,18633500000
None,3546500000,3546500000,None,801800000,4125400000,4927200000,2006-12-31,12144500000,3418000000,755300000,None,0,None,None,2662700000,None,None,None,8019100000,4125400000,None,USD,3129300000,4889800000,15691000000
None,3474200000,3474200000,None,726400000,3648600000,4375000000,2005-12-31,11171100000,2717500000,715900000,None,105200000,None,None,1979600000,None,None,None,7522500000,3648600000,None,USD,3025500000,4497000000,14645300000
