accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,8442000000,8442000000,141100,927000000,929000000,None,750000000,3773000000,None,2024-12-31,9193000000,5453000000,5453000000,None,None,17476000000,None,1607000000,7179000000,17541000000,None,4553000000,2138000000,USD,72907000000,18226000000,750000000,330000000,48081000000,19724000000,19220000000,41566000000,28357000000,22346000000,6485000000,None
None,None,8588000000,8588000000,93400,946000000,834000000,None,1337000000,4060000000,None,2023-12-31,7660000000,4086000000,4086000000,1845000000,None,14344000000,None,1729000000,5721000000,13607000000,None,4474000000,2061000000,USD,62564000000,15681000000,1337000000,592000000,42448000000,18961000000,16264000000,35451000000,23487000000,19187000000,6929000000,None
None,None,7008000000,7008000000,140700,971000000,926000000,None,274000000,3425000000,None,2022-12-31,7522000000,3859000000,3859000000,2157000000,None,13749000000,None,1730000000,5773000000,12692000000,None,4034000000,2006000000,USD,53607000000,14023000000,274000000,400000000,38724000000,16606000000,14171000000,32347000000,22118000000,18176000000,6298000000,-51354000000
None,None,7421000000,7421000000,140500,992000000,738000000,None,792000000,3006000000,None,2021-12-31,7662000000,3671000000,3671000000,2459000000,None,13109000000,None,1834000000,6049000000,11295000000,None,3591000000,1907000000,USD,45648000000,13901000000,792000000,473000000,37669000000,16949000000,13162000000,30257000000,20720000000,17095000000,7312000000,-42588000000
None,None,10113000000,10113000000,141000,1006000000,527000000,None,649000000,2646000000,None,2020-12-31,4960000000,1753000000,1753000000,2282000000,None,12023000000,None,1172000000,5871000000,10463000000,None,3111000000,1902000000,USD,38747000000,12672000000,649000000,483000000,33584000000,19113000000,11847000000,27067000000,14471000000,15220000000,6391000000,-36658000000
None,None,6988000000,6988000000,140000,1022000000,489000000,None,None,5509000000,None,2019-12-31,4021000000,1417000000,1417000000,1954000000,None,8527000000,None,914000000,1763000000,11415000000,None,2729000000,1828000000,USD,33984000000,9897000000,1370000000,688000000,29236000000,16902000000,11904000000,23245000000,12334000000,11341000000,5893000000,-32205000000
None,None,6682000000,6682000000,0,1047000015,537000000,None,500000000,4728000000,None,2018-12-31,2904000000,991000000,991000000,None,None,5834000000,None,337000000,3065000000,10180000000,None,1877000000,921000000,USD,27283000000,6334000000,500000000,1696000000,24860000000,16171000000,11593000000,19371000000,8689000000,7778000000,5395000000,-25750000000
None,None,5933000000,5933000000,0,1072000016,933000000,None,5424000000,3344000000,None,2017-12-31,3035000000,1120000000,1120000000,1631000000,None,5424000000,None,249000000,1040000000,7860000000,None,1438000000,829000000,USD,22364000000,5424000000,5424000000,1849000000,21329000000,13797000000,8793000000,15761000000,7532000000,6968000000,5468000000,-20764000000
None,None,6721000000,6721000000,0,1101000016,609000000,None,5180000000,2509000000,None,2016-12-31,1756000000,722000000,722000000,1534000000,None,5180000000,None,132000000,850000000,6597000000,None,524000000,733000000,USD,19418000000,5180000000,5180000000,1614000000,18675000000,13228000000,7206000000,12991000000,5447000000,5785000000,5656000000,-17021000000
None,None,5747000000,5747000000,0,1137000017,472000000,None,3268000000,2147000000,None,2015-12-31,1891000000,803000000,803000000,1436000000,None,3287000000,None,166000000,664000000,5797000000,None,572000000,675000000,USD,16222000000,6555000000,3268000000,991000000,16269000000,10985000000,6269000000,10207000000,5284000000,3938000000,6028000000,-13522000000
