capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
474000000,-10836000000,-3402000000,None,None,None,None,None,None,897000000,2448000000,2448000000,None,2024-12-31,12874000000,14780000000,None,None,None,None,None,None,None,None,None,-11035000000,None,None,USD
371000000,-9488000000,-1351000000,None,None,-823000000,None,None,None,799000000,2158000000,2158000000,None,2023-12-31,11195000000,11980000000,None,None,None,None,None,None,None,None,None,-9032000000,None,None,USD
1097000000,-10328000000,-1470000000,-603000000,None,None,None,None,-481000000,750000000,1903000000,1903000000,None,2022-12-31,9930000000,11195000000,None,None,None,None,None,None,None,None,None,-8753000000,None,None,USD
814000000,-6555000000,-5272000000,-2364000000,None,-1440000000,None,None,-397000000,726000000,1741000000,1741000000,None,2021-12-31,8687000000,9463000000,None,None,None,None,None,None,None,None,None,-5904000000,None,None,USD
708000000,-2152000000,-1879000000,3193000000,None,-3020000000,None,None,-86000000,580000000,1605000000,1605000000,None,2020-12-31,6411000000,7224000000,None,None,None,None,None,None,None,None,None,-4473000000,None,None,USD
728000000,-5867000000,-1640000000,676000000,None,-1389000000,None,None,-246000000,522000000,1345000000,1345000000,None,2019-12-31,8118000000,8183000000,None,None,None,None,None,None,None,None,None,-6497000000,None,None,USD
504000000,-4966000000,-506000000,751000000,None,-601000000,None,None,-317000000,459000000,1044000000,1044000000,None,2018-12-31,5859000000,6223000000,None,None,None,None,None,None,None,None,None,-4933000000,None,None,USD
423000000,-4764000000,-1779000000,-788000000,200000000,143000000,None,None,-445000000,437000000,942000000,942000000,None,2017-12-31,3915000000,5555000000,None,None,None,None,None,None,None,None,None,-3762000000,None,None,USD
382000000,-2293000000,-1167000000,974000000,-50000000,-471000000,None,None,-338000000,373000000,837000000,837000000,None,2016-12-31,4059000000,4484000000,None,None,None,None,None,None,None,None,None,-3511000000,None,None,USD
342000000,-2458000000,-715000000,610000000,-260000000,-740000000,None,None,-35000000,366000000,727000000,727000000,None,2015-12-31,3808000000,4043000000,None,None,None,None,None,None,None,None,None,-3518000000,None,None,USD
334000000,-2339000000,690000000,1538000000,-220000000,-1215000000,None,None,-164000000,321000000,515000000,515000000,None,2014-12-31,3617000000,3407000000,None,None,None,None,None,None,None,None,None,-3386000000,None,None,USD
299000000,-2629000000,-4000000,1547000000,45000000,880000000,None,None,-42000000,258000000,255000000,255000000,None,2013-12-31,3116000000,4135000000,None,None,None,None,None,None,None,None,None,-2443000000,None,None,USD
218000000,-1798000000,-2839000000,-1682000000,7000000,259000000,None,None,-121000000,230000000,132000000,132000000,None,2012-12-31,2758000000,2948000000,None,None,None,None,None,None,None,None,None,-1748000000,None,None,USD
177000000,-1215000000,-748000000,667000000,-54000000,790000000,None,None,-162000000,194000000,77000000,77000000,None,2011-12-31,1904000000,2684000000,None,None,None,None,None,None,None,None,None,-1148000000,None,None,USD
151000000,19000000,-641000000,1012000000,-63000000,-436000000,None,None,-115000000,148000000,79000000,79000000,None,2010-12-31,1847000000,1697000000,None,None,None,None,None,None,None,None,None,11000000,None,None,USD
139360000,-184940000,-664180000,550279000,21237000,-779264000,None,None,122445000,141377000,79000000,79000000,None,2009-12-31,1462624000,1378162000,None,None,None,None,None,None,None,None,None,-4620000,None,None,USD
170273000,-751378000,201651000,None,None,-151569000,None,None,None,112006000,79259000,79259000,None,2008-12-31,-253915000,413228000,None,None,None,None,None,None,None,None,None,-649468000,None,None,USD
156422000,-657507000,315141000,None,None,-197286000,None,None,None,97642000,74002000,74002000,None,2007-12-31,1085886000,769861000,None,None,None,None,None,None,None,None,None,-600532000,None,None,USD
94468000,637600000,-676226000,None,None,161692000,None,None,None,99782000,12373000,12373000,None,2006-12-31,50190000,650161000,None,None,None,None,None,None,None,None,None,-1799937000,None,None,USD
82003000,None,-33655000,None,None,159812000,None,None,None,109936000,None,None,None,2005-12-31,266719000,272848000,None,None,None,None,None,None,None,None,None,None,None,None,USD
