comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,6673000000,6673000000,None,897000000,15900000000,16797000000,2024-12-31,21494000000,15254000000,2380000000,None,646000000,348000000,None,12874000000,12874000000,-646000000,None,5912000000,15582000000,None,USD,None,3455000000,28167000000
None,6022000000,6022000000,None,799000000,14214000000,15013000000,2023-12-31,19076000000,13639000000,2444000000,None,575000000,362000000,None,11195000000,11195000000,-575000000,None,5068000000,14008000000,None,USD,None,2822000000,25098000000
None,5263000000,5263000000,None,750000000,12203000000,12953000000,2022-12-31,16974000000,11732000000,1802000000,None,471000000,555000000,None,9930000000,9930000000,-471000000,None,4710000000,12264000000,-61000000,USD,None,2713000000,22237000000
None,4489000000,4489000000,None,726000000,10738000000,11464000000,2021-12-31,14395000000,10307000000,1620000000,None,431000000,225000000,None,8687000000,8687000000,-431000000,None,4313000000,10082000000,656000000,USD,None,2547000000,18884000000
None,3787000000,3787000000,None,580000000,8140000000,8720000000,2020-12-31,11514000000,7760000000,1349000000,None,380000000,326000000,None,6411000000,6411000000,-380000000,None,3433000000,8081000000,59000000,USD,None,2114000000,15301000000
None,3537000000,3537000000,None,522000000,9955000000,10477000000,2019-12-31,13346000000,9731000000,1613000000,None,224000000,40000000,None,8118000000,8118000000,-224000000,None,3682000000,9664000000,291000000,USD,None,2194000000,16883000000
None,3214000000,3214000000,None,459000000,7390000000,7849000000,2018-12-31,11736000000,7204000000,1345000000,None,186000000,64000000,None,5859000000,5859000000,-186000000,None,4454000000,7282000000,108000000,USD,0,1996000000,14950000000
None,2687000000,2687000000,None,437000000,6676000000,7113000000,2017-12-31,9810000000,6522000000,2607000000,None,154000000,98000000,None,3915000000,3915000000,-154000000,None,3188000000,6622000000,54000000,USD,0,1860000000,12497000000
None,2225000000,2225000000,None,373000000,5741000000,6114000000,2016-12-31,8551000000,5646000000,1587000000,None,95000000,52000000,None,4059000000,4059000000,-95000000,None,2790000000,5761000000,-20000000,USD,0,1568000000,10776000000
None,2105000000,2105000000,None,366000000,5019000000,5385000000,2015-12-31,7562000000,4958000000,1150000000,None,61000000,36000000,None,3808000000,3808000000,None,None,2484000000,5078000000,-59000000,USD,0,1318000000,9667000000
None,2064000000,2064000000,None,321000000,5127000000,5448000000,2014-12-31,7377000000,5079000000,1462000000,None,48000000,None,None,3617000000,3617000000,None,None,2271000000,5106000000,21000000,USD,0,1118000000,9441000000
None,1739000000,1739000000,None,258000000,4514000000,4772000000,2013-12-31,6573000000,4500000000,1384000000,None,14000000,None,None,3116000000,3116000000,None,None,2070000000,4503000000,11000000,USD,0,874000000,8312000000
None,1565000000,1565000000,None,230000000,3953000000,4183000000,2012-12-31,5826000000,3933000000,1174000000,None,20000000,None,None,2759000000,2758000000,None,None,1889000000,3937000000,15000000,USD,0,837000000,7391000000
None,1453000000,1453000000,None,194000000,2773000000,2967000000,2011-12-31,5261000000,2748000000,842000000,None,25000000,None,None,1906000000,1904000000,None,None,2548000000,2713000000,58000000,USD,0,756000000,6714000000
None,1219000000,1219000000,None,148000000,2752000000,2900000000,2010-12-31,4320000000,2757000000,910000000,None,52000000,None,None,1846000000,1847000000,None,None,2787000000,2752000000,57000000,USD,0,1857000000,5539000000
None,2677207000,2677207000,None,141000000,2333000000,2474000000,2009-12-31,5099000000,2218000000,755000000,None,115000000,None,None,1463000000,1462624000,None,None,2839000000,2260000000,73052000,USD,0,1935000000,5099000000
None,2931254000,2931254000,None,112006000,-279613000,-167607000,2008-12-31,4991600000,-383213000,-129298000,None,103600000,None,None,-253915000,None,None,None,5526105000,-534505000,None,USD,None,1996512000,4991600000
None,2858445000,2858445000,None,97642000,1108112000,1205754000,2007-12-31,4067599000,1671432000,585546000,None,57277000,None,None,1085886000,None,None,None,2959487000,1108112000,None,USD,None,1758388000,4067599000
None,2557055000,2557055000,None,99782000,229495000,329277000,2006-12-31,3326074000,294172000,243982000,None,61151000,None,None,50190000,None,None,None,3096579000,229495000,None,USD,None,1505185000,3326074000
None,2340287000,2340287000,None,109936000,393184000,503120000,2005-12-31,2937628000,407338000,140619000,None,70158000,None,None,266719000,None,None,None,2544444000,393184000,None,USD,None,1351082000,2937628000
