accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,20234000000,43889000000,43889000000,None,2614000000,7687000000,None,None,16994000000,None,2024-12-31,20654000000,915000000,915000000,None,None,28826000000,None,6070000000,5236000000,13980000000,None,2716000000,None,USD,102506000000,49060000000,1942000000,33926000000,276054000000,100045000000,33596000000,93417000000,176009000000,59821000000,182637000000,None
None,18849000000,41862000000,41862000000,None,2629000000,4849000000,None,None,16169000000,None,2023-12-31,20654000000,788000000,788000000,None,None,18385000000,None,6141000000,3793000000,21833000000,None,1370000000,None,USD,82070000000,37234000000,1623000000,23541000000,229623000000,85365000000,31960000000,76455000000,144258000000,44495000000,153168000000,None
None,16668000000,14681000000,14681000000,64444000000,2702000000,4990000000,None,None,13466000000,None,2022-12-31,20306000000,897000000,897000000,None,None,9923000000,None,6201000000,5345000000,4906000000,None,15301000000,92191000000,USD,64799000000,26591000000,1367000000,26057000000,185727000000,59549000000,27026000000,60014000000,126178000000,32988000000,125713000000,None
None,13873000000,16601000000,16601000000,55811000000,2859000000,4083000000,None,None,14039000000,None,2021-12-31,19197000000,634000000,634000000,None,None,None,None,6775000000,4629000000,15364000000,None,19973000000,69964000000,USD,69761000000,13873000000,1127000000,31397000000,165987000000,66666000000,21135000000,41108000000,99321000000,19973000000,124879000000,None
None,10654000000,17576000000,17576000000,50018000000,2888000000,1331000000,None,None,11335000000,None,2020-12-31,19050000000,623000000,623000000,None,None,None,None,6234000000,2381000000,12245000000,None,16045000000,54981000000,USD,77345000000,10654000000,1023000000,44378000000,159316000000,75670000000,14981000000,31026000000,83646000000,16045000000,128290000000,None
None,10324000000,19079000000,19079000000,45851000000,2876000000,1363000000,None,277000000,9518000000,None,2019-12-31,18715000000,894000000,894000000,None,None,None,None,None,1852000000,12621000000,None,17269000000,44783000000,USD,55692000000,10324000000,800000000,35776000000,133376000000,66225000000,15053000000,32322000000,67151000000,17269000000,101054000000,None
None,None,10019000000,10019000000,42906000000,2921000000,820000000,None,500000000,7587000000,None,2018-12-31,18301000000,1294000000,1294000000,None,None,None,None,None,1779000000,5550000000,None,6190000000,24683000000,USD,41981000000,500000000,500000000,31095000000,97334000000,50480000000,7017000000,13207000000,46854000000,6190000000,84127000000,None
None,None,8079000000,8079000000,40584000000,2956000000,380000000,None,390000000,5832000000,None,2017-12-31,18221000000,1884000000,1884000000,0,None,72000000,None,None,1020000000,3282000000,None,6417000000,13721000000,USD,33990000000,72000000,2081000000,33632000000,84524000000,48563000000,3760000000,10177000000,35961000000,6417000000,74347000000,0
None,0,8903000000,8903000000,38227000000,2925000000,302000000,None,280000000,3993000000,None,2016-12-31,18122000000,2535000000,2535000000,0,None,112000000,None,None,959000000,2483000000,None,2892000000,8591000000,USD,21670000000,None,1247000000,20546000000,64961000000,34401000000,2875000000,5767000000,30560000000,2892000000,59194000000,0
None,107000000,4907000000,4907000000,34886000000,2853000000,196000000,None,315000000,2559000000,None,2015-12-31,18026000000,3246000000,3246000000,0,None,107000000,None,None,659000000,1465000000,None,3157000000,5687000000,USD,9787000000,315000000,208000000,13527000000,49407000000,21652000000,1925000000,5189000000,27755000000,3264000000,44218000000,0
None,119000000,4315000000,4315000000,30225000000,2664000000,176000000,None,233000000,1678000000,None,2014-12-31,17981000000,3929000000,3929000000,0,None,119000000,None,None,513000000,1068000000,None,2545000000,3967000000,USD,6099000000,233000000,114000000,6884000000,40184000000,13390000000,1424000000,4088000000,26514000000,2664000000,36096000000,0
None,237000000,3323000000,3323000000,12297000000,2517000000,87000000,None,None,1109000000,None,2013-12-31,839000000,883000000,883000000,0,None,237000000,None,None,512000000,446000000,None,1088000000,2882000000,USD,3159000000,476000000,478000000,8126000000,17895000000,13070000000,1100000000,2425000000,4825000000,1325000000,15470000000,0
None,491000000,2384000000,2384000000,0,3200000000,65000000,None,None,1170000000,None,2012-12-31,587000000,801000000,801000000,0,None,1500000000,None,None,471000000,-224000000,None,305000000,2391000000,USD,1659000000,2356000000,730000000,7242000000,15103000000,11267000000,1052000000,3348000000,3836000000,2296000000,11755000000,0
None,None,1512000000,1512000000,None,2347042529,63000000,None,None,547000000,None,2011-12-31,82000000,80000000,80000000,None,None,398000000,None,None,149000000,467000000,None,None,1475000000,USD,1606000000,677000000,279000000,2396000000,6331000000,4604000000,899000000,1432000000,1727000000,533000000,4899000000,None
None,None,1785000000,1785000000,None,2347042528,29000000,None,None,373000000,None,2010-12-31,37000000,59000000,59000000,None,None,367000000,None,None,88000000,212000000,None,None,574000000,USD,606000000,473000000,106000000,None,2990000000,2246000000,389000000,828000000,744000000,439000000,2162000000,None
None,None,None,None,None,2138085036,None,None,None,None,None,2009-12-31,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,2138085036,None,None,None,None,None,2008-12-31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,2138085036,None,None,None,None,None,2007-12-31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
