capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
37256000000,-40781000000,-47150000000,None,None,None,None,None,None,15498000000,5072000000,5072000000,None,2024-12-31,62360000000,91328000000,None,None,None,None,None,None,None,None,None,-30125000000,None,None,USD
27266000000,-19500000000,-24495000000,None,None,None,None,None,None,11178000000,0,0,None,2023-12-31,39098000000,71113000000,None,None,None,None,None,None,None,None,None,-19774000000,None,None,USD
31431000000,-22136000000,-28970000000,-631000000,None,None,None,None,231000000,8686000000,0,0,None,2022-12-31,23200000000,50475000000,None,None,None,None,None,None,None,None,None,-27956000000,None,None,USD
18567000000,-50728000000,-7570000000,-615000000,None,2187000000,None,None,-3110000000,7967000000,0,0,None,2021-12-31,39370000000,57683000000,None,None,None,None,None,None,None,None,None,-44537000000,None,None,USD
15115000000,-10292000000,-30059000000,-1604000000,None,-1302000000,None,None,-1512000000,6862000000,0,0,None,2020-12-31,29146000000,38747000000,None,None,None,None,None,None,None,None,None,-6272000000,None,None,USD
15102000000,-7299000000,-19864000000,9151000000,None,8975000000,None,None,-1961000000,5741000000,2337000000,2337000000,None,2019-12-31,18485000000,36314000000,None,None,None,None,None,None,None,None,None,-4202000000,None,None,USD
13915000000,-15572000000,-11603000000,2099000000,None,91000000,None,None,-1892000000,4315000000,0,0,None,2018-12-31,22112000000,29274000000,None,None,None,None,None,None,None,None,None,-12879000000,None,None,USD
6733000000,-5235000000,-20038000000,-824000000,233000000,3449000000,None,None,-1609000000,3025000000,0,0,None,2017-12-31,15934000000,24216000000,None,None,None,None,None,None,None,None,None,-1976000000,None,None,USD
4491000000,-310000000,-11739000000,3996000000,-63000000,2198000000,None,None,-1489000000,2342000000,0,0,None,2016-12-31,10217000000,16108000000,None,None,None,None,None,None,None,None,None,-6000000,None,None,USD
2523000000,1582000000,-9434000000,592000000,-155000000,1748000000,None,None,-973000000,1945000000,0,0,None,2015-12-31,3688000000,8599000000,None,None,None,None,None,None,None,None,None,-20000000,None,None,USD
1831000000,1571000000,-5913000000,992000000,-123000000,307000000,None,None,-610000000,1243000000,0,0,None,2014-12-31,2940000000,5457000000,None,None,None,None,None,None,None,None,None,18000000,None,None,USD
1362000000,-667000000,-2624000000,939000000,8000000,1020000000,None,None,-378000000,1011000000,0,0,None,2013-12-31,1500000000,4222000000,None,None,None,None,None,None,None,None,None,-889000000,None,None,USD
1235000000,6283000000,-7024000000,872000000,1000000,-262000000,None,None,-170000000,649000000,0,0,None,2012-12-31,53000000,1612000000,None,None,None,None,None,None,None,None,None,-2862000000,None,None,USD
606000000,1198000000,-3023000000,None,None,103000000,None,None,None,323000000,0,0,None,2011-12-31,1000000000,1549000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
293000000,781000000,-324000000,None,None,67000000,None,None,None,139000000,0,0,None,2010-12-31,606000000,698000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
33000000,243000000,-62000000,None,None,None,None,None,None,78000000,None,None,None,2009-12-31,122000000,155000000,None,None,None,None,None,None,None,None,None,None,None,None,None
