comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,30161000000,30161000000,None,15498000000,71378000000,86876000000,2024-12-31,134340000000,70663000000,8303000000,None,715000000,2517000000,None,62360000000,62360000000,1973000000,None,64960000000,69380000000,None,USD,43873000000,9740000000,164501000000
None,25959000000,25959000000,None,10382000000,46751000000,57133000000,2023-12-31,108943000000,47428000000,8330000000,None,446000000,1639000000,None,39098000000,29734000000,677000000,None,62192000000,46751000000,-150000000,USD,38483000000,11408000000,134902000000
None,25249000000,25249000000,None,8686000000,28944000000,37630000000,2022-12-31,91360000000,28819000000,5619000000,None,185000000,461000000,None,23200000000,23200000000,-125000000,None,62416000000,28944000000,-320000000,USD,35338000000,11816000000,116609000000
None,22649000000,22649000000,None,7967000000,46753000000,54720000000,2021-12-31,95280000000,47284000000,7914000000,None,461000000,484000000,None,39370000000,39370000000,531000000,None,48527000000,46753000000,210000000,USD,24655000000,9829000000,117929000000
None,16692000000,16692000000,None,6862000000,32671000000,39533000000,2020-12-31,69273000000,33180000000,4034000000,None,672000000,672000000,None,29146000000,29146000000,509000000,None,36602000000,32671000000,-34000000,USD,18447000000,6564000000,85965000000
None,12770000000,12770000000,None,5741000000,23986000000,29727000000,2019-12-31,57927000000,24812000000,6327000000,None,20000000,924000000,None,18485000000,18485000000,826000000,None,33941000000,23986000000,27000000,USD,13600000000,10465000000,70697000000
None,9355000000,9355000000,None,4315000000,24913000000,29228000000,2018-12-31,46483000000,25361000000,3249000000,None,9000000,661000000,None,22112000000,22112000000,448000000,None,21570000000,24913000000,-204000000,USD,10273000000,3451000000,55838000000
None,5454000000,5454000000,None,3025000000,20203000000,23228000000,2017-12-31,35199000000,20594000000,4660000000,None,6000000,398000000,None,15934000000,15934000000,391000000,None,14996000000,20203000000,-1000000,USD,7754000000,2517000000,40653000000
None,3789000000,3789000000,None,2342000000,12427000000,14769000000,2016-12-31,23849000000,12518000000,2301000000,None,10000000,176000000,None,10217000000,10217000000,91000000,None,11422000000,12427000000,-75000000,USD,5919000000,1731000000,27638000000
None,2867000000,2867000000,None,1945000000,6225000000,8170000000,2015-12-31,15061000000,6194000000,2506000000,None,23000000,52000000,None,3688000000,3688000000,-31000000,None,8836000000,6225000000,6000000,USD,4816000000,1295000000,17928000000
None,2153000000,2153000000,None,1243000000,4994000000,6237000000,2014-12-31,10313000000,4910000000,1970000000,None,23000000,27000000,None,2940000000,2940000000,-84000000,None,5319000000,4994000000,-1000000,USD,2666000000,973000000,12466000000
None,1875000000,1875000000,None,1011000000,2804000000,3815000000,2013-12-31,5997000000,2754000000,1254000000,None,56000000,19000000,None,1500000000,1500000000,-50000000,None,3193000000,2804000000,1000000,USD,1415000000,781000000,7872000000
None,1364000000,1364000000,None,649000000,538000000,1187000000,2012-12-31,3725000000,494000000,441000000,None,51000000,0,None,53000000,53000000,-44000000,None,3187000000,538000000,7000000,USD,1399000000,892000000,5089000000
None,860000000,860000000,None,323000000,1756000000,2079000000,2011-12-31,2851000000,1695000000,695000000,None,42000000,0,None,1000000000,None,-61000000,None,1095000000,1756000000,-19000000,USD,388000000,280000000,3711000000
None,493000000,493000000,None,139000000,1032000000,1171000000,2010-12-31,1481000000,1008000000,402000000,None,22000000,0,None,606000000,None,-24000000,None,449000000,1032000000,-2000000,USD,144000000,138000000,1974000000
None,223000000,223000000,None,78000000,264000000,342000000,2009-12-31,554000000,254000000,25000000,None,10000000,None,None,122000000,None,None,None,292000000,262000000,None,None,87000000,205000000,777000000
None,124000000,124000000,None,None,None,-55000000,2008-12-31,148000000,-56000000,None,None,1000000,None,None,-56000000,None,None,None,203000000,-55000000,None,None,47000000,156000000,272000000
None,41000000,41000000,None,None,None,-124000000,2007-12-31,112000000,-135000000,3000000,None,11000000,None,None,-138000000,None,None,None,236000000,-124000000,None,None,81000000,155000000,153000000
