accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,17437000000,30242000000,30242000000,109095000000,7465000000,27724000000,None,2999000000,69905000000,None,2025-06-30,119509000000,22604000000,22604000000,938000000,None,40152000000,None,15133000000,25723000000,45940000000,None,45186000000,229789000000,USD,237731000000,60588000000,2999000000,64323000000,619003000000,191131000000,141218000000,275524000000,427872000000,134306000000,343479000000,None
None,15497000000,18315000000,18315000000,100923000000,7469000000,21996000000,None,8942000000,56924000000,None,2024-06-30,119220000000,27597000000,27597000000,1246000000,None,42688000000,None,14600000000,26033000000,31749000000,None,27064000000,154552000000,USD,173144000000,67127000000,8942000000,57216000000,512163000000,159734000000,125286000000,243686000000,352429000000,118400000000,268477000000,None
None,12728000000,34704000000,34704000000,93718000000,7472000000,18095000000,None,5247000000,48688000000,None,2023-06-30,67886000000,9366000000,9366000000,2500000000,None,41990000000,None,9879000000,21807000000,29906000000,None,17981000000,109987000000,USD,118848000000,59965000000,5247000000,76558000000,411976000000,184257000000,104149000000,205753000000,227719000000,101604000000,206223000000,None
None,11489000000,13931000000,13931000000,86939000000,7540000000,19000000000,None,2749000000,44261000000,None,2022-06-30,67524000000,11298000000,11298000000,3742000000,None,47032000000,None,6891000000,16924000000,27795000000,None,15526000000,87546000000,USD,84281000000,61270000000,2749000000,90826000000,364840000000,169684000000,95082000000,198298000000,195156000000,103216000000,166542000000,None
None,9629000000,14224000000,14224000000,83111000000,7608000000,15163000000,None,8072000000,38043000000,None,2021-06-30,49711000000,7800000000,7800000000,2636000000,None,50074000000,None,5984000000,13393000000,23897000000,None,13427000000,70803000000,USD,57055000000,67775000000,8072000000,116110000000,333779000000,184406000000,88657000000,191791000000,149373000000,103134000000,141988000000,None
None,7671000000,13576000000,13576000000,80552000000,7683000000,12530000000,None,3749000000,32011000000,None,2020-06-30,43351000000,7038000000,7038000000,1895000000,None,59578000000,None,2965000000,11482000000,20031000000,None,50915000000,44151000000,USD,34566000000,70998000000,3749000000,122951000000,301311000000,181915000000,72310000000,183007000000,119396000000,110697000000,118304000000,None
None,6188000000,11356000000,11356000000,78520000000,7753000000,9382000000,None,5516000000,29524000000,None,2019-06-30,42026000000,7750000000,7750000000,2063000000,None,66662000000,None,2649000000,10146000000,21846000000,None,47911000000,36477000000,USD,24150000000,78366000000,5516000000,122463000000,286556000000,175552000000,69420000000,184226000000,111004000000,114806000000,102330000000,None
None,5568000000,11946000000,11946000000,71223000000,7794000000,8617000000,None,3998000000,26481000000,None,2018-06-30,35683000000,8053000000,8053000000,2662000000,None,72242000000,None,1862000000,6751000000,16968000000,None,44859000000,29460000000,USD,13682000000,81808000000,3998000000,121822000000,258848000000,169662000000,58488000000,176130000000,89186000000,117642000000,82718000000,0
None,None,7663000000,7663000000,69315000000,7832000000,7390000000,None,10121000000,19792000000,None,2017-06-30,35122000000,10106000000,10106000000,2181000000,None,76073000000,None,6023000000,4897000000,12914000000,None,17184000000,23734000000,USD,2648000000,86194000000,10121000000,125318000000,241086000000,159851000000,64527000000,168692000000,81235000000,104165000000,72394000000,0
None,None,6510000000,6510000000,68178000000,8013000000,6898000000,None,12904000000,18277000000,None,2016-06-30,17872000000,3733000000,3733000000,2251000000,None,40783000000,None,10431000000,5892000000,12087000000,None,13640000000,18356000000,USD,2282000000,53687000000,12904000000,106730000000,193694000000,139660000000,59357000000,121697000000,54034000000,62340000000,71997000000,0
None,None,5595000000,5595000000,68465000000,8254000000,6591000000,None,2499000000,17908000000,None,2015-06-30,16939000000,4835000000,4835000000,2902000000,None,27808000000,None,12053000000,5461000000,11743000000,None,13544000000,14731000000,USD,9096000000,35292000000,7484000000,90931000000,174472000000,122797000000,49647000000,94389000000,51675000000,44742000000,80083000000,0
None,None,8669000000,8669000000,68366000000,8399000000,7432000000,None,23203000000,19544000000,None,2014-06-30,20127000000,6981000000,6981000000,2660000000,None,20645000000,None,14597000000,6333000000,12261000000,None,11594000000,13011000000,USD,17710000000,22645000000,2000000000,77040000000,172384000000,114246000000,45625000000,82600000000,58138000000,36975000000,89784000000,0
None,None,3804000000,3804000000,67306000000,8470000000,4828000000,None,None,17486000000,None,2013-06-30,14655000000,3083000000,3083000000,1938000000,None,12601000000,None,10844000000,5020000000,8359000000,None,10000000000,9991000000,USD,9895000000,15600000000,2999000000,73218000000,142431000000,101466000000,37417000000,63487000000,40965000000,26070000000,78944000000,0
None,None,6938000000,6938000000,65797000000,8506000000,4175000000,None,None,15780000000,None,2012-06-30,13452000000,3170000000,3170000000,1137000000,None,10713000000,None,9776000000,5127000000,7840000000,None,8208000000,8269000000,USD,566000000,11944000000,1231000000,56102000000,121271000000,85084000000,32688000000,54908000000,36187000000,22220000000,66363000000,0
None,None,9610000000,9610000000,63415000000,8593000000,4197000000,None,None,14987000000,None,2011-06-30,12581000000,744000000,744000000,1372000000,None,11921000000,None,10865000000,3320000000,3492000000,None,8072000000,8162000000,USD,-6332000000,17284000000,5363000000,43162000000,108704000000,74918000000,28774000000,51621000000,33786000000,22847000000,57083000000,0
None,None,5505000000,5505000000,62856000000,8927000000,4025000000,None,None,13014000000,None,2010-06-30,12394000000,1158000000,1158000000,740000000,None,4939000000,None,7754000000,5134000000,6396000000,None,7445000000,7630000000,USD,-16681000000,5939000000,1000000000,31283000000,86113000000,55676000000,26147000000,39938000000,30437000000,13791000000,46175000000,0
None,None,6076000000,6076000000,62382000000,8996000000,3324000000,None,None,11192000000,None,2009-06-30,12503000000,1759000000,1759000000,717000000,None,3756000000,None,None,3711000000,8707000000,None,None,7535000000,USD,-22824000000,5756000000,2000000000,25371000000,77888000000,49280000000,27034000000,38330000000,28608000000,11296000000,39558000000,None
None,None,10339000000,10339000000,62849000000,9470000000,4034000000,None,None,13589000000,None,2008-06-30,12108000000,1973000000,1973000000,985000000,None,None,None,None,5006000000,9207000000,None,None,6242000000,USD,-27703000000,None,8796000000,13323000000,72793000000,43242000000,29886000000,36507000000,29551000000,6621000000,36286000000,None
None,None,6111000000,6111000000,60557000000,9886000000,3247000000,None,None,11338000000,None,2007-06-30,4760000000,878000000,878000000,1127000000,None,None,None,None,4292000000,9728000000,None,None,4350000000,USD,-31114000000,None,2325000000,17300000000,63171000000,40168000000,23754000000,32074000000,23003000000,8320000000,31097000000,None
None,None,6714000000,6714000000,59005000000,10531000000,2909000000,None,None,9316000000,None,2006-06-30,3866000000,539000000,539000000,1478000000,None,None,None,None,4055000000,10395000000,None,None,3044000000,USD,-20130000000,None,3495000000,27447000000,69597000000,49010000000,22442000000,29493000000,20587000000,7051000000,40104000000,None
