capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
64551000000,-51699000000,-72599000000,None,None,309000000,None,None,None,34153000000,24082000000,24082000000,None,2025-06-30,101832000000,136162000000,None,None,None,None,None,None,None,None,None,-18420000000,None,None,USD
44477000000,-37757000000,-96970000000,None,None,1284000000,None,None,None,22287000000,21771000000,21771000000,None,2024-06-30,88136000000,118548000000,None,None,None,None,None,None,None,None,None,-17254000000,None,None,USD
28107000000,-43935000000,-22680000000,None,None,1242000000,None,None,None,13861000000,19800000000,19800000000,None,2023-06-30,72361000000,87582000000,None,None,None,None,None,None,None,None,None,-22245000000,None,None,USD
23886000000,-58876000000,-30311000000,-152000000,None,-1123000000,None,None,-6834000000,14460000000,18135000000,18135000000,None,2022-06-30,72738000000,89035000000,None,None,None,None,None,None,None,None,None,-32696000000,None,None,USD
20622000000,-48486000000,-27577000000,648000000,-29000000,-737000000,None,None,-6481000000,11686000000,16521000000,16521000000,None,2021-06-30,61271000000,76740000000,None,None,None,None,None,None,None,None,None,-27385000000,None,None,USD
15441000000,-46031000000,-12223000000,2220000000,-201000000,168000000,None,None,-2577000000,12796000000,15137000000,15137000000,None,2020-06-30,44281000000,60675000000,None,None,None,None,None,None,None,None,None,-22968000000,None,None,USD
13925000000,-36887000000,-15773000000,-590000000,-115000000,597000000,None,None,-2812000000,11682000000,13811000000,13811000000,None,2019-06-30,39240000000,52185000000,None,None,None,None,None,None,None,None,None,-19543000000,None,None,USD
11632000000,-33590000000,-6061000000,4283000000,50000000,-465000000,None,None,-3862000000,10261000000,12699000000,12699000000,None,2018-06-30,16571000000,43884000000,None,None,None,None,None,None,None,None,None,-10721000000,None,None,USD
8129000000,8408000000,-46781000000,1153000000,19000000,50000000,None,None,-925000000,8778000000,11845000000,11845000000,None,2017-06-30,25489000000,39507000000,None,None,None,None,None,None,None,None,None,-11788000000,None,None,USD
8343000000,-8393000000,-23950000000,915000000,-67000000,600000000,None,None,-530000000,6622000000,11006000000,11006000000,None,2016-06-30,20539000000,33325000000,None,None,None,None,None,None,None,None,None,-15969000000,None,None,USD
5944000000,-9668000000,-23001000000,-3074000000,-73000000,-272000000,None,None,1456000000,5957000000,9882000000,9882000000,None,2015-06-30,12193000000,29668000000,None,None,None,None,None,None,None,None,None,-14443000000,None,None,USD
5485000000,-8665000000,-18833000000,4865000000,-139000000,-161000000,None,None,-1120000000,5212000000,8879000000,8879000000,None,2014-06-30,22074000000,32502000000,None,None,None,None,None,None,None,None,None,-7316000000,None,None,USD
4257000000,-8148000000,-23811000000,-3134000000,-8000000,-802000000,None,None,-1807000000,3755000000,7455000000,7455000000,None,2013-06-30,21863000000,28833000000,None,None,None,None,None,None,None,None,None,-5360000000,None,None,USD
2305000000,-9408000000,-24786000000,-2672000000,-104000000,184000000,None,None,-1156000000,2967000000,6385000000,6385000000,None,2012-06-30,16978000000,31626000000,None,None,None,None,None,None,None,None,None,-5029000000,None,None,USD
2355000000,-8376000000,-14616000000,4105000000,103000000,-561000000,None,None,-1451000000,2766000000,5180000000,5180000000,None,2011-06-30,23150000000,26994000000,None,None,None,None,None,None,None,None,None,-11555000000,None,None,USD
1977000000,-13291000000,-11314000000,-571000000,-39000000,0,None,None,-2238000000,2673000000,4578000000,4578000000,None,2010-06-30,18760000000,24073000000,None,None,None,None,None,None,None,None,None,-11269000000,None,None,USD
3119000000,-7463000000,-15770000000,None,None,None,None,None,None,2562000000,4468000000,4468000000,None,2009-06-30,14569000000,19037000000,None,None,None,None,None,None,None,None,None,-9353000000,None,None,USD
3182000000,-12934000000,-4587000000,None,None,None,None,None,None,2056000000,4015000000,4015000000,None,2008-06-30,17681000000,21612000000,None,None,None,None,None,None,None,None,None,-12533000000,None,None,USD
2264000000,-24544000000,6089000000,None,None,None,None,None,None,1440000000,3805000000,3805000000,None,2007-06-30,14065000000,17796000000,None,None,None,None,None,None,None,None,None,-27575000000,None,None,USD
1578000000,-20562000000,8003000000,None,None,None,None,None,None,903000000,3545000000,3545000000,None,2006-06-30,12599000000,14404000000,None,None,None,None,None,None,None,None,None,-19207000000,None,None,USD
