accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,75743000000,75743000000,20000000,1611000000,175938000000,None,21645000000,86158000000,None,2024-12-31,16706000000,6453000000,6453000000,None,None,288776000000,None,342917000000,None,491841000000,None,None,4114000000,USD,104989000000,360488000000,71712000000,325846000000,1215071000000,487747000000,739491000000,1109643000000,727324000000,370152000000,104511000000,None
None,None,58661000000,58661000000,20000000,1646000000,208148000000,None,8920000000,80105000000,None,2023-12-31,16707000000,7055000000,7055000000,-765376000000,None,267467000000,None,359307000000,685271000000,468041000000,None,None,4368000000,USD,97996000000,339038000000,71571000000,403229000000,1193693000000,541995000000,747760000000,1093711000000,651698000000,345951000000,99038000000,None
None,None,92747000000,92747000000,20000000,1713000000,216134000000,None,5135000000,78540000000,None,2022-12-31,16652000000,7618000000,7618000000,-709866000000,None,238058000000,None,14788000000,631326000000,472949000000,None,433106000000,4073000000,USD,94862000000,308750000000,67669000000,375108000000,1180231000000,546395000000,756752000000,1079000000000,633836000000,322248000000,100141000000,-26577000000
None,None,86838000000,86838000000,20000000,1814000000,228685000000,None,10337000000,96018000000,None,2021-12-31,16833000000,8360000000,8360000000,-648045000000,None,227363000000,None,373689000000,648045000000,471334000000,None,449201000000,4268000000,USD,89432000000,305356000000,72525000000,413512000000,1188140000000,596368000000,772544000000,1081542000000,591772000000,308998000000,105441000000,-17500000000
None,None,67452000000,67452000000,20000000,1624000000,227437000000,None,3691000000,97737000000,None,2020-12-31,11635000000,4980000000,4980000000,-648458000000,None,217079000000,None,12813000000,648458000000,423475000000,None,435655000000,4419000000,USD,78694000000,283529000000,64731000000,406777000000,1115862000000,571966000000,715643000000,1012713000000,543896000000,297070000000,101781000000,-9767000000
None,None,49659000000,49659000000,20000000,1640000000,197834000000,None,2567000000,55646000000,None,2019-12-31,7143000000,2107000000,2107000000,-629335000000,None,192627000000,None,12577000000,629335000000,295278000000,None,385390000000,3998000000,USD,70589000000,261525000000,63870000000,319171000000,895429000000,424476000000,556982000000,812732000000,470953000000,255750000000,81549000000,-18727000000
None,None,51840000000,51840000000,20000000,1738000000,179559000000,None,1545000000,53298000000,None,2018-12-31,6688000000,2163000000,2163000000,None,None,189662000000,None,15764000000,142934000000,287309000000,None,356065000000,None,USD,64175000000,248887000000,53340000000,305445000000,853531000000,410583000000,520208000000,772125000000,442948000000,251917000000,80246000000,-13971000000
None,None,46164000000,46164000000,20000000,1821000000,191510000000,None,1519000000,56187000000,None,2017-12-31,6597000000,2448000000,2448000000,374508000000,None,192582000000,None,11173000000,70997000000,264036000000,None,379229000000,0,USD,57577000000,260277000000,59977000000,268008000000,851733000000,370359000000,515523000000,773267000000,481374000000,257744000000,77391000000,-9211000000
None,None,43381000000,43381000000,20000000,1887000000,190513000000,None,941000000,46460000000,None,2016-12-31,6577000000,2721000000,2721000000,341053000000,None,164775000000,None,274698000000,35244000000,254741000000,None,373335000000,0,USD,53679000000,251724000000,56998000000,274731000000,814949000000,364572000000,502252000000,737772000000,450377000000,235520000000,76050000000,-5797000000
None,None,54083000000,54083000000,20000000,1953000000,186626000000,None,2402000000,45407000000,None,2015-12-31,6584000000,2984000000,2984000000,313463000000,None,153768000000,None,245682000000,-4317000000,255015000000,None,351773000000,6373000000,USD,49204000000,221413000000,40300000000,266294000000,787465000000,365784000000,481941000000,711281000000,421681000000,229340000000,75182000000,-4059000000
